Name Band MJD Mag Magerr
2004gk B 53338.53362 14.766 0.054
2004gk B 53338.53935 14.771 0.053
2004gk B 53348.53074 15.717 0.026
2004gk B 53348.53981 15.68 0.023
2004gk B 53349.52028 15.773 0.019
2004gk B 53350.51435 15.829 0.024
2004gk B 53350.53596 15.833 0.024
2004gk B 53353.50381 16.029 0.021
2004gk B 53358.54066 16.324 0.022
2004gk B 53358.54712 16.209 0.02
2004gk V 53338.53087 13.989 0.017
2004gk V 53338.53671 13.967 0.019
2004gk V 53348.52833 14.481 0.022
2004gk V 53348.53749 14.497 0.022
2004gk V 53349.51795 14.548 0.017
2004gk V 53350.51205 14.605 0.022
2004gk V 53350.5335 14.602 0.023
2004gk V 53352.5197 14.688 0.027
2004gk V 53353.50148 14.749 0.026
2004gk V 53354.42448 14.799 0.022
2004gk V 53357.47926 14.933 0.018
2004gk V 53358.53951 14.979 0.014
2004gk V 53358.54597 14.968 0.015
2004gk r 53338.53208 13.83 0.019
2004gk r 53338.53787 13.836 0.018
2004gk r 53348.52931 14.203 0.023
2004gk r 53349.51892 14.256 0.016
2004gk r 53350.513 14.348 0.029
2004gk r 53352.52066 14.454 0.033
2004gk r 53353.50245 14.469 0.035
2004gk r 53354.42544 14.462 0.022
2004gk r 53357.47359 14.587 0.027
2004gk r 53357.48214 14.586 0.02
2004gk r 53358.53567 14.622 0.015
2004gk r 53358.54215 14.627 0.014
2004gk i 53338.53308 13.823 0.02
2004gk i 53338.5389 13.834 0.018
2004gk i 53348.53006 14.141 0.028
2004gk i 53348.53913 14.148 0.025
2004gk i 53349.51961 14.177 0.019
2004gk i 53350.51368 14.295 0.03
2004gk i 53352.52134 14.286 0.031
2004gk i 53353.50314 14.365 0.024
2004gk i 53354.42612 14.349 0.023
2004gk i 53357.47622 14.462 0.019
2004gk i 53357.48306 14.476 0.017
2004gk i 53358.53659 14.499 0.016
