Name Band MJD Mag Magerr
2005kl V 53699.48431 16.907 0.023
2005kl V 53704.51024 16.793 0.019
2005kl V 53706.51372 16.913 0.027
2005kl V 53708.53492 16.972 0.02
2005kl V 53714.455 17.319 0.03
2005kl V 53726.51698 18.37 0.051
2005kl V 53728.39268 18.563 0.075
2005kl V 53731.47836 18.646 0.061
2005kl V 53737.48654 18.608 0.059
2005kl r 53699.48597 16.171 0.017
2005kl r 53704.51192 16.076 0.014
2005kl r 53706.51609 16.072 0.015
2005kl r 53708.53732 16.144 0.015
2005kl r 53714.45737 16.371 0.014
2005kl r 53726.51938 17.014 0.022
2005kl r 53728.39507 17.099 0.021
2005kl r 53729.51969 17.148 0.023
2005kl r 53731.4269 17.216 0.019
2005kl r 53731.48074 17.237 0.018
2005kl i 53699.48723 15.461 0.018
2005kl i 53704.51317 15.388 0.014
2005kl i 53706.5177 15.381 0.018
2005kl i 53708.5389 15.411 0.019
2005kl i 53714.45898 15.565 0.015
2005kl i 53726.52096 16.12 0.021
2005kl i 53728.39667 16.129 0.015
2005kl i 53731.42851 16.299 0.018
2005kl i 53731.48235 16.32 0.015
2005kl i 53737.49053 16.49 0.018
2005kl J 53700.479 13.835 0.06
2005kl J 53703.488 13.859 0.25
2005kl J 53704.466 13.778 0.035
2005kl J 53705.46 13.84 0.05
2005kl J 53706.465 13.748 0.034
2005kl J 53711.462 13.8 0.027
2005kl J 53721.422 14.09 0.032
2005kl J 53724.417 14.11 0.033
2005kl J 53725.407 14.26 0.032
2005kl J 53726.406 14.226 0.052
2005kl J 53728.4 14.449 0.029
2005kl J 53729.396 14.338 0.054
2005kl J 53731.393 14.569 0.103
2005kl J 53733.393 14.66 0.046
2005kl H 53700.479 13.398 0.202
2005kl H 53703.488 13.527 0.218
2005kl H 53706.465 13.686 0.175
2005kl H 53712.466 13.389 0.157
2005kl H 53714.44 13.319 0.129
2005kl H 53721.422 13.485 0.079
2005kl H 53724.417 13.582 0.093
2005kl H 53726.406 13.634 0.08
2005kl H 53728.4 13.671 0.25
2005kl H 53729.396 13.826 0.083
2005kl H 53731.393 14.078 0.095
2005kl H 53732.395 14.063 0.141
2005kl H 53733.393 14.246 0.09
2005kl H 53737.377 14.298 0.278
2005kl K 53700.479 13.667 0.087
2005kl K 53703.488 12.905 0.068
2005kl K 53704.466 12.919 0.052
2005kl K 53721.422 13.087 0.096
2005kl K 53724.417 13.495 0.144
2005kl K 53725.407 13.562 0.13
2005kl K 53726.406 13.512 0.116
2005kl K 53728.4 13.37 0.094
2005kl K 53731.393 13.364 0.165
2005kl K 53732.395 13.297 0.108
2005kl K 53737.377 13.621 0.155
