Name Band MJD Mag Magerr
2005mf U 53734.43198 19.402 0.154
2005mf U 53736.46862 19.582 0.184
2005mf U 53737.44061 19.552 0.256
2005mf U 53739.51123 19.943 0.331
2005mf B 53733.38328 18.895 0.034
2005mf B 53734.42892 18.938 0.037
2005mf B 53736.46558 19.045 0.039
2005mf B 53737.43394 19.107 0.042
2005mf B 53739.50452 19.302 0.065
2005mf B 53742.45514 19.478 0.071
2005mf B 53743.47095 19.609 0.086
2005mf B 53746.50302 20.1 0.185
2005mf B 53761.36183 20.618 0.248
2005mf B 53764.39421 20.729 0.292
2005mf B 53765.32866 20.499 0.227
2005mf B 53766.48287 20.436 0.225
2005mf B 53768.37027 20.575 0.24
2005mf B 53786.30985 20.84 0.277
2005mf B 53788.29631 20.757 0.249
2005mf B 53794.22343 20.881 0.303
2005mf B 53797.24862 20.901 0.276
2005mf B 53798.25723 20.853 0.296
2005mf B 53799.3225 20.637 0.285
2005mf V 53733.3776 18.066 0.022
2005mf V 53734.42323 18.076 0.023
2005mf V 53736.4599 18.087 0.022
2005mf V 53737.42826 18.111 0.024
2005mf V 53739.49885 18.189 0.021
2005mf V 53743.46527 18.419 0.03
2005mf V 53745.38117 18.577 0.054
2005mf V 53746.49736 18.732 0.099
2005mf V 53748.46058 18.725 0.093
2005mf V 53755.34876 19.279 0.096
2005mf V 53761.35404 19.526 0.088
2005mf V 53764.38644 19.665 0.084
2005mf V 53765.32089 19.965 0.091
2005mf V 53766.47509 19.916 0.086
2005mf V 53768.36249 19.902 0.071
2005mf V 53776.39878 20.16 0.298
2005mf V 53786.30009 20.089 0.245
2005mf V 53787.27322 20.48 0.267
2005mf V 53788.29065 20.496 0.236
2005mf V 53794.21777 20.6 0.254
2005mf V 53797.24561 20.839 0.312
2005mf V 53798.24946 20.552 0.278
2005mf V 53799.3195 20.436 0.34
2005mf r 53733.38 17.968 0.021
2005mf r 53734.42563 17.953 0.022
2005mf r 53736.46229 17.94 0.022
2005mf r 53737.43066 17.897 0.021
2005mf r 53739.50124 17.997 0.022
2005mf r 53743.46765 18.12 0.022
2005mf r 53745.38356 18.227 0.025
2005mf r 53746.49973 18.317 0.038
2005mf r 53748.47281 18.443 0.048
2005mf r 53748.48468 18.472 0.059
2005mf r 53755.35149 18.839 0.05
2005mf r 53761.35713 19.392 0.072
2005mf r 53765.32396 19.602 0.052
2005mf r 53766.47818 19.633 0.049
2005mf r 53768.36557 19.651 0.055
2005mf r 53774.38288 19.72 0.415
2005mf r 53776.39407 19.684 0.139
2005mf r 53779.30257 19.931 0.236
2005mf r 53781.28611 19.798 0.111
