Name Band MJD Mag Magerr
2006aj U 53788.16733 18.039 0.078
2006aj U 53790.12301 17.995 0.047
2006aj U 53790.13652 17.982 0.057
2006aj U 53796.11875 18.599 0.112
2006aj U 53797.11978 18.679 0.054
2006aj U 53798.16206 18.738 0.058
2006aj B 53788.11683 18.438 0.05
2006aj B 53788.12585 18.476 0.054
2006aj B 53788.13681 18.466 0.062
2006aj B 53788.145 18.352 0.058
2006aj B 53788.15325 18.431 0.046
2006aj B 53788.16171 18.445 0.045
2006aj B 53788.17395 18.439 0.043
2006aj B 53788.182 18.523 0.05
2006aj B 53788.19072 18.39 0.042
2006aj B 53789.1342 18.311 0.036
2006aj B 53790.11632 18.166 0.028
2006aj B 53790.13346 18.147 0.028
2006aj B 53791.12809 18.091 0.026
2006aj B 53791.14125 18.081 0.021
2006aj B 53792.13052 18.004 0.043
2006aj B 53792.14333 18.157 0.041
2006aj B 53793.1302 18.074 0.025
2006aj B 53793.14429 18.118 0.028
2006aj B 53794.14412 18.083 0.066
2006aj B 53796.12616 18.301 0.043
2006aj B 53797.12719 18.386 0.033
2006aj B 53798.15831 18.656 0.059
2006aj B 53807.12058 19.902 0.341
2006aj B 53808.12201 19.88 0.387
2006aj B 53817.12579 20.725 0.273
2006aj V 53788.12746 18.079 0.046
2006aj V 53790.11067 17.722 0.03
2006aj V 53790.12778 17.74 0.024
2006aj V 53791.1203 17.631 0.019
2006aj V 53791.13345 17.654 0.021
2006aj V 53792.12275 17.547 0.026
2006aj V 53792.13554 17.595 0.023
2006aj V 53793.12243 17.546 0.018
2006aj V 53793.13649 17.513 0.018
2006aj V 53797.11672 17.593 0.021
2006aj V 53798.1483 17.656 0.025
2006aj V 53808.11157 18.756 0.107
2006aj V 53809.09959 18.877 0.15
2006aj V 53817.11534 19.361 0.108
2006aj r 53788.13423 18.191 0.036
2006aj r 53788.13543 18.197 0.041
2006aj r 53788.17013 18.168 0.032
2006aj r 53788.17218 18.205 0.029
2006aj r 53788.20154 18.127 0.031
2006aj r 53790.11307 17.797 0.034
2006aj r 53790.13016 17.744 0.02
2006aj r 53791.12338 17.634 0.017
2006aj r 53791.13654 17.6 0.016
2006aj r 53792.13863 17.555 0.027
2006aj r 53793.12552 17.496 0.017
2006aj r 53793.13958 17.497 0.017
2006aj r 53794.1192 17.48 0.034
2006aj r 53797.11198 17.485 0.017
2006aj r 53798.15362 17.519 0.025
2006aj r 53807.10538 18.134 0.057
2006aj r 53808.10686 18.23 0.052
2006aj r 53809.10495 18.203 0.053
2006aj r 53810.11451 18.401 0.045
2006aj r 53813.11037 18.516 0.059
2006aj r 53817.11058 18.777 0.067
2006aj r 53820.11977 19.046 0.07
2006aj i 53790.11465 17.774 0.024
2006aj i 53790.13178 17.818 0.027
2006aj i 53791.12569 17.653 0.018
2006aj i 53791.13885 17.635 0.019
2006aj i 53793.12781 17.525 0.022
2006aj i 53793.14191 17.546 0.019
2006aj i 53794.12153 17.495 0.08
2006aj i 53794.14173 17.534 0.033
2006aj i 53796.11329 17.458 0.019
2006aj i 53797.11431 17.457 0.019
2006aj i 53798.15591 17.47 0.024
2006aj i 53805.1106 17.796 0.061
2006aj i 53807.1077 17.844 0.041
2006aj i 53808.10917 18.0 0.051
2006aj i 53809.10728 18.088 0.064
2006aj i 53809.12296 18.019 0.097
2006aj i 53810.10539 18.097 0.038
2006aj i 53810.11683 18.069 0.039
2006aj i 53813.1127 18.266 0.045
2006aj i 53818.12613 18.54 0.223
2006aj i 53820.12208 18.979 0.068
2006aj J 53788.16 17.565 0.017
2006aj J 53790.133 17.204 0.026
2006aj J 53791.12 17.047 0.175
2006aj J 53792.123 17.17 0.023
2006aj J 53793.12 16.922 0.014
2006aj J 53798.145 16.879 0.018
2006aj H 53788.16 17.831 0.146
2006aj H 53790.133 17.348 0.078
2006aj H 53791.12 16.999 0.061
2006aj H 53792.123 16.855 0.069
2006aj H 53793.12 16.752 0.047
2006aj H 53798.145 16.635 0.037
2006aj K 53788.16 17.183 0.12
2006aj K 53790.133 16.714 0.094
2006aj K 53792.123 16.406 0.145
2006aj K 53793.12 16.393 0.08
2006aj K 53798.145 16.769 0.08
