Name Band MJD Mag Magerr
2006fo B 54006.4908 18.325 0.038
2006fo B 54007.39007 18.405 0.042
2006fo B 54008.3773 18.414 0.043
2006fo B 54009.39256 18.467 0.045
2006fo B 54011.32701 18.521 0.049
2006fo B 54012.37191 18.572 0.041
2006fo B 54018.41823 19.268 0.1
2006fo B 54020.36481 19.577 0.107
2006fo B 54021.38132 19.53 0.098
2006fo B 54030.36932 20.464 0.212
2006fo V 54006.48849 17.543 0.026
2006fo V 54007.38778 17.488 0.023
2006fo V 54008.37499 17.579 0.025
2006fo V 54009.38955 17.589 0.026
2006fo V 54011.35656 17.631 0.027
2006fo V 54012.3689 17.737 0.03
2006fo V 54018.42158 17.96 0.037
2006fo V 54020.35275 18.106 0.036
2006fo V 54021.37829 18.258 0.042
2006fo V 54030.3663 18.688 0.057
2006fo V 54041.26112 18.819 0.065
2006fo V 54046.20563 19.075 0.096
2006fo V 54053.35964 19.107 0.091
2006fo V 54063.24696 19.258 0.089
2006fo V 54065.27763 19.196 0.084
2006fo V 54076.22992 19.617 0.119
2006fo V 54080.16017 19.431 0.111
2006fo V 54081.20073 19.544 0.113
2006fo V 54082.20528 19.874 0.141
2006fo V 54084.18353 19.689 0.12
2006fo V 54086.17699 19.687 0.133
2006fo V 54094.17522 19.595 0.102
2006fo V 54095.21435 19.888 0.135
2006fo V 54102.17523 19.55 0.162
2006fo V 54107.15278 20.109 0.176
2006fo V 54138.09811 20.055 0.164
2006fo r 54006.48689 17.335 0.022
2006fo r 54007.38616 17.322 0.023
2006fo r 54008.37339 17.339 0.021
2006fo r 54009.38726 17.314 0.021
2006fo r 54011.35233 17.382 0.022
2006fo r 54012.36659 17.46 0.023
2006fo r 54018.41926 17.668 0.03
2006fo r 54020.35858 17.775 0.032
2006fo r 54021.376 17.786 0.03
2006fo r 54024.4128 17.959 0.032
2006fo r 54030.36397 18.23 0.037
2006fo r 54041.25881 18.507 0.05
2006fo r 54046.27619 18.586 0.06
2006fo r 54051.35007 19.065 0.084
2006fo r 54053.35661 18.821 0.064
2006fo r 54063.24395 19.014 0.065
2006fo r 54065.27463 18.833 0.093
2006fo r 54076.2269 19.172 0.072
2006fo r 54080.15716 19.244 0.083
2006fo r 54081.19772 19.378 0.091
2006fo r 54082.20228 19.333 0.085
2006fo r 54084.18051 19.372 0.091
2006fo r 54086.17397 19.371 0.093
2006fo r 54094.17221 19.491 0.086
2006fo r 54095.21133 19.539 0.111
2006fo r 54102.16674 19.391 0.096
2006fo r 54107.14978 19.806 0.122
2006fo r 54138.09508 20.192 0.179
2006fo i 54006.48521 17.244 0.024
2006fo i 54007.38455 17.254 0.025
2006fo i 54008.37176 17.209 0.024
2006fo i 54009.38494 17.219 0.023
2006fo i 54011.35193 17.225 0.024
2006fo i 54012.36427 17.23 0.023
2006fo i 54018.41505 17.263 0.025
2006fo i 54020.35328 17.414 0.028
2006fo i 54021.37369 17.466 0.026
2006fo i 54024.4105 17.571 0.033
2006fo i 54030.36168 17.77 0.029
2006fo i 54041.25648 18.045 0.037
2006fo i 54046.24375 18.123 0.053
2006fo i 54051.34704 18.544 0.058
2006fo i 54053.35361 18.353 0.043
2006fo i 54063.24094 18.605 0.056
2006fo i 54065.2716 18.558 0.065
2006fo i 54076.22389 18.89 0.07
2006fo i 54080.15412 19.08 0.082
2006fo i 54081.19472 18.964 0.076
2006fo i 54082.19926 18.725 0.083
2006fo i 54084.17749 18.964 0.077
2006fo i 54086.17096 19.031 0.082
2006fo i 54094.1692 19.224 0.092
2006fo i 54095.20831 19.283 0.1
2006fo i 54102.18162 19.533 0.15
2006fo i 54107.14677 19.587 0.107
2006fo i 54138.09206 19.733 0.166
2006fo J 54005.326 16.553 0.178
2006fo J 54006.357 16.715 0.091
2006fo J 54007.4 16.714 0.062
2006fo J 54008.339 16.665 0.175
2006fo J 54010.355 16.28 0.083
2006fo J 54012.336 16.384 0.065
2006fo J 54016.332 16.355 0.078
2006fo J 54018.301 16.34 0.175
2006fo J 54019.285 16.119 0.082
2006fo J 54020.362 16.104 0.25
2006fo J 54021.309 16.363 0.175
2006fo J 54022.304 16.339 0.092
2006fo J 54024.334 16.414 0.175
2006fo J 54027.393 16.797 0.146
2006fo J 54028.255 16.288 0.057
2006fo J 54031.243 17.046 0.175
2006fo J 54035.28 16.724 0.332
2006fo J 54037.303 16.877 0.175
2006fo J 54040.31 17.227 0.175
2006fo J 54042.294 17.02 0.175
2006fo J 54044.291 16.848 0.175
2006fo J 54045.292 17.127 0.175
2006fo J 54047.221 16.947 0.175
2006fo J 54048.254 17.206 0.175
2006fo J 54049.254 16.917 0.194
2006fo J 54051.351 17.105 0.175
2006fo J 54054.253 17.063 0.224
2006fo J 54056.363 17.179 0.142
2006fo J 54059.245 17.433 0.204
2006fo J 54060.192 17.407 0.175
2006fo J 54063.215 17.327 0.25
2006fo J 54071.272 17.433 0.21
2006fo J 54074.137 17.027 0.175
2006fo J 54076.221 17.554 0.175
2006fo J 54079.158 17.198 0.25
2006fo J 54081.251 17.332 0.041
2006fo J 54086.102 17.589 0.364
2006fo J 54090.106 17.877 0.213
2006fo J 54101.085 17.971 0.175
2006fo J 54103.193 18.246 0.25
2006fo J 54108.106 18.254 0.215
2006fo J 54117.213 17.999 0.175
2006fo H 54005.326 16.513 0.363
2006fo H 54006.357 16.381 0.21
2006fo H 54008.339 16.669 0.253
2006fo H 54012.336 16.268 0.311
2006fo H 54016.332 16.514 0.228
2006fo H 54018.301 16.277 0.231
2006fo H 54020.362 16.565 0.105
2006fo H 54021.309 16.178 0.369
2006fo H 54022.304 16.315 0.373
2006fo H 54024.334 16.202 0.174
2006fo H 54027.393 16.326 0.137
2006fo H 54028.255 16.157 0.285
2006fo H 54031.243 16.383 0.254
2006fo H 54035.28 16.457 0.303
2006fo H 54037.303 16.787 0.246
2006fo H 54039.302 16.672 0.25
2006fo H 54040.31 16.782 0.224
2006fo H 54042.294 17.105 0.195
2006fo H 54045.292 16.586 0.326
2006fo H 54049.254 16.634 0.299
2006fo H 54054.253 17.03 0.25
2006fo H 54056.363 17.14 0.303
2006fo H 54065.302 16.649 0.175
2006fo H 54071.272 16.766 0.372
2006fo H 54076.221 16.78 0.302
2006fo H 54081.251 17.028 0.25
2006fo H 54083.342 16.912 0.358
2006fo H 54086.102 17.511 0.275
2006fo H 54110.192 18.122 0.254
2006fo K 54005.326 17.37 0.199
2006fo K 54006.357 17.292 0.217
2006fo K 54007.4 17.07 0.252
2006fo K 54008.339 17.334 0.342
2006fo K 54010.355 17.086 0.22
2006fo K 54012.336 17.306 0.192
2006fo K 54016.332 17.191 0.196
2006fo K 54018.301 17.063 0.181
2006fo K 54019.285 16.997 0.132
2006fo K 54021.309 17.062 0.25
2006fo K 54022.304 16.809 0.204
2006fo K 54024.334 17.084 0.14
2006fo K 54027.393 17.318 0.204
2006fo K 54028.255 17.159 0.127
2006fo K 54031.243 17.451 0.195
2006fo K 54035.28 17.987 0.339
2006fo K 54036.292 17.749 0.332
2006fo K 54037.303 17.861 0.316
2006fo K 54039.302 17.45 0.256
2006fo K 54042.294 17.321 0.304
2006fo K 54044.291 17.404 0.316
2006fo K 54045.292 17.509 0.223
2006fo K 54063.215 17.405 0.238
2006fo K 54069.176 17.546 0.218
