Name Band MJD Mag Magerr
2006fo B 54006.4908 18.325 0.038
2006fo B 54007.39007 18.405 0.042
2006fo B 54008.3773 18.414 0.043
2006fo B 54009.39256 18.467 0.045
2006fo B 54011.32701 18.521 0.049
2006fo B 54012.37191 18.572 0.041
2006fo B 54018.41823 19.268 0.1
2006fo B 54020.36481 19.577 0.107
2006fo B 54021.38132 19.53 0.098
2006fo B 54030.36932 20.464 0.212
2006fo V 54006.48849 17.543 0.026
2006fo V 54007.38778 17.488 0.023
2006fo V 54008.37499 17.579 0.025
2006fo V 54009.38955 17.589 0.026
2006fo V 54011.35656 17.631 0.027
2006fo V 54012.3689 17.737 0.03
2006fo V 54018.42158 17.96 0.037
2006fo V 54020.35275 18.106 0.036
2006fo V 54021.37829 18.258 0.042
2006fo V 54030.3663 18.688 0.057
2006fo V 54041.26112 18.819 0.065
2006fo r 54006.48689 17.335 0.022
2006fo r 54007.38616 17.322 0.023
2006fo r 54008.37339 17.339 0.021
2006fo r 54009.38726 17.314 0.021
2006fo r 54011.35233 17.382 0.022
2006fo r 54012.36659 17.46 0.023
2006fo r 54018.41926 17.668 0.03
2006fo r 54020.35858 17.775 0.032
2006fo r 54021.376 17.786 0.03
2006fo r 54024.4128 17.959 0.032
2006fo r 54030.36397 18.23 0.037
2006fo r 54041.25881 18.507 0.05
2006fo i 54006.48521 17.244 0.024
2006fo i 54007.38455 17.254 0.025
2006fo i 54008.37176 17.209 0.024
2006fo i 54009.38494 17.219 0.023
2006fo i 54011.35193 17.225 0.024
2006fo i 54012.36427 17.23 0.023
2006fo i 54018.41505 17.263 0.025
2006fo i 54020.35328 17.414 0.028
2006fo i 54021.37369 17.466 0.026
2006fo i 54024.4105 17.571 0.033
2006fo i 54030.36168 17.77 0.029
2006fo i 54041.25648 18.045 0.037
2006fo J 54005.326 16.553 0.178
2006fo J 54006.357 16.715 0.091
2006fo J 54007.4 16.714 0.062
2006fo J 54008.339 16.665 0.175
2006fo J 54010.355 16.28 0.083
2006fo J 54012.336 16.384 0.065
2006fo J 54016.332 16.355 0.078
2006fo J 54018.301 16.34 0.175
2006fo J 54019.285 16.119 0.082
2006fo J 54020.362 16.104 0.25
2006fo J 54021.309 16.363 0.175
2006fo J 54022.304 16.339 0.092
2006fo J 54024.334 16.414 0.175
2006fo J 54027.393 16.797 0.146
2006fo J 54028.255 16.288 0.057
2006fo J 54031.243 17.046 0.175
2006fo J 54035.28 16.724 0.332
2006fo J 54037.303 16.877 0.175
2006fo J 54040.31 17.227 0.175
2006fo H 54005.326 16.513 0.363
2006fo H 54006.357 16.381 0.21
2006fo H 54008.339 16.669 0.253
2006fo H 54012.336 16.268 0.311
2006fo H 54016.332 16.514 0.228
2006fo H 54018.301 16.277 0.231
2006fo H 54020.362 16.565 0.105
2006fo H 54021.309 16.178 0.369
2006fo H 54022.304 16.315 0.373
2006fo H 54024.334 16.202 0.174
2006fo H 54027.393 16.326 0.137
2006fo H 54028.255 16.157 0.285
2006fo H 54031.243 16.383 0.254
2006fo H 54035.28 16.457 0.303
2006fo H 54037.303 16.787 0.246
2006fo H 54039.302 16.672 0.25
2006fo H 54040.31 16.782 0.224
2006fo K 54005.326 17.37 0.199
2006fo K 54006.357 17.292 0.217
2006fo K 54007.4 17.07 0.252
2006fo K 54008.339 17.334 0.342
2006fo K 54010.355 17.086 0.22
2006fo K 54012.336 17.306 0.192
2006fo K 54016.332 17.191 0.196
2006fo K 54018.301 17.063 0.181
2006fo K 54019.285 16.997 0.132
2006fo K 54021.309 17.062 0.25
2006fo K 54022.304 16.809 0.204
2006fo K 54024.334 17.084 0.14
2006fo K 54027.393 17.318 0.204
2006fo K 54028.255 17.159 0.127
2006fo K 54031.243 17.451 0.195
2006fo K 54035.28 17.987 0.339
2006fo K 54036.292 17.749 0.332
2006fo K 54037.303 17.861 0.316
2006fo K 54039.302 17.45 0.256
