Name Band MJD Mag Magerr
2006jc U 54021.5073 13.23 0.02
2006jc U 54024.4799 13.44 0.01
2006jc U 54024.4829 13.45 0.02
2006jc U 54028.5058 13.78 0.02
2006jc U 54028.5088 13.77 0.01
2006jc U 54031.5037 14.08 0.02
2006jc U 54031.5066 14.1 0.02
2006jc U 54038.4992 14.76 0.02
2006jc U 54040.52 14.96 0.02
2006jc U 54041.4491 15.04 0.02
2006jc U 54041.5154 15.04 0.03
2006jc U 54043.4829 15.2 0.02
2006jc U 54051.5226 15.69 0.02
2006jc U 54053.4712 15.79 0.02
2006jc U 54055.4143 15.81 0.02
2006jc U 54055.4172 15.86 0.02
2006jc U 54056.4888 15.93 0.02
2006jc U 54071.4832 16.67 0.02
2006jc B 54020.497 14.08 0.03
2006jc B 54020.502 14.07 0.03
2006jc B 54021.505 14.11 0.03
2006jc B 54024.478 14.27 0.03
2006jc B 54025.432 14.35 0.03
2006jc B 54029.495 14.69 0.03
2006jc B 54031.501 14.89 0.03
2006jc B 54036.516 15.35 0.03
2006jc B 54038.496 15.53 0.03
2006jc B 54039.502 15.61 0.03
2006jc B 54040.517 15.73 0.03
2006jc B 54041.446 15.79 0.03
2006jc B 54041.512 15.79 0.03
2006jc B 54043.48 15.91 0.03
2006jc B 54044.463 16.02 0.03
2006jc B 54051.519 16.46 0.03
2006jc B 54053.467 16.58 0.03
2006jc B 54055.412 16.67 0.03
2006jc B 54056.485 16.75 0.03
2006jc B 54070.397 17.42 0.03
2006jc B 54071.479 17.51 0.03
2006jc B 54072.368 17.52 0.04
2006jc B 54073.507 17.6 0.06
2006jc B 54075.442 17.78 0.05
2006jc B 54075.467 17.82 0.05
2006jc B 54076.48 17.96 0.05
2006jc B 54076.514 18.03 0.05
2006jc B 54080.459 18.48 0.05
2006jc B 54080.48 18.46 0.04
2006jc B 54083.524 18.94 0.05
2006jc B 54084.49 19.21 0.06
2006jc B 54086.337 19.49 0.05
2006jc B 54089.442 19.92 0.08
2006jc B 54089.501 19.92 0.08
2006jc B 54091.393 20.07 0.17
2006jc B 54094.459 21.07 0.19
2006jc B 54095.413 21.06 0.15
2006jc B 54100.35 21.03 0.43
2006jc B 54108.452 21.63 0.73
2006jc V 54020.496 14.22 0.02
2006jc V 54020.5 14.22 0.02
2006jc V 54021.503 14.3 0.02
2006jc V 54024.476 14.51 0.02
2006jc V 54025.431 14.59 0.01
2006jc V 54029.492 14.97 0.02
2006jc V 54031.5 15.17 0.02
2006jc V 54036.514 15.64 0.02
2006jc V 54038.495 15.78 0.02
2006jc V 54039.5 15.86 0.02
2006jc V 54040.515 15.96 0.02
2006jc V 54041.444 16.04 0.02
2006jc V 54041.511 16.04 0.03
2006jc V 54043.478 16.18 0.02
2006jc V 54044.434 16.25 0.02
2006jc V 54044.461 16.22 0.02
2006jc V 54045.439 16.3 0.02
2006jc V 54046.475 16.36 0.02
2006jc V 54051.517 16.61 0.02
2006jc V 54053.465 16.74 0.02
