Name Band MJD Mag Magerr
2007C B 54114.49789 17.302 0.018
2007C B 54117.51005 17.421 0.019
2007C B 54122.54972 17.994 0.031
2007C B 54128.45778 18.699 0.035
2007C B 54128.50483 18.792 0.05
2007C B 54141.35775 19.535 0.102
2007C B 54152.41885 19.735 0.094
2007C B 54158.39154 19.647 0.115
2007C B 54159.48917 19.712 0.141
2007C B 54160.36712 19.673 0.195
2007C B 54169.38372 20.093 0.189
2007C B 54170.31192 19.831 0.15
2007C B 54172.39216 20.024 0.148
2007C B 54188.27699 19.952 0.244
2007C B 54232.30796 20.849 0.23
2007C V 54114.49488 16.147 0.013
2007C V 54117.50704 16.125 0.012
2007C V 54122.5467 16.378 0.014
2007C V 54126.4501 16.756 0.016
2007C V 54128.45477 16.882 0.019
2007C V 54128.50181 16.909 0.021
2007C V 54136.45928 17.439 0.03
2007C V 54141.35473 17.735 0.032
2007C V 54148.35581 17.993 0.032
2007C V 54150.42185 17.999 0.095
2007C V 54152.41582 18.038 0.029
2007C V 54153.42173 18.07 0.066
2007C V 54158.38852 18.09 0.044
2007C V 54159.48615 18.182 0.044
2007C V 54160.36412 18.249 0.047
2007C V 54161.37254 18.254 0.058
2007C V 54162.34137 18.163 0.073
2007C V 54168.42913 18.225 0.057
2007C V 54169.38069 18.266 0.048
2007C V 54170.30821 18.327 0.044
2007C V 54172.38846 18.417 0.034
2007C V 54188.27327 18.63 0.057
2007C V 54208.26713 19.107 0.068
2007C V 54209.29974 19.125 0.061
2007C V 54232.30425 19.616 0.107
2007C V 54234.2561 19.435 0.096
2007C V 54237.21444 19.686 0.109
2007C V 54239.33203 19.651 0.12
2007C V 54253.28446 19.815 0.245
2007C r 54114.49326 15.853 0.014
2007C r 54117.50542 15.782 0.014
2007C r 54122.54508 15.898 0.016
2007C r 54126.44848 16.179 0.015
2007C r 54128.45316 16.31 0.017
2007C r 54128.5002 16.313 0.018
2007C r 54136.45766 16.818 0.02
2007C r 54141.35313 17.062 0.02
2007C r 54148.35419 17.279 0.021
2007C r 54152.4142 17.395 0.02
2007C r 54153.42012 17.36 0.035
2007C r 54158.38687 17.538 0.025
2007C r 54159.48452 17.579 0.028
2007C r 54160.3625 17.591 0.028
2007C r 54161.3709 17.641 0.036
2007C r 54162.33973 17.655 0.05
2007C r 54168.42752 17.749 0.031
2007C r 54169.37909 17.762 0.028
2007C r 54170.3052 17.776 0.019
2007C r 54172.38545 17.815 0.027
2007C r 54188.27026 18.112 0.03
2007C r 54206.36462 18.376 0.043
2007C r 54209.29673 18.556 0.039
2007C r 54232.30123 18.907 0.049
2007C r 54234.25308 18.966 0.06
2007C r 54237.21142 19.071 0.06
2007C r 54239.32902 19.136 0.069
2007C r 54253.28143 19.156 0.073
2007C i 54114.49165 15.667 0.02
2007C i 54117.5038 15.568 0.019
2007C i 54122.54348 15.618 0.022
2007C i 54126.44686 15.838 0.02
2007C i 54128.45155 15.982 0.023
2007C i 54128.49857 16.028 0.027
2007C i 54136.45605 16.59 0.034
2007C i 54141.35152 16.673 0.024
2007C i 54148.35258 16.952 0.023
2007C i 54152.41257 17.062 0.025
2007C i 54153.41848 17.037 0.034
2007C i 54158.38527 17.203 0.028
2007C i 54159.4829 17.213 0.029
2007C i 54160.36088 17.254 0.03
2007C i 54161.36928 17.275 0.031
2007C i 54162.33811 17.309 0.045
2007C i 54168.4259 17.415 0.033
2007C i 54169.37748 17.497 0.035
2007C i 54170.30218 17.481 0.03
2007C i 54172.38244 17.52 0.029
2007C i 54188.26723 17.794 0.03
2007C i 54196.31962 17.831 0.063
2007C i 54206.3616 18.25 0.048
2007C i 54208.2611 18.161 0.038
2007C i 54209.2937 18.298 0.051
2007C i 54210.27447 18.252 0.044
2007C i 54234.25006 18.689 0.06
2007C i 54237.2084 18.711 0.066
2007C i 54239.32602 18.806 0.07
2007C i 54253.27841 19.064 0.082
2007C J 54115.462 14.79 0.009
2007C J 54117.433 14.695 0.015
2007C J 54126.524 14.654 0.175
2007C J 54128.497 14.734 0.043
2007C J 54147.554 15.583 0.086
2007C J 54148.534 15.647 0.021
2007C J 54152.346 15.711 0.016
2007C J 54153.387 15.745 0.25
2007C J 54154.478 15.772 0.011
2007C J 54155.428 15.875 0.175
2007C J 54157.428 15.957 0.042
2007C J 54158.364 15.957 0.014
2007C J 54160.365 15.936 0.072
2007C J 54161.433 15.903 0.066
2007C J 54162.42 16.043 0.079
2007C J 54168.37 16.284 0.02
2007C J 54169.325 16.274 0.175
2007C J 54170.352 16.332 0.021
2007C J 54171.338 16.365 0.056
2007C J 54172.392 16.342 0.021
2007C J 54173.32 16.421 0.067
2007C J 54174.34 16.488 0.03
2007C J 54176.311 16.565 0.025
2007C J 54177.301 16.589 0.175
2007C J 54179.295 16.602 0.175
2007C J 54190.334 16.899 0.175
2007C J 54191.287 16.886 0.25
2007C J 54197.3 17.09 0.175
2007C J 54198.3 17.001 0.04
2007C J 54204.274 17.157 0.175
2007C J 54206.265 17.172 0.053
2007C J 54208.243 17.448 0.175
2007C J 54216.226 17.528 0.25
2007C J 54217.334 17.65 0.085
2007C J 54218.236 17.862 0.175
2007C J 54222.25 17.54 0.175
2007C J 54223.251 17.752 0.168
2007C H 54115.462 14.813 0.175
2007C H 54117.433 14.62 0.07
2007C H 54126.524 14.662 0.054
2007C H 54128.497 14.558 0.015
2007C H 54139.408 14.94 0.049
2007C H 54147.554 15.207 0.146
2007C H 54148.534 15.129 0.175
2007C H 54152.346 15.28 0.035
2007C H 54153.387 15.426 0.237
2007C H 54154.478 15.402 0.036
2007C H 54155.428 15.508 0.045
2007C H 54157.428 15.394 0.175
2007C H 54158.364 15.437 0.041
2007C H 54160.365 15.386 0.175
2007C H 54161.433 15.557 0.175
2007C H 54162.42 15.748 0.175
2007C H 54163.339 15.399 0.175
2007C H 54168.37 15.603 0.147
2007C H 54169.325 15.59 0.25
2007C H 54170.352 15.802 0.054
2007C H 54171.338 15.808 0.072
2007C H 54172.392 15.775 0.289
2007C H 54173.32 15.827 0.128
2007C H 54174.34 15.986 0.063
2007C H 54176.311 16.008 0.101
2007C H 54177.301 16.062 0.175
2007C H 54179.295 16.036 0.086
2007C H 54190.334 16.511 0.175
2007C H 54191.287 16.309 0.041
2007C H 54197.3 16.584 0.25
2007C H 54198.3 16.561 0.089
2007C H 54204.274 16.789 0.25
2007C H 54206.265 16.84 0.178
2007C H 54216.226 17.213 0.204
2007C H 54217.334 16.955 0.175
2007C H 54218.236 17.312 0.297
2007C H 54223.251 17.283 0.175
2007C Ks 54115.462 14.489 0.045
2007C Ks 54117.433 14.34 0.06
2007C Ks 54126.524 14.314 0.061
2007C Ks 54147.554 14.97 0.047
2007C Ks 54148.534 15.032 0.175
2007C Ks 54152.346 15.19 0.059
2007C Ks 54153.387 14.894 0.055
2007C Ks 54154.478 14.924 0.107
2007C Ks 54155.428 15.354 0.052
2007C Ks 54157.428 15.175 0.175
2007C Ks 54158.364 15.323 0.175
2007C Ks 54160.365 15.276 0.1
2007C Ks 54161.433 15.324 0.132
2007C Ks 54162.42 15.408 0.25
2007C Ks 54169.325 15.585 0.175
2007C Ks 54170.352 15.823 0.175
2007C Ks 54171.338 15.357 0.068
2007C Ks 54172.392 15.846 0.371
2007C Ks 54173.32 15.504 0.175
2007C Ks 54174.34 15.872 0.08
2007C Ks 54177.301 15.841 0.197
2007C Ks 54179.295 15.787 0.207
2007C Ks 54190.334 16.082 0.127
2007C Ks 54191.287 16.288 0.148
2007C Ks 54198.3 15.896 0.09
2007C Ks 54204.274 16.449 0.175
2007C Ks 54205.32 16.118 0.226
2007C Ks 54206.265 16.611 0.334
2007C Ks 54216.226 16.619 0.25
2007C Ks 54217.334 16.703 0.25
2007C Ks 54218.236 16.791 0.25
2007C Ks 54222.25 16.311 0.083
2007C Ks 54223.251 16.351 0.175
