Name Band MJD Mag Magerr
2007ce B 54226.23564 18.29 0.031
2007ce B 54227.18914 18.298 0.025
2007ce B 54228.20582 18.462 0.028
2007ce B 54232.32095 18.863 0.033
2007ce B 54234.19169 19.006 0.042
2007ce B 54236.31451 19.158 0.05
2007ce B 54239.3098 19.367 0.049
2007ce B 54240.1772 19.336 0.047
2007ce B 54244.2226 19.427 0.101
2007ce V 54226.23263 17.444 0.019
2007ce V 54227.18615 17.504 0.018
2007ce V 54228.20279 17.559 0.02
2007ce V 54230.17473 17.675 0.019
2007ce V 54232.31794 17.822 0.02
2007ce V 54234.18867 17.924 0.025
2007ce V 54236.31152 18.044 0.03
2007ce V 54239.30679 18.184 0.028
2007ce V 54240.17419 18.255 0.026
2007ce V 54244.2196 18.425 0.044
2007ce V 54247.25494 18.585 0.061
2007ce V 54252.25644 18.689 0.091
2007ce V 54255.20124 18.824 0.032
2007ce V 54267.22775 19.178 0.123
2007ce V 54276.21152 19.221 0.112
2007ce V 54279.18058 19.246 0.13
2007ce V 54280.19449 19.154 0.148
2007ce r 54226.23032 17.417 0.021
2007ce r 54227.18383 17.431 0.021
2007ce r 54228.20047 17.473 0.023
2007ce r 54230.17242 17.517 0.021
2007ce r 54232.31563 17.592 0.023
2007ce r 54234.18635 17.714 0.023
2007ce r 54236.30918 17.827 0.027
2007ce r 54239.30449 17.976 0.025
2007ce r 54240.17185 18.013 0.023
2007ce r 54244.21727 18.268 0.032
2007ce r 54247.25264 18.293 0.035
2007ce r 54252.25341 18.523 0.103
2007ce r 54255.19823 18.646 0.03
2007ce r 54267.22473 18.874 0.076
2007ce r 54276.20851 18.897 0.057
2007ce r 54279.17755 19.167 0.072
2007ce r 54280.19147 19.218 0.088
2007ce i 54226.228 17.518 0.026
2007ce i 54227.18152 17.543 0.023
2007ce i 54228.19814 17.521 0.023
2007ce i 54230.1701 17.574 0.026
2007ce i 54232.31331 17.603 0.024
2007ce i 54234.18404 17.662 0.03
2007ce i 54236.30685 17.725 0.036
2007ce i 54237.28257 17.796 0.035
2007ce i 54239.30218 17.866 0.025
2007ce i 54240.16956 17.946 0.027
2007ce i 54244.21496 18.127 0.027
2007ce i 54247.25032 18.331 0.04
2007ce i 54252.2504 18.422 0.04
2007ce i 54255.19522 18.547 0.04
2007ce i 54267.22171 18.693 0.067
2007ce i 54276.20549 19.144 0.074
2007ce i 54279.17453 19.016 0.069
2007ce i 54280.18845 19.191 0.084
2007ce J 54228.208 17.308 0.085
2007ce J 54231.172 17.178 0.061
2007ce J 54233.175 17.15 0.14
2007ce J 54235.153 17.195 0.075
2007ce J 54241.157 17.402 0.073
2007ce J 54243.25 17.362 0.086
2007ce J 54281.169 18.284 0.089
2007ce J 54282.169 18.703 0.169
2007ce J 54286.169 18.905 0.227
2007ce J 54425.529 19.504 0.32
2007ce H 54228.208 17.705 0.188
2007ce H 54231.172 17.264 0.106
2007ce H 54233.175 17.26 0.15
2007ce H 54235.153 17.206 0.127
2007ce H 54241.157 17.424 0.109
2007ce H 54243.25 17.184 0.096
2007ce H 54286.169 18.149 0.197
2007ce Ks 54228.208 16.528 0.093
2007ce Ks 54243.25 17.131 0.305
