Name Band MJD Mag Magerr
2007gr U 54347.44561 14.683 0.021
2007gr U 54351.46482 15.402 0.02
2007gr U 54352.39938 15.548 0.021
2007gr U 54353.47478 15.641 0.021
2007gr U 54354.43451 15.68 0.023
2007gr U 54355.4083 15.838 0.021
2007gr U 54356.42634 15.873 0.022
2007gr U 54357.42713 15.935 0.023
2007gr U 54358.47274 16.122 0.025
2007gr B 54346.46382 14.11 0.014
2007gr B 54347.44255 14.233 0.014
2007gr B 54348.40251 14.347 0.014
2007gr B 54351.45704 14.731 0.014
2007gr B 54352.39634 14.848 0.014
2007gr B 54353.47174 14.953 0.014
2007gr B 54354.43146 15.049 0.014
2007gr B 54355.40525 15.141 0.014
2007gr B 54356.4233 15.237 0.014
2007gr B 54357.42409 15.279 0.014
2007gr B 54358.46968 15.397 0.015
2007gr B 54363.38273 15.665 0.015
2007gr B 54369.39436 15.865 0.017
2007gr B 54370.40919 15.863 0.017
2007gr B 54377.34185 15.935 0.015
2007gr B 54379.42039 15.977 0.015
2007gr B 54381.46516 15.963 0.015
2007gr B 54383.37174 15.991 0.015
2007gr B 54384.43282 16.006 0.015
2007gr V 54346.46149 13.194 0.013
2007gr V 54347.44023 13.264 0.015
2007gr V 54348.40021 13.349 0.015
2007gr V 54351.45472 13.62 0.015
2007gr V 54352.38636 13.701 0.015
2007gr V 54353.46942 13.791 0.015
2007gr V 54354.42914 13.881 0.015
2007gr V 54355.40294 13.965 0.014
2007gr V 54356.42098 14.042 0.015
2007gr V 54357.42177 14.126 0.014
2007gr V 54358.46737 14.206 0.015
2007gr V 54363.38041 14.525 0.015
2007gr V 54369.38444 14.74 0.015
2007gr V 54370.40686 14.772 0.015
2007gr V 54377.33954 14.933 0.015
2007gr V 54379.41804 14.966 0.015
2007gr V 54381.46285 15.006 0.014
2007gr V 54383.36942 15.043 0.015
2007gr V 54384.43051 15.045 0.015
2007gr r 54347.43862 13.065 0.015
2007gr r 54348.39857 13.151 0.015
2007gr r 54351.45311 13.369 0.015
2007gr r 54352.39239 13.437 0.017
2007gr r 54353.46779 13.506 0.016
2007gr r 54354.42755 13.582 0.015
2007gr r 54355.40132 13.651 0.015
2007gr r 54356.41937 13.717 0.016
2007gr r 54357.42015 13.789 0.015
2007gr r 54358.46577 13.868 0.015
2007gr r 54363.3788 14.196 0.015
2007gr r 54369.38282 14.425 0.016
2007gr r 54370.40524 14.458 0.015
2007gr r 54377.33792 14.652 0.016
2007gr r 54379.41642 14.694 0.015
2007gr r 54381.46124 14.75 0.014
2007gr r 54383.3678 14.781 0.016
2007gr r 54384.42889 14.797 0.016
2007gr i 54348.39696 13.19 0.016
2007gr i 54351.45149 13.359 0.016
2007gr i 54352.39077 13.412 0.017
2007gr i 54353.46618 13.475 0.017
2007gr i 54354.42593 13.541 0.016
2007gr i 54355.3997 13.598 0.016
2007gr i 54356.41777 13.653 0.017
2007gr i 54357.41854 13.726 0.016
2007gr i 54358.46416 13.794 0.016
2007gr i 54363.37718 14.096 0.016
2007gr i 54369.3812 14.336 0.016
2007gr i 54370.40363 14.366 0.016
2007gr i 54377.3363 14.557 0.016
2007gr i 54379.4148 14.601 0.016
2007gr i 54381.45962 14.659 0.015
2007gr i 54383.36619 14.698 0.016
2007gr i 54384.42727 14.718 0.016
2007gr J 54347.449 12.473 0.03
2007gr J 54348.446 12.464 0.014
2007gr J 54352.438 12.613 0.024
2007gr J 54353.436 12.632 0.25
2007gr J 54354.446 12.69 0.014
2007gr J 54355.433 12.766 0.012
2007gr J 54356.429 12.809 0.012
2007gr J 54357.428 12.793 0.25
2007gr J 54363.432 13.162 0.02
2007gr J 54368.412 13.345 0.019
2007gr J 54369.38 13.394 0.013
2007gr J 54370.398 13.471 0.175
2007gr J 54377.331 13.686 0.016
2007gr H 54347.449 12.329 0.029
2007gr H 54348.446 12.3 0.175
2007gr H 54352.438 12.395 0.025
2007gr H 54353.436 12.327 0.019
2007gr H 54354.446 12.473 0.015
2007gr H 54355.433 12.499 0.175
2007gr H 54356.429 12.558 0.016
2007gr H 54357.428 12.532 0.027
2007gr H 54363.432 12.771 0.012
2007gr H 54368.412 12.959 0.026
2007gr H 54369.38 12.997 0.043
2007gr H 54370.398 13.147 0.04
2007gr H 54377.331 13.253 0.016
2007gr K 54348.446 12.297 0.011
2007gr K 54352.438 12.273 0.027
2007gr K 54355.433 12.469 0.015
2007gr K 54356.429 12.39 0.073
2007gr K 54357.428 12.453 0.019
2007gr K 54363.432 12.874 0.023
2007gr K 54368.412 13.001 0.175
2007gr K 54369.38 13.059 0.175
2007gr K 54370.398 13.046 0.025
2007gr K 54377.331 13.146 0.074
