Name Band MJD Mag Magerr
2007uy B 54470.4849 17.052 0.018
2007uy B 54474.44575 16.797 0.016
2007uy B 54475.41519 16.766 0.016
2007uy B 54476.44191 16.736 0.016
2007uy B 54477.36835 16.725 0.016
2007uy B 54478.39779 16.735 0.016
2007uy B 54480.39863 16.784 0.016
2007uy B 54481.51614 16.795 0.016
2007uy B 54482.44583 16.862 0.016
2007uy B 54483.28662 16.901 0.017
2007uy B 54484.37214 16.975 0.017
2007uy B 54485.41593 17.089 0.018
2007uy B 54494.47464 18.215 0.04
2007uy B 54495.37244 18.234 0.029
2007uy B 54496.34629 18.288 0.03
2007uy B 54497.40503 18.426 0.043
2007uy B 54498.31737 18.386 0.034
2007uy B 54499.35969 18.503 0.036
2007uy B 54502.44801 18.658 0.038
2007uy B 54503.35462 18.793 0.044
2007uy B 54504.38009 18.761 0.043
2007uy B 54505.42428 18.722 0.044
2007uy B 54507.22459 18.846 0.048
2007uy B 54509.285 18.836 0.046
2007uy B 54510.17176 18.801 0.054
2007uy V 54470.48004 16.571 0.017
2007uy V 54474.44089 16.073 0.015
2007uy V 54475.41034 15.99 0.015
2007uy V 54476.43704 15.928 0.015
2007uy V 54477.36349 15.875 0.015
2007uy V 54478.39292 15.803 0.015
2007uy V 54480.39379 15.747 0.014
2007uy V 54481.51127 15.766 0.015
2007uy V 54482.4373 15.73 0.016
2007uy V 54483.28077 15.772 0.015
2007uy V 54484.36659 15.854 0.018
2007uy V 54485.41038 15.867 0.015
2007uy V 54494.46909 16.409 0.017
2007uy V 54495.36689 16.451 0.016
2007uy V 54496.34073 16.551 0.016
2007uy V 54497.40059 16.588 0.02
2007uy V 54498.31182 16.681 0.017
2007uy V 54499.35413 16.737 0.018
2007uy V 54502.44247 16.924 0.018
2007uy V 54503.34968 17.001 0.019
2007uy V 54504.37427 17.043 0.02
2007uy V 54505.41873 17.103 0.021
2007uy V 54507.21905 17.17 0.02
2007uy V 54509.27942 17.248 0.018
2007uy V 54510.1662 17.288 0.023
