Name Band MJD Mag Magerr
2008D B 54475.41335 19.029 0.041
2008D B 54475.41704 19.142 0.055
2008D B 54476.44007 18.987 0.042
2008D B 54476.44374 18.997 0.039
2008D B 54477.26833 19.061 0.055
2008D B 54477.46468 19.15 0.05
2008D B 54477.46836 19.113 0.046
2008D B 54478.30483 19.198 0.048
2008D B 54478.30852 19.252 0.051
2008D B 54478.48707 19.274 0.051
2008D B 54478.49075 19.215 0.051
2008D B 54480.39678 19.387 0.086
2008D B 54480.40048 19.331 0.077
2008D B 54481.51429 19.138 0.055
2008D B 54481.51799 19.116 0.06
2008D B 54482.44031 18.988 0.045
2008D B 54482.44402 18.987 0.044
2008D B 54482.44768 19.032 0.039
2008D B 54482.45133 18.999 0.042
2008D B 54483.2845 18.9 0.064
2008D B 54483.28821 18.909 0.065
2008D B 54484.3703 18.871 0.076
2008D B 54484.37398 18.781 0.061
2008D B 54494.47279 18.425 0.058
2008D B 54494.47648 18.323 0.054
2008D B 54495.3706 18.54 0.037
2008D B 54495.37428 18.53 0.037
2008D B 54496.34444 18.617 0.042
2008D B 54496.34814 18.55 0.037
2008D B 54497.408 18.601 0.061
2008D B 54498.31553 18.693 0.033
2008D B 54498.31922 18.762 0.032
2008D B 54499.35786 18.851 0.054
2008D B 54499.36153 18.872 0.054
2008D B 54502.44618 19.1 0.049
2008D B 54502.44985 19.218 0.054
2008D B 54503.35339 19.21 0.06
2008D B 54503.35707 19.287 0.051
2008D B 54504.37798 19.297 0.051
2008D B 54504.38167 19.196 0.053
2008D B 54505.42244 19.42 0.048
2008D B 54505.42613 19.428 0.055
2008D B 54509.28316 19.874 0.076
2008D B 54509.28685 19.788 0.063
2008D B 54510.16992 19.923 0.151
2008D B 54510.17361 19.745 0.138
2008D B 54520.26316 20.387 0.187
2008D B 54524.2839 20.545 0.13
2008D B 54531.14465 20.597 0.141
2008D B 54536.16698 20.645 0.139
2008D B 54537.15979 20.72 0.185
2008D B 54539.12633 20.645 0.173
2008D B 54539.13002 20.626 0.152
2008D B 54558.11382 20.631 0.154
2008D B 54569.1383 20.862 0.328
2008D B 54572.17387 20.893 0.297
2008D B 54579.13512 20.988 0.274
2008D B 54615.1524 21.415 0.446
2008D V 54475.41034 18.516 0.036
2008D V 54476.43704 18.376 0.031
2008D V 54477.26532 18.458 0.034
2008D V 54477.46167 18.403 0.038
2008D V 54478.30179 18.492 0.034
2008D V 54478.48405 18.431 0.035
2008D V 54480.39379 18.218 0.042
2008D V 54481.51127 18.055 0.037
2008D V 54482.4373 17.951 0.026
2008D V 54483.28077 17.874 0.028
2008D V 54484.36659 17.721 0.032
2008D V 54485.41038 17.628 0.028
2008D V 54494.46909 17.372 0.026
2008D V 54495.36689 17.424 0.022
2008D V 54496.34073 17.4 0.02
2008D V 54497.40059 17.499 0.037
2008D V 54498.31182 17.484 0.019
2008D V 54499.35413 17.507 0.024
2008D V 54502.44247 17.673 0.024
2008D V 54503.34968 17.713 0.021
2008D V 54504.37427 17.771 0.025
2008D V 54505.41873 17.852 0.024
2008D V 54507.21905 17.908 0.039
2008D V 54509.27942 18.135 0.028
2008D V 54510.1662 18.206 0.035
2008D V 54520.25946 18.789 0.053
2008D V 54523.2476 18.838 0.045
2008D V 54524.28017 18.89 0.046
2008D V 54531.13726 18.936 0.046
2008D V 54536.16327 19.088 0.047
2008D V 54537.15609 19.172 0.067
2008D V 54539.12262 19.073 0.058
2008D V 54547.10923 19.168 0.063
2008D V 54553.13066 19.418 0.067
2008D V 54558.10642 19.428 0.076
2008D V 54569.1346 19.648 0.143
2008D V 54572.17016 19.867 0.136
2008D V 54575.2464 19.862 0.116
2008D V 54579.12771 19.891 0.099
2008D V 54583.14354 20.028 0.103
2008D V 54590.16892 20.18 0.158
2008D V 54594.15926 20.163 0.135
2008D r 54475.408 18.314 0.036
2008D r 54476.43472 18.099 0.031
2008D r 54477.26301 18.125 0.031
2008D r 54477.45935 18.166 0.032
