Name Band MJD Mag Magerr
2008aq U 54526.48723 16.431 0.053
2008aq U 54526.49087 16.435 0.051
2008aq B 54526.48346 16.515 0.02
2008aq B 54543.38219 17.564 0.044
2008aq B 54544.31054 17.58 0.055
2008aq B 54557.43148 18.196 0.04
2008aq B 54579.28619 18.436 0.066
2008aq B 54583.29716 18.323 0.035
2008aq B 54585.26162 18.382 0.035
2008aq B 54587.27266 18.288 0.034
2008aq B 54591.31887 18.481 0.035
2008aq B 54596.20135 18.517 0.04
2008aq B 54599.23254 18.642 0.07
2008aq V 54526.48045 16.098 0.02
2008aq V 54543.37918 16.477 0.021
2008aq V 54544.30752 16.513 0.025
2008aq V 54557.42848 17.119 0.02
2008aq V 54579.28248 17.511 0.032
2008aq V 54583.29345 17.463 0.021
2008aq V 54585.2579 17.581 0.022
2008aq V 54587.26895 17.529 0.021
2008aq V 54591.31514 17.674 0.025
2008aq V 54593.29117 17.612 0.024
2008aq V 54596.19764 17.662 0.027
2008aq V 54597.31638 17.76 0.029
2008aq V 54599.22882 17.857 0.038
2008aq r 54526.4781 15.92 0.021
2008aq r 54543.37686 16.056 0.021
2008aq r 54544.30522 16.12 0.02
2008aq r 54557.42617 16.725 0.021
2008aq r 54568.32484 16.839 0.025
2008aq r 54570.33641 16.998 0.022
2008aq r 54579.27947 17.222 0.026
2008aq r 54585.2549 17.287 0.024
2008aq r 54587.26593 17.329 0.024
2008aq r 54591.31212 17.423 0.026
2008aq r 54593.28815 17.413 0.025
2008aq r 54596.19462 17.494 0.023
2008aq r 54597.31335 17.562 0.036
2008aq r 54599.22581 17.598 0.03
2008aq i 54526.47579 16.185 0.021
2008aq i 54543.37455 16.021 0.018
2008aq i 54544.30292 16.064 0.019
2008aq i 54557.42385 16.567 0.019
2008aq i 54568.3225 16.739 0.021
2008aq i 54570.33409 16.89 0.023
2008aq i 54579.27646 17.038 0.027
2008aq i 54583.28742 17.077 0.024
2008aq i 54585.25188 17.174 0.023
2008aq i 54587.26291 17.169 0.022
2008aq i 54591.30911 17.288 0.024
2008aq i 54593.28514 17.333 0.022
2008aq i 54596.19162 17.362 0.023
2008aq i 54599.2228 17.436 0.027
