time r-J rJ_err r-H rH_err r-K rK_err
-6.24433642125 -0.43714099333 0.0566030918904 1.0 1.0 1.0 1.0
-5.33033642126 -0.409728499891 0.0448734888083 1.0 1.0 1.0 1.0
-4.32733642125 -0.469798882116 0.0442267996459 1.0 1.0 1.0 1.0
-3.29333642125 -0.46319558977 0.0446049112577 1.0 1.0 1.0 1.0
0.778663578749 -0.355291841706 0.0409043406293 1.0 1.0 1.0 1.0
2.70966357875 -0.241920170434 0.0374487190236 1.0 1.0 1.0 1.0
5.68066357874 -0.0772492300192 0.037881306252 1.0 1.0 1.0 1.0
10.6046635787 0.12425502064 0.0648772285247 1.0 1.0 1.0 1.0
16.5936635787 0.319652295133 0.0445304398242 1.0 1.0 1.0 1.0
18.6586635787 0.360256918048 0.0394437337921 1.0 1.0 1.0 1.0
23.6416635787 0.361258420455 0.0515730392384 1.0 1.0 1.0 1.0
24.6316635787 0.313680904125 0.058607421211 1.0 1.0 1.0 1.0
25.5696635787 0.298500596144 0.0506354565745 1.0 1.0 1.0 1.0
26.6776635787 0.299299061541 0.0516590983095 1.0 1.0 1.0 1.0
27.5916635787 0.364238139779 0.0456720121204 1.0 1.0 1.0 1.0
28.6626635787 0.386828459121 0.0626755349459 1.0 1.0 1.0 1.0
29.5986635787 0.443983258439 0.0536667734936 1.0 1.0 1.0 1.0
32.6266635787 0.478280602373 0.0485639416282 1.0 1.0 1.0 1.0
33.5776635787 0.463521606866 0.0485237292114 1.0 1.0 1.0 1.0
-6.24433642125 1.0 1.0 -0.5821539612 0.0766030918904 1.0 1.0
-5.33033642126 1.0 1.0 -0.552741467761 0.0698734888083 1.0 1.0
-4.32733642125 1.0 1.0 -0.607811849986 0.0572267996459 1.0 1.0
-3.29333642125 1.0 1.0 -0.58320855764 0.0556049112577 1.0 1.0
-0.224336421255 1.0 1.0 -0.34827223088 0.11858832065 1.0 1.0
0.778663578749 1.0 1.0 -0.410304809575 0.0499043406293 1.0 1.0
2.70966357875 1.0 1.0 -0.335933138304 0.0494487190236 1.0 1.0
5.68066357874 1.0 1.0 -0.130262197889 0.050881306252 1.0 1.0
10.6046635787 1.0 1.0 0.24124205277 0.0568772285247 1.0 1.0
16.5936635787 1.0 1.0 0.287639327264 0.0465304398242 1.0 1.0
18.6586635787 1.0 1.0 0.333243950179 0.0484437337921 1.0 1.0
23.6416635787 1.0 1.0 0.526245452585 0.0625730392384 1.0 1.0
24.6316635787 1.0 1.0 0.400667936255 0.056607421211 1.0 1.0
25.5696635787 1.0 1.0 0.363487628274 0.0556354565745 1.0 1.0
26.6776635787 1.0 1.0 0.432286093671 0.0516590983095 1.0 1.0
27.5916635787 1.0 1.0 0.443225171909 0.0606720121204 1.0 1.0
28.6626635787 1.0 1.0 0.446815491251 0.0566755349459 1.0 1.0
29.5986635787 1.0 1.0 0.490970290569 0.0696667734936 1.0 1.0
32.6266635787 1.0 1.0 0.568267634503 0.0605639416282 1.0 1.0
33.5776635787 1.0 1.0 0.514508638996 0.0705237292114 1.0 1.0
-6.24433642125 1.0 1.0 1.0 1.0 -0.557129152561 0.0986030918904
-5.33033642126 1.0 1.0 1.0 1.0 -0.353716659123 0.0708734888083
-4.32733642125 1.0 1.0 1.0 1.0 -0.378787041348 0.0642267996459
-3.29333642125 1.0 1.0 1.0 1.0 -0.395183749002 0.0606049112577
-0.224336421255 1.0 1.0 1.0 1.0 -0.170247422242 0.12558832065
0.778663578749 1.0 1.0 1.0 1.0 -0.277280000937 0.0579043406293
2.70966357875 1.0 1.0 1.0 1.0 -0.0919083296657 0.0514487190236
5.68066357874 1.0 1.0 1.0 1.0 0.0457626107493 0.056881306252
16.5936635787 1.0 1.0 1.0 1.0 0.630664135902 0.0505304398242
18.6586635787 1.0 1.0 1.0 1.0 0.637268758817 0.0514437337921
23.6416635787 1.0 1.0 1.0 1.0 0.713270261223 0.0555730392384
24.6316635787 1.0 1.0 1.0 1.0 0.571692744893 0.061607421211
25.5696635787 1.0 1.0 1.0 1.0 0.639512436913 0.0546354565745
26.6776635787 1.0 1.0 1.0 1.0 0.585310902309 0.0626590983095
27.5916635787 1.0 1.0 1.0 1.0 0.654249980547 0.0576720121204
28.6626635787 1.0 1.0 1.0 1.0 0.712840299889 0.0696755349459
29.5986635787 1.0 1.0 1.0 1.0 0.799995099207 0.0666667734936
32.6266635787 1.0 1.0 1.0 1.0 0.847292443142 0.0675639416282
33.5776635787 1.0 1.0 1.0 1.0 0.793533447635 0.0715237292114
