time r-J rJ_err r-H rH_err r-K rK_err
-15.2757724506 0.975522631104 0.0955886427449 1.0 1.0 1.0 1.0
-14.2157724506 0.613820511954 0.1035811496 1.0 1.0 1.0 1.0
-13.2057724506 0.394753263965 0.0992225719401 1.0 1.0 1.0 1.0
-12.2057724506 0.219216181796 0.0674479516234 1.0 1.0 1.0 1.0
-11.1657724506 0.139082511631 0.126688987894 1.0 1.0 1.0 1.0
-10.2057724506 0.176183732525 0.126560705632 1.0 1.0 1.0 1.0
-9.22577245064 0.296935249294 0.12676807487 1.0 1.0 1.0 1.0
-8.28577245064 0.282763710333 0.0669105684169 1.0 1.0 1.0 1.0
-7.22577245064 0.280828328909 0.106805404037 1.0 1.0 1.0 1.0
-6.19577245064 0.271424376907 0.0764989404873 1.0 1.0 1.0 1.0
-5.23577245064 0.27500500931 0.0461037634206 1.0 1.0 1.0 1.0
-4.19577245064 0.258350035277 0.0356127255934 1.0 1.0 1.0 1.0
6.64422754936 0.736716358441 0.062335755182 1.0 1.0 1.0 1.0
8.71422754936 0.784249403854 0.232342119605 1.0 1.0 1.0 1.0
14.6542275494 1.04682128861 0.0725850579267 1.0 1.0 1.0 1.0
17.6942275494 1.02179621329 0.0426861147548 1.0 1.0 1.0 1.0
18.6742275494 1.06420081515 0.0726796410863 1.0 1.0 1.0 1.0
19.7042275494 1.01764421157 0.0626452328674 1.0 1.0 1.0 1.0
-15.2757724506 1.0 1.0 0.993272926893 0.115588642745 1.0 1.0
-14.2157724506 1.0 1.0 0.651570807743 0.1235811496 1.0 1.0
-13.2057724506 1.0 1.0 0.412503559754 0.11922257194 1.0 1.0
-12.2057724506 1.0 1.0 0.326966477585 0.117447951623 1.0 1.0
-11.1657724506 1.0 1.0 0.27683280742 0.126688987894 1.0 1.0
-10.2057724506 1.0 1.0 0.263934028314 0.126560705632 1.0 1.0
-9.22577245064 1.0 1.0 0.284685545084 0.0967680748702 1.0 1.0
-8.28577245064 1.0 1.0 0.330514006123 0.0269105684169 1.0 1.0
-7.22577245064 1.0 1.0 0.328578624698 0.156805404037 1.0 1.0
-6.19577245064 1.0 1.0 0.299174672697 0.0764989404873 1.0 1.0
-5.23577245064 1.0 1.0 0.332755305099 0.186103763421 1.0 1.0
-4.19577245064 1.0 1.0 0.286100331066 0.0756127255934 1.0 1.0
6.64422754936 1.0 1.0 0.694466654231 0.102335755182 1.0 1.0
8.71422754936 1.0 1.0 0.841999699643 0.0523421196049 1.0 1.0
14.6542275494 1.0 1.0 1.1145715844 0.0425850579267 1.0 1.0
17.6942275494 1.0 1.0 1.12954650908 0.0326861147548 1.0 1.0
18.6742275494 1.0 1.0 1.14195111094 0.0526796410863 1.0 1.0
19.7042275494 1.0 1.0 1.16539450736 0.0826452328674 1.0 1.0
-15.2757724506 1.0 1.0 1.0 1.0 2.22921415695 0.185588642745
-14.2157724506 1.0 1.0 1.0 1.0 2.2775120378 0.1335811496
-13.2057724506 1.0 1.0 1.0 1.0 2.05844478981 0.17922257194
-12.2057724506 1.0 1.0 1.0 1.0 2.01290770764 0.147447951623
-11.1657724506 1.0 1.0 1.0 1.0 2.05277403748 0.126688987894
-10.2057724506 1.0 1.0 1.0 1.0 2.11987525837 0.0965607056318
-9.22577245064 1.0 1.0 1.0 1.0 2.08062677514 0.0467680748702
-8.28577245064 1.0 1.0 1.0 1.0 2.04645523618 0.0769105684169
-7.22577245064 1.0 1.0 1.0 1.0 2.15451985475 0.0868054040367
-6.19577245064 1.0 1.0 1.0 1.0 2.12511590275 0.0964989404873
-5.23577245064 1.0 1.0 1.0 1.0 2.07869653515 0.156103763421
-4.19577245064 1.0 1.0 1.0 1.0 2.11204156112 0.0756127255934
6.64422754936 1.0 1.0 1.0 1.0 2.55040788429 0.052335755182
8.71422754936 1.0 1.0 1.0 1.0 2.7579409297 0.0623421196049
14.6542275494 1.0 1.0 1.0 1.0 2.96051281445 0.132585057927
17.6942275494 1.0 1.0 1.0 1.0 2.93548773914 0.152686114755
18.6742275494 1.0 1.0 1.0 1.0 2.967892341 0.0726796410863
19.7042275494 1.0 1.0 1.0 1.0 3.00133573741 0.0526452328674
