time u-B uB_err r-J rJ_err r-H rH_err r-K rK_err
-4.11522686788 1.27382524936 0.139378662064 1.0 1.0 1.0 1.0 1.0 1.0
-3.17551686788 1.46417909814 0.15247127362 1.0 1.0 1.0 1.0 1.0 1.0
-2.16353686788 1.57188865918 0.164970330465 1.0 1.0 1.0 1.0 1.0 1.0
-1.16816686788 1.30021803667 0.132083959054 1.0 1.0 1.0 1.0 1.0 1.0
-0.168256867881 1.67828359484 0.181044797452 1.0 1.0 1.0 1.0 1.0 1.0
0.923763132123 1.27442681836 0.126091220946 1.0 1.0 1.0 1.0 1.0 1.0
1.90867313212 1.31086002609 0.16212064985 1.0 1.0 1.0 1.0 1.0 1.0
2.76093313212 1.2320026702 0.182151138632 1.0 1.0 1.0 1.0 1.0 1.0
3.79847313212 0.819524443915 0.142953291674 1.0 1.0 1.0 1.0 1.0 1.0
11.0435131321 1.04700359891 0.18661899855 1.0 1.0 1.0 1.0 1.0 1.0
13.0306331321 0.829705612818 0.184653506387 1.0 1.0 1.0 1.0 1.0 1.0
16.9553031321 1.96215803891 0.359299380709 1.0 1.0 1.0 1.0 1.0 1.0
-3.19231686788 1.0 1.0 0.845579324372 0.193056011421 1.0 1.0 1.0 1.0
-2.20331686788 1.0 1.0 0.645012931974 0.0335869217404 1.0 1.0 1.0 1.0
-1.18531686788 1.0 1.0 0.711809360445 0.195137819341 1.0 1.0 1.0 1.0
-0.201316867882 1.0 1.0 0.690681945832 0.0353151039948 1.0 1.0 1.0 1.0
0.792683132117 1.0 1.0 0.740350513836 0.195368216369 1.0 1.0 1.0 1.0
1.78468313212 1.0 1.0 0.679343180135 0.195396842281 1.0 1.0 1.0 1.0
10.8556831321 1.0 1.0 0.969141080187 0.0328146542845 1.0 1.0 1.0 1.0
16.8736831321 1.0 1.0 1.20066969848 0.19580903172 1.0 1.0 1.0 1.0
17.7736831321 1.0 1.0 1.15916229154 0.0318005770055 1.0 1.0 1.0 1.0
19.7446831321 1.0 1.0 1.33122091848 0.0297755221015 1.0 1.0 1.0 1.0
20.9386831321 1.0 1.0 1.27249357108 0.19575783059 1.0 1.0 1.0 1.0
21.7296831321 1.0 1.0 1.2639176505 0.195746673854 1.0 1.0 1.0 1.0
23.7996831321 1.0 1.0 1.45045500784 0.0357196781624 1.0 1.0 1.0 1.0
24.7346831321 1.0 1.0 1.42370065937 0.195716772401 1.0 1.0 1.0 1.0
25.7216831321 1.0 1.0 1.4122625874 0.195718928357 1.0 1.0 1.0 1.0
26.8706831321 1.0 1.0 1.52279210117 0.0407210921101 1.0 1.0 1.0 1.0
28.7446831321 1.0 1.0 1.63034031471 0.0407184826987 1.0 1.0 1.0 1.0
29.7736831321 1.0 1.0 1.73553792688 0.0477096601214 1.0 1.0 1.0 1.0
30.7066831321 1.0 1.0 1.51829207701 0.038695132999 1.0 1.0 1.0 1.0
31.7056831321 1.0 1.0 1.56231514807 0.0436777014552 1.0 1.0 1.0 1.0
32.7126831321 1.0 1.0 1.61407983505 0.0346594950987 1.0 1.0 1.0 1.0
33.6976831321 1.0 1.0 1.52330647743 0.0376424026086 1.0 1.0 1.0 1.0
34.7466831321 1.0 1.0 1.53382819105 0.0366240283164 1.0 1.0 1.0 1.0
-3.19231686788 1.0 1.0 1.0 1.0 1.00656783672 0.0510560114207 1.0 1.0
-2.20331686788 1.0 1.0 1.0 1.0 0.689001444317 0.0815869217404 1.0 1.0
-1.18531686788 1.0 1.0 1.0 1.0 0.915797872789 0.0551378193413 1.0 1.0
0.792683132117 1.0 1.0 1.0 1.0 0.64333902618 0.0653682163692 1.0 1.0
1.78468313212 1.0 1.0 1.0 1.0 0.642331692478 0.0763968422814 1.0 1.0
10.8556831321 1.0 1.0 1.0 1.0 1.06812959253 0.195814654284 1.0 1.0
16.8736831321 1.0 1.0 1.0 1.0 1.28265821082 0.0528090317204 1.0 1.0
17.7736831321 1.0 1.0 1.0 1.0 1.53115080388 0.270800577006 1.0 1.0
19.7446831321 1.0 1.0 1.0 1.0 1.66120943083 0.270775522101 1.0 1.0
20.9386831321 1.0 1.0 1.0 1.0 1.58148208342 0.0417578305901 1.0 1.0
21.7296831321 1.0 1.0 1.0 1.0 1.57090616285 0.195746673854 1.0 1.0
23.7996831321 1.0 1.0 1.0 1.0 1.73844352019 0.195719678162 1.0 1.0
24.7346831321 1.0 1.0 1.0 1.0 1.55268917171 0.044716772401 1.0 1.0
25.7216831321 1.0 1.0 1.0 1.0 1.75925109974 0.0397189283572 1.0 1.0
26.8706831321 1.0 1.0 1.0 1.0 1.74578061351 0.0687210921101 1.0 1.0
27.9066831321 1.0 1.0 1.0 1.0 1.61038935886 0.0427214651781 1.0 1.0
28.7446831321 1.0 1.0 1.0 1.0 1.90032882706 0.270718482699 1.0 1.0
29.7736831321 1.0 1.0 1.0 1.0 1.72952643922 0.0837096601214 1.0 1.0
30.7066831321 1.0 1.0 1.0 1.0 1.68728058935 0.053695132999 1.0 1.0
31.7056831321 1.0 1.0 1.0 1.0 1.87130366042 0.195677701455 1.0 1.0
32.7126831321 1.0 1.0 1.0 1.0 1.99706834739 0.0436594950987 1.0 1.0
33.6976831321 1.0 1.0 1.0 1.0 1.80029498977 0.0556424026086 1.0 1.0
34.7466831321 1.0 1.0 1.0 1.0 1.9678167034 0.0406240283164 1.0 1.0
-2.20331686788 1.0 1.0 1.0 1.0 1.0 1.0 0.611242159786 0.26958692174
-1.18531686788 1.0 1.0 1.0 1.0 1.0 1.0 0.878038588257 0.195137819341
0.792683132117 1.0 1.0 1.0 1.0 1.0 1.0 0.570579741648 0.195368216369
1.78468313212 1.0 1.0 1.0 1.0 1.0 1.0 0.739572407946 0.195396842281
10.8556831321 1.0 1.0 1.0 1.0 1.0 1.0 1.097370308 0.195814654284
16.8736831321 1.0 1.0 1.0 1.0 1.0 1.0 1.33589892629 0.19580903172
19.7446831321 1.0 1.0 1.0 1.0 1.0 1.0 1.3064501463 0.270775522101
21.7296831321 1.0 1.0 1.0 1.0 1.0 1.0 1.46314687832 0.195746673854
23.7996831321 1.0 1.0 1.0 1.0 1.0 1.0 1.52268423566 0.195719678162
24.7346831321 1.0 1.0 1.0 1.0 1.0 1.0 1.43292988718 0.195716772401
25.7216831321 1.0 1.0 1.0 1.0 1.0 1.0 1.51949181521 0.195718928357
28.7446831321 1.0 1.0 1.0 1.0 1.0 1.0 1.51256954252 0.195718482699
33.6976831321 1.0 1.0 1.0 1.0 1.0 1.0 1.88253570524 0.195642402609
34.7466831321 1.0 1.0 1.0 1.0 1.0 1.0 1.83805741887 0.195624028316
