time r-J rJ_err r-H rH_err r-K rK_err
28.0889069512 0.706246102247 0.0804207164986 1.0 1.0 1.0 1.0
29.0589069512 0.602941705703 0.075406019436 1.0 1.0 1.0 1.0
30.0799069512 0.811720948148 0.0713819486828 1.0 1.0 1.0 1.0
31.0799069512 0.816435373182 0.0623719278569 1.0 1.0 1.0 1.0
33.0599069512 0.801181408356 0.0554022951619 1.0 1.0 1.0 1.0
36.0789069512 0.711367028593 0.0714707009185 1.0 1.0 1.0 1.0
37.0969069512 0.635211813122 0.0854887828826 1.0 1.0 1.0 1.0
38.0949069512 0.657151196535 0.073504689502 1.0 1.0 1.0 1.0
39.0569069512 0.478562591028 0.277504058442 1.0 1.0 1.0 1.0
40.0569069512 0.696810171497 0.0664970477644 1.0 1.0 1.0 1.0
41.1019069512 0.770368926213 0.202508763058 1.0 1.0 1.0 1.0
28.0889069512 1.0 1.0 0.966645731661 0.0674207164986 1.0 1.0
29.0589069512 1.0 1.0 1.07034133512 0.094406019436 1.0 1.0
30.0799069512 1.0 1.0 1.08112057756 0.106381948683 1.0 1.0
31.0799069512 1.0 1.0 1.0358350026 0.0933719278569 1.0 1.0
33.0599069512 1.0 1.0 0.972581037771 0.0854022951619 1.0 1.0
34.0859069512 1.0 1.0 0.908447301407 0.138429265003 1.0 1.0
36.0789069512 1.0 1.0 0.970766658008 0.109470700918 1.0 1.0
37.0969069512 1.0 1.0 0.973611442537 0.0974887828826 1.0 1.0
38.0949069512 1.0 1.0 0.778550825949 0.100504689502 1.0 1.0
39.0569069512 1.0 1.0 0.884962220442 0.153504058442 1.0 1.0
40.0569069512 1.0 1.0 1.06720980091 0.0984970477644 1.0 1.0
41.1019069512 1.0 1.0 1.07176855563 0.277508763058 1.0 1.0
28.0889069512 1.0 1.0 1.0 1.0 0.753353309446 0.228420716499
29.0589069512 1.0 1.0 1.0 1.0 0.658048912902 0.091406019436
30.0799069512 1.0 1.0 1.0 1.0 0.585828155347 0.0853819486828
33.0599069512 1.0 1.0 1.0 1.0 1.12628861556 0.260402295162
34.0859069512 1.0 1.0 1.0 1.0 0.992154879192 0.202429265003
36.0789069512 1.0 1.0 1.0 1.0 0.765474235793 0.202470700918
37.0969069512 1.0 1.0 1.0 1.0 0.668319020322 0.234488782883
38.0949069512 1.0 1.0 1.0 1.0 0.738258403735 0.277504689502
39.0569069512 1.0 1.0 1.0 1.0 1.02666979823 0.202504058442
40.0569069512 1.0 1.0 1.0 1.0 0.980917378696 0.202497047764
