time r-J rJ_err r-H rH_err r-K rK_err
11.7678928186 0.880485713129 0.106431170197 1.0 1.0 1.0 1.0
14.7318928186 1.1196892243 0.0834784369896 1.0 1.0 1.0 1.0
16.7348928186 1.2251016099 0.162420697101 1.0 1.0 1.0 1.0
18.7128928186 1.26163550167 0.0984455798319 1.0 1.0 1.0 1.0
24.7168928186 1.34331310292 0.0971947731292 1.0 1.0 1.0 1.0
26.8098928186 1.48701686932 0.110451175067 1.0 1.0 1.0 1.0
11.7678928186 1.0 1.0 0.636274694405 0.209431170197 1.0 1.0
14.7318928186 1.0 1.0 1.18647820558 0.12847843699 1.0 1.0
16.7348928186 1.0 1.0 1.26789059117 0.172420697101 1.0 1.0
18.7128928186 1.0 1.0 1.40342448294 0.150445579832 1.0 1.0
24.7168928186 1.0 1.0 1.47410208419 0.133194773129 1.0 1.0
26.8098928186 1.0 1.0 1.8178058506 0.120451175067 1.0 1.0
11.7678928186 1.0 1.0 1.0 1.0 0.933111135511 0.114431170197
26.8098928186 1.0 1.0 1.0 1.0 0.990642291706 0.329451175067
