Name Band MJD Mag Magerr
2006ca U 53862.42571 16.393 0.031
2006ca U 53862.42935 16.35 0.03
2006ca U 53866.40841 16.544 0.039
2006ca U 53866.41205 16.452 0.04
2006ca U 53880.42059 17.599 0.045
2006ca U 53880.42424 17.571 0.041
2006ca U 53886.45904 18.15 0.093
2006ca U 53891.41174 18.603 0.196
2006ca U 53894.43895 18.724 0.102
2006ca U 53894.44258 18.768 0.122
2006ca B 53862.43311 16.978 0.018
2006ca B 53866.41582 17.024 0.023
2006ca B 53880.41754 17.353 0.02
2006ca B 53886.45601 17.636 0.023
2006ca B 53891.40505 17.8 0.022
2006ca B 53894.4359 17.86 0.023
2006ca B 53899.41859 18.259 0.106
2006ca V 53862.42337 16.816 0.018
2006ca V 53866.40609 16.724 0.018
2006ca V 53880.41523 16.718 0.021
2006ca V 53886.45368 16.752 0.015
2006ca V 53891.40276 16.806 0.017
2006ca V 53894.43359 16.863 0.017
2006ca V 53899.41627 17.003 0.055
2006ca r 53862.42007 16.705 0.018
2006ca r 53866.40271 16.541 0.019
2006ca r 53880.41362 16.448 0.021
2006ca r 53886.45208 16.488 0.019
2006ca r 53891.40115 16.516 0.018
2006ca r 53894.43198 16.543 0.018
2006ca r 53899.41468 16.587 0.044
