Name Band MJD Mag Magerr
2006cd U 53865.44138 17.441 0.05
2006cd U 53866.23383 17.745 0.098
2006cd U 53867.34787 17.792 0.129
2006cd U 53874.43854 18.704 0.275
2006cd U 53880.34344 18.832 0.271
2006cd B 53865.43399 18.161 0.05
2006cd B 53866.2376 18.239 0.067
2006cd B 53867.35528 18.465 0.09
2006cd B 53874.43479 19.085 0.272
2006cd B 53880.3397 19.029 0.256
2006cd V 53865.4262 18.083 0.046
2006cd V 53866.22714 18.09 0.059
2006cd V 53867.34483 18.232 0.062
2006cd V 53874.43179 18.588 0.049
2006cd V 53880.33667 18.524 0.08
2006cd V 53891.35205 18.778 0.126
2006cd r 53865.42928 17.968 0.036
2006cd r 53866.22243 18.044 0.054
2006cd r 53867.34008 18.133 0.046
2006cd r 53874.42947 18.433 0.073
2006cd r 53880.33436 18.324 0.083
2006cd r 53891.35436 18.501 0.145
2006cd r 53915.37407 19.026 0.286
2006cd i 53865.43161 18.112 0.046
2006cd i 53866.22474 18.112 0.049
2006cd i 53867.34241 18.243 0.053
2006cd i 53874.42715 18.491 0.141
2006cd i 53880.33204 18.332 0.133
2006cd i 53915.37175 19.099 0.294
