Name Band MJD Mag Magerr
2008aj U 54514.42176 16.9198 0.03
2008aj U 54515.4097 17.0486 0.0315
2008aj U 54516.50099 17.0473 0.0355
2008aj U 54520.50933 17.2675 0.0345
2008aj U 54521.46033 17.3352 0.0405
2008aj U 54524.50389 17.6893 0.0405
2008aj U 54526.5316 17.9951 0.0555
2008aj U 54529.51747 17.6305 0.05
2008aj U 54530.48687 17.7596 0.0545
2008aj U 54534.5221 18.0838 0.087
2008aj B 54514.47195 16.8351 0.0225
2008aj B 54515.40413 16.9113 0.0205
2008aj B 54516.49544 16.839 0.0225
2008aj B 54520.50375 17.0957 0.023
2008aj B 54521.45478 17.1684 0.025
2008aj B 54524.49833 17.3893 0.024
2008aj B 54526.52603 17.6354 0.0245
2008aj B 54529.51191 18.0688 0.03
2008aj B 54530.48131 18.1318 0.0295
2008aj B 54534.51655 18.4565 0.036
2008aj V 54514.46894 16.9169 0.022
2008aj V 54515.40112 16.9038 0.019
2008aj V 54516.49242 16.9972 0.025
2008aj V 54520.50074 17.0392 0.0205
2008aj V 54521.45176 17.0759 0.03
2008aj V 54524.49532 17.2779 0.0205
2008aj V 54526.523 17.5096 0.0235
2008aj V 54529.50891 17.8305 0.03
2008aj V 54530.4783 17.915 0.028
2008aj V 54534.51353 18.2021 0.033
2008aj r 54514.49131 16.9373 0.018
2008aj r 54515.39881 16.8982 0.018
2008aj r 54520.49843 17.0518 0.019
2008aj r 54521.44944 17.1226 0.042
2008aj r 54524.49301 17.2737 0.019
2008aj r 54526.52069 17.4717 0.021
2008aj r 54529.5066 17.7584 0.024
2008aj r 54530.47598 17.8232 0.027
2008aj r 54534.51121 18.1375 0.031
2008aj i 54514.46431 17.1012 0.023
2008aj i 54515.39648 17.0982 0.024
2008aj i 54520.49611 17.2174 0.024
2008aj i 54521.44713 17.2559 0.0335
2008aj i 54524.49069 17.372 0.026
2008aj i 54526.51839 17.6056 0.027
2008aj i 54529.50428 17.8213 0.033
2008aj i 54530.47368 17.9249 0.032
2008aj i 54534.5089 18.2398 0.044
