Name Band MJD Mag Magerr
2008in u 54861.52407 18.2175 0.05
2008in u 54862.50826 18.0514 0.047
2008in B 54837.50972 15.3483 0.014
2008in B 54856.47008 16.1663 0.018
2008in B 54857.44956 16.2466 0.022
2008in B 54861.53156 16.3218 0.015
2008in B 54862.51575 16.3038 0.017
2008in B 54865.47638 16.3811 0.016
2008in B 54867.38196 16.5633 0.021
2008in V 54831.53522 15.0351 0.015
2008in V 54837.50742 15.1089 0.014
2008in V 54840.50432 15.1381 0.016
2008in V 54842.47053 15.1544 0.016
2008in V 54844.49824 15.197 0.016
2008in V 54845.49615 15.2166 0.015
2008in V 54848.34589 15.265 0.016
2008in V 54856.46637 15.3157 0.0155
2008in V 54857.44585 15.3051 0.016
2008in V 54861.52785 15.333 0.014
2008in V 54862.51205 15.338 0.016
2008in V 54865.47265 15.3449 0.0155
2008in V 54866.36988 15.3439 0.015
2008in V 54867.37824 15.3754 0.0145
2008in J 54830.46 14.691 0.028
2008in J 54831.51 14.617 0.016
2008in J 54833.54 14.653 0.042
2008in J 54838.43 14.491 0.014
2008in J 54839.38 14.47 0.018
2008in J 54842.36 14.397 0.007
2008in J 54844.41 14.378 0.015
2008in J 54846.35 14.551 0.05
2008in J 54848.36 14.374 0.042
2008in J 54860.3 14.358 0.026
2008in J 54861.3 14.373 0.022
2008in J 54863.31 14.36 0.023
2008in J 54865.41 14.353 0.03
2008in J 54868.43 14.312 0.01
2008in J 54869.43 14.318 0.034
2008in H 54830.46 14.562 0.063
2008in H 54831.51 14.536 0.041
2008in H 54833.54 14.623 0.073
2008in H 54838.43 14.297 0.021
2008in H 54839.38 14.289 0.013
2008in H 54842.36 14.202 0.023
2008in H 54844.41 14.213 0.03
2008in H 54846.35 14.41 0.033
2008in H 54848.36 14.323 0.051
2008in H 54860.3 14.202 0.037
2008in H 54861.3 14.177 0.035
2008in H 54863.31 14.09 0.01
2008in H 54865.41 14.168 0.02
2008in H 54868.43 14.099 0.013
2008in H 54869.43 14.175 0.03
2008in K 54831.51 14.308 0.046
2008in K 54833.54 14.193 0.217
2008in K 54838.43 14.13 0.031
2008in K 54839.38 14.331 0.052
2008in K 54842.36 14.113 0.026
2008in K 54844.41 14.159 0.037
2008in K 54846.35 14.192 0.07
2008in K 54848.36 14.178 0.042
2008in K 54860.3 14.162 0.117
2008in K 54861.3 14.132 0.04
2008in K 54863.31 14.003 0.1
2008in K 54865.41 14.071 0.048
2008in K 54869.43 13.933 0.124
