Name Band MJD Mag Magerr
2008ip B 54837.53133 16.2878 0.016
2008ip B 54842.50456 16.4275 0.026
2008ip B 54843.53559 16.5309 0.024
2008ip B 54856.48509 17.4519 0.023
2008ip B 54857.46558 17.5649 0.0305
2008ip B 54858.53624 17.5825 0.019
2008ip B 54859.51178 17.5682 0.019
2008ip B 54860.51478 17.6972 0.0215
2008ip B 54862.53042 17.8185 0.0245
2008ip B 54866.4219 18.0188 0.025
2008ip V 54837.53506 16.0925 0.016
2008ip V 54840.48175 16.1506 0.0195
2008ip V 54842.5083 16.1843 0.021
2008ip V 54843.53929 16.2377 0.02
2008ip V 54844.53686 16.2707 0.031
2008ip V 54845.48134 16.2776 0.0225
2008ip V 54848.32262 16.3917 0.022
2008ip V 54856.48882 16.7461 0.0225
2008ip V 54857.46931 16.7536 0.025
2008ip V 54858.53995 16.8433 0.018
2008ip V 54859.5155 16.9 0.0185
2008ip V 54860.51851 16.9117 0.0215
2008ip V 54862.53413 17.0066 0.0245
2008ip V 54866.40691 17.1355 0.021
2008ip V 54867.40008 17.2231 0.028
2008ip r 54837.52447 16.1299 0.016
2008ip r 54840.46892 16.1393 0.016
2008ip r 54842.4683 16.1618 0.0185
2008ip r 54843.52874 16.1904 0.017
2008ip r 54844.5187 16.1879 0.0205
2008ip r 54845.47078 16.2425 0.032
2008ip r 54848.31204 16.3327 0.019
2008ip r 54856.47824 16.5912 0.02
2008ip r 54857.45873 16.6174 0.018
2008ip r 54858.52937 16.6546 0.017
2008ip r 54859.50492 16.6964 0.017
2008ip r 54860.50793 16.733 0.02
2008ip r 54862.52357 16.7618 0.017
2008ip r 54866.39746 16.8612 0.018
2008ip r 54867.39332 16.902 0.019
2008ip r 54868.36057 16.901 0.021
2008ip i 54837.52145 16.1693 0.017
2008ip i 54840.4659 16.1825 0.02
2008ip i 54842.47117 16.1986 0.0185
2008ip i 54843.52572 16.1948 0.017
2008ip i 54844.52074 16.2204 0.02
2008ip i 54845.46777 16.2247 0.019
2008ip i 54848.30904 16.2982 0.021
2008ip i 54856.47524 16.5463 0.02
2008ip i 54857.45934 16.5556 0.021
2008ip i 54858.52635 16.6273 0.0225
2008ip i 54859.50191 16.6572 0.019
2008ip i 54860.50492 16.6752 0.02
2008ip i 54862.52056 16.689 0.0195
2008ip i 54866.39711 16.8099 0.021
2008ip i 54867.3903 16.815 0.0205
2008ip i 54868.35756 16.8554 0.02
2008ip J 54839.41 15.662 0.024
2008ip J 54842.39 15.611 0.008
2008ip J 54844.39 15.687 0.015
2008ip J 54845.38 15.652 0.024
2008ip J 54846.39 15.607 0.175
2008ip J 54848.38 15.725 0.031
2008ip J 54860.33 16.027 0.051
2008ip J 54861.33 15.931 0.025
2008ip J 54862.34 16.152 0.044
2008ip J 54863.33 16.011 0.017
2008ip J 54865.44 16.089 0.055
2008ip J 54868.49 16.12 0.024
2008ip J 54869.46 16.156 0.052
2008ip H 54839.41 15.602 0.048
2008ip H 54842.39 15.503 0.022
2008ip H 54844.39 15.435 0.055
2008ip H 54845.38 15.416 0.046
2008ip H 54846.39 15.508 0.043
2008ip H 54848.38 15.537 0.045
2008ip H 54860.33 15.661 0.051
2008ip H 54861.33 15.672 0.05
2008ip H 54862.34 15.784 0.055
2008ip H 54863.33 15.793 0.064
2008ip H 54865.44 15.803 0.175
2008ip H 54868.49 15.832 0.175
2008ip H 54869.46 15.757 0.045
2008ip K 54839.41 15.386 0.053
2008ip K 54842.39 15.386 0.031
2008ip K 54844.39 15.239 0.175
2008ip K 54845.38 15.228 0.034
2008ip K 54846.39 15.223 0.079
2008ip K 54848.38 15.277 0.046
2008ip K 54860.33 15.252 0.043
2008ip K 54861.33 15.574 0.046
2008ip K 54862.34 15.531 0.065
2008ip K 54865.44 15.451 0.175
2008ip K 54869.46 15.581 0.049
