Name Band MJD Mag Magerr
2008ip B 54837.53133 16.2878 0.016
2008ip B 54842.50456 16.4275 0.026
2008ip B 54843.53559 16.5309 0.024
2008ip B 54856.48509 17.4519 0.023
2008ip B 54857.46558 17.5649 0.0305
2008ip V 54837.53506 16.0925 0.016
2008ip V 54840.48175 16.1506 0.0195
2008ip V 54842.5083 16.1843 0.021
2008ip V 54843.53929 16.2377 0.02
2008ip V 54844.53686 16.2707 0.031
2008ip V 54845.48134 16.2776 0.0225
2008ip V 54848.32262 16.3917 0.022
2008ip V 54856.48882 16.7461 0.0225
2008ip V 54857.46931 16.7536 0.025
2008ip r 54837.52447 16.1299 0.016
2008ip r 54840.46892 16.1393 0.016
2008ip r 54842.4683 16.1618 0.0185
2008ip r 54843.52874 16.1904 0.017
2008ip r 54844.5187 16.1879 0.0205
2008ip r 54845.47078 16.2425 0.032
2008ip r 54848.31204 16.3327 0.019
2008ip r 54856.47824 16.5912 0.02
2008ip r 54857.45873 16.6174 0.018
2008ip J 54839.41 15.662 0.024
2008ip J 54842.39 15.611 0.008
2008ip J 54844.39 15.687 0.015
2008ip J 54845.38 15.652 0.024
2008ip J 54846.39 15.607 0.175
2008ip J 54848.38 15.725 0.031
2008ip H 54839.41 15.602 0.048
2008ip H 54842.39 15.503 0.022
2008ip H 54844.39 15.435 0.055
2008ip H 54845.38 15.416 0.046
2008ip H 54846.39 15.508 0.043
2008ip H 54848.38 15.537 0.045
2008ip K 54839.41 15.386 0.053
2008ip K 54842.39 15.386 0.031
2008ip K 54844.39 15.239 0.175
2008ip K 54845.38 15.228 0.034
2008ip K 54846.39 15.223 0.079
2008ip K 54848.38 15.277 0.046
