Name Band MJD Mag Magerr
2009ay B 54913.52103 17.3814 0.042
2009ay B 54914.5141 17.3272 0.0255
2009ay B 54915.51587 17.3187 0.0265
2009ay B 54920.50581 17.458 0.028
2009ay B 54922.46955 17.5879 0.0215
2009ay V 54913.51733 17.0769 0.0245
2009ay V 54914.51039 17.0495 0.02
2009ay V 54915.51218 17.082 0.0195
2009ay V 54920.5028 17.1826 0.021
2009ay V 54922.46655 17.1995 0.0265
2009ay r 54913.51362 17.0446 0.0185
2009ay r 54914.50669 17.0383 0.0185
2009ay r 54915.50847 17.0581 0.0195
2009ay r 54920.49979 17.1185 0.019
2009ay r 54922.46353 17.1747 0.019
2009ay i 54913.50993 17.0511 0.023
2009ay i 54914.50299 17.0555 0.0225
2009ay i 54915.50477 17.0977 0.021
2009ay i 54920.49678 17.1099 0.02
2009ay i 54922.46053 17.1847 0.022
2009ay J 54917.44 16.222 0.099
2009ay J 54918.41 16.318 0.092
2009ay J 54920.43 16.401 0.057
2009ay J 54921.41 16.397 0.089
2009ay J 54922.47 16.41 0.083
2009ay J 54923.42 16.405 0.085
2009ay J 54924.46 16.374 0.126
2009ay J 54927.51 16.356 0.097
2009ay J 54928.4 16.411 0.087
2009ay J 54934.48 16.45 0.068
2009ay J 54937.49 16.592 0.061
2009ay H 54917.44 15.899 0.102
2009ay H 54918.41 15.972 0.081
2009ay H 54920.43 16.1 0.159
2009ay H 54921.41 16.066 0.061
2009ay H 54922.47 16.03 0.051
2009ay H 54923.42 16.061 0.087
2009ay H 54924.46 16.089 0.093
2009ay H 54926.44 15.98 0.065
2009ay H 54927.51 16.028 0.053
2009ay H 54928.4 16.1 0.077
2009ay H 54929.41 16.082 0.086
2009ay H 54934.48 16.16 0.102
2009ay H 54937.49 16.202 0.066
2009ay K 54919.46 16.108 0.348
2009ay K 54921.41 15.812 0.277
2009ay K 54922.47 15.643 0.059
2009ay K 54923.42 15.78 0.31
2009ay K 54924.46 15.754 0.256
2009ay K 54928.4 15.794 0.252
2009ay K 54937.49 15.757 0.159
