Name   Band    MJD          Mag   Magerr
2005kd  U      53689.33803  14.887  0.034
2005kd  U      53689.34167  14.886  0.034
2005kd  U      53689.38046  14.903  0.042
2005kd  U      53689.38410  14.847  0.041
2005kd  U      53691.41601  14.627  0.043
2005kd  U      53692.41859  14.559  0.031
2005kd  U      53692.42223  14.570  0.033
2005kd  U      53692.43525  14.551  0.033
2005kd  U      53692.43890  14.551  0.033
2005kd  U      53693.42846  14.541  0.032
2005kd  U      53693.43209  14.544  0.032
2005kd  U      53695.42502  14.570  0.032
2005kd  U      53695.42867  14.559  0.032
2005kd  U      53696.41770  14.619  0.028
2005kd  U      53696.42133  14.616  0.029
2005kd  U      53714.19404  15.206  0.041
2005kd  U      53724.32794  15.504  0.031
2005kd  U      53730.36661  15.664  0.032
2005kd  U      53730.37026  15.626  0.026
2005kd  U      53764.29051  15.833  0.024
2005kd  U      53764.29414  15.836  0.025
2005kd  U      53766.33279  15.886  0.027
2005kd  U      53766.33642  15.865  0.028
2005kd  U      53781.25210  15.924  0.041
2005kd  U      53781.25574  15.914  0.041
2005kd  U      53786.21138  15.911  0.028
2005kd  U      53786.21501  15.864  0.029
2005kd  U      53787.12116  15.907  0.030
2005kd  U      53787.12479  15.904  0.030
2005kd  U      53827.14542  15.843  0.027
2005kd  U      53827.14906  15.860  0.033
2005kd  U      54008.48542  16.457  0.036
2005kd  U      54008.48904  16.463  0.037
2005kd  U      54009.43465  16.549  0.037
2005kd  U      54009.43830  16.571  0.032
2005kd  U      54011.42245  16.537  0.036
2005kd  U      54011.42610  16.619  0.032
2005kd  B      53689.33500  15.694  0.017
2005kd  B      53691.42341  15.361  0.015
2005kd  B      53692.42599  15.304  0.017
2005kd  B      53692.44266  15.311  0.017
2005kd  B      53693.43587  15.274  0.021
2005kd  B      53694.42263  15.216  0.013
2005kd  B      53695.43244  15.244  0.018
2005kd  B      53696.42510  15.249  0.016
2005kd  B      53713.16311  15.545  0.025
2005kd  B      53714.19098  15.543  0.015
2005kd  B      53730.36355  15.861  0.016
2005kd  B      53764.28748  16.085  0.013
2005kd  B      53766.32972  16.093  0.014
2005kd  B      53781.24836  16.151  0.019
2005kd  B      53786.21878  16.112  0.013
2005kd  B      53787.11742  16.129  0.014
2005kd  B      53800.14911  16.182  0.020
2005kd  B      53827.15285  16.118  0.013
2005kd  B      53834.13402  16.095  0.016
2005kd  B      53998.49172  16.780  0.017
2005kd  B      54007.44484  16.862  0.015
2005kd  B      54008.48168  16.868  0.015
2005kd  B      54009.43091  16.881  0.016
2005kd  B      54011.41871  16.894  0.014
2005kd  B      54012.41875  16.915  0.019
2005kd  B      54051.39514  17.349  0.019
2005kd  B      54089.39657  17.940  0.024
2005kd  B      54100.18219  18.084  0.047
2005kd  B      54102.20887  18.357  0.102
2005kd  B      54117.23308  18.543  0.034
2005kd  B      54139.16738  19.029  0.056
2005kd  B      54140.21927  19.000  0.040
2005kd  B      54149.13194  19.446  0.059
2005kd  B      54153.11871  19.245  0.063
2005kd  B      54161.12708  19.617  0.217
2005kd  B      54163.13712  19.259  0.267
2005kd  B      54166.10712  19.591  0.081
2005kd  B      54169.13241  19.878  0.088
2005kd  B      54178.13174  19.829  0.107
2005kd  V      53689.32933  15.746  0.038
2005kd  V      53689.37178  15.743  0.039
2005kd  V      53690.39721  15.444  0.026
2005kd  V      53690.41434  15.387  0.014
2005kd  V      53691.41366  15.339  0.032
2005kd  V      53692.41627  15.187  0.019
2005kd  V      53692.43291  15.251  0.035
2005kd  V      53693.42611  15.092  0.012
2005kd  V      53694.41287  15.022  0.012
2005kd  V      53695.42272  14.996  0.012
2005kd  V      53696.41535  15.039  0.024
2005kd  V      53711.18608  15.008  0.012
2005kd  V      53713.29426  15.110  0.037
2005kd  V      53714.18532  15.027  0.012
2005kd  V      53724.31601  15.171  0.016
2005kd  V      53730.35790  15.308  0.027
2005kd  V      53764.28179  15.488  0.012
2005kd  V      53766.32410  15.479  0.012
2005kd  V      53781.24058  15.523  0.013
2005kd  V      53786.20903  15.545  0.013
2005kd  V      53787.10962  15.543  0.012
2005kd  V      53800.13866  15.564  0.021
2005kd  V      53805.16630  15.594  0.013
2005kd  V      53807.16109  15.605  0.012
2005kd  V      53827.14237  15.600  0.011
2005kd  V      53834.12355  15.596  0.012
2005kd  V      53997.44932  16.443  0.016
2005kd  V      53998.48870  16.480  0.018
2005kd  V      54007.44183  16.584  0.030
2005kd  V      54008.47868  16.552  0.018
2005kd  V      54009.42789  16.556  0.017
2005kd  V      54011.41571  16.607  0.023
2005kd  V      54015.35326  16.599  0.026
2005kd  V      54015.37263  16.744  0.040
2005kd  V      54015.39233  16.615  0.022
2005kd  V      54015.41234  16.752  0.039
2005kd  V      54016.37742  16.794  0.035
2005kd  V      54041.33212  16.968  0.029
2005kd  V      54044.30654  17.023  0.026
2005kd  V      54045.26611  17.057  0.036
2005kd  V      54046.36330  16.971  0.027
2005kd  V      54051.39214  17.007  0.017
2005kd  V      54071.34941  17.316  0.024
2005kd  V      54089.39353  17.658  0.022
2005kd  V      54100.17919  17.808  0.043
2005kd  V      54101.19654  17.980  0.043
2005kd  V      54102.20586  17.915  0.053
2005kd  V      54102.30127  17.927  0.069
2005kd  V      54117.23006  18.336  0.032
2005kd  V      54139.16438  18.759  0.043
2005kd  V      54140.21626  18.858  0.045
2005kd  V      54149.12892  19.167  0.055
2005kd  V      54153.11569  19.116  0.055
2005kd  V      54161.12409  19.331  0.194
2005kd  V      54163.13412  19.015  0.167
2005kd  V      54178.12873  19.507  0.111
2005kd  r     53689.33171  15.672  0.036
2005kd  r     53689.37415  15.676  0.036
2005kd  r     53690.39390  15.360  0.012
2005kd  r     53690.41103  15.353  0.013
2005kd  r     53691.41034  15.225  0.018
2005kd  r     53692.41293  15.148  0.025
2005kd  r     53692.42958  15.140  0.026
2005kd  r     53693.42281  14.998  0.013
2005kd  r     53694.40957  14.933  0.011
2005kd  r     53695.41937  14.881  0.013
2005kd  r     53696.41205  14.878  0.022
2005kd  r     53697.33862  14.856  0.026
2005kd  r     53714.18770  14.769  0.013
2005kd  r     53730.36029  15.013  0.042
2005kd  r     53764.28418  15.110  0.012
2005kd  r     53766.32646  15.103  0.012
2005kd  r     53781.24367  15.131  0.011
2005kd  r     53786.20571  15.145  0.012
2005kd  r     53787.11271  15.142  0.013
2005kd  r     53800.13395  15.173  0.012
2005kd  r     53805.16157  15.171  0.012
2005kd  r     53807.15634  15.171  0.012
2005kd  r     53827.13765  15.158  0.013
2005kd  r     53834.11883  15.143  0.012
2005kd  r     53997.44700  15.619  0.016
2005kd  r     53998.48639  15.646  0.014
2005kd  r     54007.43409  15.706  0.024
2005kd  r     54007.43953  15.807  0.041
2005kd  r     54008.47635  15.711  0.019
2005kd  r     54009.42559  15.699  0.015
2005kd  r     54011.41339  15.758  0.028
2005kd  r     54012.41341  15.723  0.014
2005kd  r     54015.37030  15.744  0.018
2005kd  r     54015.39001  15.750  0.018
2005kd  r     54015.41002  15.751  0.019
2005kd  r     54016.37512  15.752  0.015
2005kd  r     54041.32981  16.006  0.020
2005kd  r     54045.26379  16.118  0.045
2005kd  r     54046.31119  16.068  0.071
2005kd  r     54046.34853  16.003  0.014
2005kd  r     54046.36100  16.018  0.014
2005kd  r     54051.38983  16.102  0.013
2005kd  r     54071.34709  16.329  0.014
2005kd  r     54089.39123  16.579  0.014
2005kd  r     54100.17689  16.749  0.018
2005kd  r     54101.19421  16.785  0.020
2005kd  r     54102.20353  16.787  0.023
2005kd  r     54102.29896  16.814  0.025
2005kd  r     54117.22775  17.059  0.015
2005kd  r     54139.16207  17.408  0.016
2005kd  r     54140.21395  17.416  0.017
2005kd  r     54149.12662  17.543  0.017
2005kd  r     54153.11337  17.615  0.019
2005kd  r     54161.12177  17.764  0.029
2005kd  r     54162.11384  17.719  0.089
2005kd  r     54163.13179  17.724  0.046
2005kd  r     54166.10178  17.832  0.053
2005kd  r     54169.12708  17.874  0.023
2005kd  r     54178.12642  18.200  0.062
2005kd  r     54189.12673  18.198  0.053
2005kd  r     54194.11576  18.569  0.075
2005kd  r     54210.12183  18.614  0.060
