Name Band MJD Mag Magerr
2005kd U 53689.33803 14.887 0.034
2005kd U 53689.34167 14.886 0.034
2005kd U 53689.38046 14.903 0.042
2005kd U 53689.3841 14.847 0.041
2005kd U 53691.41601 14.627 0.043
2005kd U 53692.41859 14.559 0.031
2005kd U 53692.42223 14.57 0.033
2005kd U 53692.43525 14.551 0.033
2005kd U 53692.4389 14.551 0.033
2005kd U 53693.42846 14.541 0.032
2005kd U 53693.43209 14.544 0.032
2005kd U 53695.42502 14.57 0.032
2005kd U 53695.42867 14.559 0.032
2005kd U 53696.4177 14.619 0.028
2005kd U 53696.42133 14.616 0.029
2005kd U 53714.19404 15.206 0.041
2005kd B 53689.335 15.694 0.017
2005kd B 53691.42341 15.361 0.015
2005kd B 53692.42599 15.304 0.017
2005kd B 53692.44266 15.311 0.017
2005kd B 53693.43587 15.274 0.021
2005kd B 53694.42263 15.216 0.013
2005kd B 53695.43244 15.244 0.018
2005kd B 53696.4251 15.249 0.016
2005kd V 53689.32933 15.746 0.038
2005kd V 53689.37178 15.743 0.039
2005kd V 53690.39721 15.444 0.026
2005kd V 53690.41434 15.387 0.014
2005kd V 53691.41366 15.339 0.032
2005kd V 53692.41627 15.187 0.019
2005kd V 53692.43291 15.251 0.035
2005kd V 53693.42611 15.092 0.012
2005kd V 53694.41287 15.022 0.012
2005kd V 53695.42272 14.996 0.012
2005kd V 53696.41535 15.039 0.024
2005kd V 53711.18608 15.008 0.012
2005kd V 53713.29426 15.11 0.037
2005kd V 53714.18532 15.027 0.012
2005kd r 53689.33171 15.672 0.036
2005kd r 53689.37415 15.676 0.036
2005kd r 53690.3939 15.36 0.012
2005kd r 53690.41103 15.353 0.013
2005kd r 53691.41034 15.225 0.018
2005kd r 53692.41293 15.148 0.025
2005kd r 53692.42958 15.14 0.026
2005kd r 53693.42281 14.998 0.013
2005kd r 53694.40957 14.933 0.011
2005kd r 53695.41937 14.881 0.013
2005kd r 53696.41205 14.878 0.022
2005kd r 53697.33862 14.856 0.026
2005kd r 53714.1877 14.769 0.013
