Name Band MJD Mag Magerr
2007aa B 54152.35648 16.197 0.016
2007aa B 54153.32938 16.259 0.017
2007aa B 54158.34955 16.378 0.021
2007aa B 54158.36546 16.371 0.022
2007aa B 54169.3595 16.552 0.018
2007aa B 54170.25405 16.536 0.018
2007aa B 54185.29589 16.661 0.02
2007aa V 54152.35348 15.694 0.012
2007aa V 54153.32638 15.709 0.013
2007aa V 54158.34654 15.72 0.013
2007aa V 54158.36245 15.729 0.012
2007aa V 54159.46133 15.704 0.014
2007aa V 54160.32882 15.726 0.013
2007aa V 54161.34922 15.742 0.015
2007aa V 54161.47185 15.74 0.014
2007aa V 54168.40413 15.69 0.016
2007aa V 54169.35649 15.694 0.015
2007aa V 54170.25104 15.671 0.012
2007aa V 54185.29287 15.648 0.013
2007aa V 54188.2103 15.639 0.016
2007aa r 54152.35117 15.568 0.013
2007aa r 54153.32407 15.576 0.014
2007aa r 54158.34423 15.563 0.013
2007aa r 54158.36015 15.572 0.015
2007aa r 54159.459 15.557 0.014
2007aa r 54160.32649 15.56 0.013
2007aa r 54161.34692 15.55 0.015
2007aa r 54161.46954 15.566 0.014
2007aa r 54168.40181 15.504 0.018
2007aa r 54169.35419 15.506 0.016
2007aa r 54170.24873 15.47 0.013
2007aa r 54185.29056 15.415 0.014
2007aa r 54188.20799 15.411 0.016
2007aa J 54153.37 15.105 0.066
2007aa J 54155.41 15.037 0.007
2007aa J 54157.41 14.988 0.022
2007aa J 54158.28 14.945 0.037
2007aa J 54160.34 14.985 0.016
2007aa J 54161.41 14.993 0.027
2007aa J 54162.34 14.956 0.022
2007aa J 54165.29 15.019 0.175
2007aa J 54168.33 14.886 0.033
2007aa J 54169.24 14.858 0.008
2007aa J 54170.33 14.866 0.011
2007aa J 54171.32 14.792 0.012
2007aa J 54172.28 14.822 0.013
2007aa J 54173.28 14.807 0.027
2007aa J 54174.28 14.815 0.008
2007aa J 54175.25 14.839 0.032
2007aa J 54176.25 14.681 0.25
2007aa J 54177.28 14.807 0.021
2007aa J 54179.23 14.741 0.022
2007aa J 54190.25 14.765 0.014
2007aa J 54193.24 14.782 0.042
2007aa J 54194.24 14.752 0.03
2007aa J 54197.24 14.775 0.015
2007aa J 54198.24 14.707 0.022
2007aa J 54204.21 14.799 0.017
2007aa J 54205.23 14.863 0.015
2007aa J 54206.22 14.82 0.026
2007aa J 54208.22 14.829 0.004
2007aa J 54216.21 15.028 0.009
2007aa H 54153.37 14.65 0.089
2007aa H 54155.41 14.833 0.014
2007aa H 54157.41 14.77 0.014
2007aa H 54158.28 14.78 0.035
2007aa H 54160.34 14.782 0.019
2007aa H 54161.41 14.838 0.022
2007aa H 54162.34 14.769 0.017
2007aa H 54165.29 14.821 0.047
2007aa H 54168.33 14.729 0.045
2007aa H 54169.24 14.662 0.044
2007aa H 54170.33 14.689 0.019
2007aa H 54171.32 14.589 0.028
2007aa H 54172.28 14.664 0.03
2007aa H 54173.28 14.591 0.026
2007aa H 54175.25 14.596 0.045
2007aa H 54176.25 14.6 0.016
2007aa H 54177.28 14.641 0.014
2007aa H 54179.23 14.491 0.02
2007aa H 54190.25 14.594 0.05
2007aa H 54193.24 14.588 0.041
2007aa H 54194.24 14.452 0.025
2007aa H 54197.24 14.534 0.039
2007aa H 54198.24 14.457 0.022
2007aa H 54204.21 14.698 0.182
2007aa H 54205.23 14.509 0.046
2007aa H 54206.22 14.584 0.026
2007aa H 54208.22 14.626 0.014
2007aa H 54216.21 14.915 0.053
2007aa K 54153.37 14.686 0.175
2007aa K 54155.41 14.794 0.019
2007aa K 54157.41 14.625 0.043
2007aa K 54158.28 14.718 0.024
2007aa K 54160.34 14.661 0.015
2007aa K 54162.34 14.692 0.035
2007aa K 54168.33 14.565 0.017
2007aa K 54170.33 14.56 0.017
2007aa K 54171.32 14.501 0.25
2007aa K 54172.28 14.45 0.175
2007aa K 54173.28 14.537 0.037
2007aa K 54174.28 14.386 0.049
2007aa K 54175.25 14.404 0.066
2007aa K 54177.28 14.519 0.175
2007aa K 54179.23 14.682 0.054
2007aa K 54190.25 14.448 0.019
2007aa K 54193.24 14.411 0.043
2007aa K 54194.24 14.354 0.056
2007aa K 54197.24 14.429 0.03
2007aa K 54198.24 14.269 0.016
2007aa K 54204.21 14.421 0.01
2007aa K 54205.23 14.4 0.019
2007aa K 54208.22 14.5 0.019
2007aa K 54216.21 14.803 0.25
