Name Band MJD Mag Magerr
2007rt B 54439.5122 17.7426 0.022
2007rt B 54440.47387 17.7168 0.024
2007rt B 54448.45652 17.6694 0.022
2007rt B 54453.51993 17.7497 0.0225
2007rt B 54455.49386 17.7494 0.023
2007rt B 54463.4781 17.7739 0.032
2007rt V 54439.50735 17.4563 0.02
2007rt V 54440.4684 17.4887 0.022
2007rt V 54448.45165 17.4816 0.023
2007rt V 54453.51506 17.4818 0.02
2007rt V 54455.48899 17.5616 0.029
2007rt V 54456.42827 17.5299 0.024
2007rt V 54458.5221 17.4817 0.0315
2007rt V 54461.42368 17.6286 0.0405
2007rt V 54463.47326 17.5334 0.023
2007rt r 54439.50504 17.2776 0.021
2007rt r 54440.46609 17.2332 0.0185
2007rt r 54448.44935 17.2528 0.0175
2007rt r 54453.51274 17.281 0.0205
2007rt r 54455.48668 17.1306 0.0385
2007rt r 54456.42594 17.2898 0.0205
2007rt r 54458.51977 17.2309 0.0235
2007rt r 54461.42135 17.3539 0.04
2007rt r 54463.47094 17.2709 0.02
2007rt J 54440.44 16.483 0.099
2007rt J 54449.45 16.949 0.348
2007rt J 54450.42 16.901 0.354
2007rt J 54452.4 16.618 0.181
2007rt J 54455.44 16.821 0.362
2007rt J 54457.36 16.565 0.175
2007rt J 54459.39 16.466 0.175
2007rt J 54461.35 16.891 0.23
2007rt J 54462.37 16.65 0.306
2007rt J 54464.39 16.953 0.376
2007rt J 54466.37 16.728 0.225
2007rt H 54438.43 16.446 0.114
2007rt H 54439.4 16.293 0.153
2007rt H 54449.45 16.254 0.195
2007rt H 54450.42 16.144 0.146
2007rt H 54451.55 16.475 0.196
2007rt H 54452.4 16.531 0.175
2007rt H 54453.39 16.262 0.224
2007rt H 54454.43 16.58 0.175
2007rt H 54455.44 16.254 0.059
2007rt H 54456.38 16.649 0.173
2007rt H 54457.36 16.532 0.116
2007rt H 54458.39 16.528 0.084
2007rt H 54459.39 16.555 0.181
2007rt H 54462.37 16.69 0.175
2007rt H 54464.39 16.312 0.175
2007rt H 54465.37 16.635 0.175
2007rt K 54439.4 15.453 0.25
2007rt K 54440.44 15.696 0.25
2007rt K 54456.38 15.908 0.25
2007rt K 54458.39 15.641 0.25
2007rt K 54459.39 15.515 0.25
2007rt K 54461.35 15.926 0.25
2007rt K 54462.37 15.776 0.25
2007rt K 54464.39 15.835 0.25
2007rt K 54465.37 15.63 0.25
2007rt K 54466.37 15.863 0.001
