Name   Band    MJD          Mag   Magerr
2008aj  U      54514.42176  16.9198  0.0300
2008aj  U      54515.40970  17.0486  0.0315
2008aj  U      54516.50099  17.0473  0.0355
2008aj  U      54520.50933  17.2675  0.0345
2008aj  U      54521.46033  17.3352  0.0405
2008aj  U      54524.50389  17.6893  0.0405
2008aj  U      54526.53160  17.9951  0.0555
2008aj  U      54529.51747  17.6305  0.0500
2008aj  U      54530.48687  17.7596  0.0545
2008aj  U      54534.52210  18.0838  0.0870
2008aj  U      54540.49457  18.2683  0.0860
2008aj  U      54543.49266  18.1648  0.0865
2008aj  U      54544.35803  18.7619  0.1070
2008aj  U      54557.45912  19.4450  0.2405
2008aj  U      54570.40577  19.7543  0.2800
2008aj  U      54574.41102  20.1258  0.3050
2008aj  U      54586.44099  19.5814  0.2950
2008aj  U      54618.32406  19.8624  0.3120
2008aj  B      54514.47195  16.8351  0.0225
2008aj  B      54515.40413  16.9113  0.0205
2008aj  B      54516.49544  16.8390  0.0225
2008aj  B      54520.50375  17.0957  0.0230
2008aj  B      54521.45478  17.1684  0.0250
2008aj  B      54524.49833  17.3893  0.0240
2008aj  B      54526.52603  17.6354  0.0245
2008aj  B      54529.51191  18.0688  0.0300
2008aj  B      54530.48131  18.1318  0.0295
2008aj  B      54534.51655  18.4565  0.0360
2008aj  B      54537.52821  18.4897  0.0520
2008aj  B      54540.48899  18.3980  0.0635
2008aj  B      54543.48709  18.4178  0.0405
2008aj  B      54544.35247  18.3707  0.0605
2008aj  B      54557.45357  19.4330  0.0945
2008aj  B      54560.41423  19.7976  0.1240
2008aj  B      54566.35412  20.0562  0.1235
2008aj  B      54570.39839  20.4072  0.2330
2008aj  B      54572.33963  19.6230  0.1895
2008aj  B      54586.43726  20.4967  0.2400
2008aj  B      54590.39246  20.1207  0.2530
2008aj  V      54514.46894  16.9169  0.0220
2008aj  V      54515.40112  16.9038  0.0190
2008aj  V      54516.49242  16.9972  0.0250
2008aj  V      54520.50074  17.0392  0.0205
2008aj  V      54521.45176  17.0759  0.0300
2008aj  V      54524.49532  17.2779  0.0205
2008aj  V      54526.52300  17.5096  0.0235
2008aj  V      54529.50891  17.8305  0.0300
2008aj  V      54530.47830  17.9150  0.0280
2008aj  V      54534.51353  18.2021  0.0330
2008aj  V      54537.52517  18.2852  0.0360
2008aj  V      54540.48597  18.2818  0.0415
2008aj  V      54543.48409  18.1375  0.0340
2008aj  V      54544.34946  18.0721  0.0360
2008aj  V      54557.45056  19.1274  0.0800
2008aj  V      54560.41123  19.3097  0.0750
2008aj  V      54566.35110  19.6833  0.1030
2008aj  V      54570.42038  19.7557  0.1125
2008aj  V      54572.33661  19.8357  0.1475
2008aj  V      54574.40424  20.0202  0.2125
2008aj  V      54578.33742  19.9047  0.1600
2008aj  V      54603.31294  20.3835  0.2880
2008aj  V      54618.31367  21.0057  0.2800
2008aj  V      54622.32474  21.2314  0.3380
2008aj  V      54629.24912  21.0398  0.3460
2008aj  r     54514.49131  16.9373  0.0180
2008aj  r     54515.39881  16.8982  0.0180
2008aj  r     54520.49843  17.0518  0.0190
2008aj  r     54521.44944  17.1226  0.0420
2008aj  r     54524.49301  17.2737  0.0190
2008aj  r     54526.52069  17.4717  0.0210
2008aj  r     54529.50660  17.7584  0.0240
2008aj  r     54530.47598  17.8232  0.0270
2008aj  r     54534.51121  18.1375  0.0310
2008aj  r     54537.52287  18.1341  0.0370
2008aj  r     54540.48363  18.0866  0.0290
2008aj  r     54543.48176  17.9756  0.0300
2008aj  r     54544.34713  18.0098  0.0295
2008aj  r     54557.44824  18.7900  0.0465
2008aj  r     54560.40892  19.0401  0.0530
2008aj  r     54566.34879  19.2256  0.0670
2008aj  r     54570.41527  19.4028  0.0820
2008aj  r     54572.33428  19.4028  0.0765
2008aj  r     54574.40190  19.3584  0.0905
2008aj  r     54586.43192  20.4182  0.1765
2008aj  r     54590.38040  20.6357  0.2080
2008aj  r     54597.39032  20.9346  0.2480
2008aj  r     54603.31061  20.9882  0.3100
2008aj  r     54618.31137  21.0633  0.3210
2008aj  r     54622.32244  20.9338  0.2500
