Name   Band    MJD          Mag   Magerr
2008bj  U      54552.34787  17.2131  0.0405
2008bj  U      54553.36404  17.2661  0.0400
2008bj  U      54554.17434  17.4286  0.0390
2008bj  U      54555.50373  17.7177  0.1190
2008bj  U      54556.29391  17.5645  0.0405
2008bj  U      54557.32593  17.8303  0.0490
2008bj  U      54558.28646  17.7873  0.0570
2008bj  U      54559.30045  18.0756  0.0500
2008bj  U      54564.17713  18.4293  0.0740
2008bj  U      54565.28555  18.5348  0.0730
2008bj  U      54566.21464  18.5556  0.1000
2008bj  U      54569.23342  18.3890  0.1460
2008bj  U      54570.20098  18.6782  0.1870
2008bj  U      54572.20237  19.3060  0.1950
2008bj  U      54582.15872  19.8169  0.2090
2008bj  U      54584.30857  19.4491  0.2265
2008bj  U      54585.19976  19.6607  0.1730
2008bj  U      54586.24578  19.8261  0.2060
2008bj  U      54592.13885  19.7532  0.2155
2008bj  U      54593.25165  19.8029  0.2020
2008bj  U      54594.35865  19.9375  0.2490
2008bj  U      54599.15819  20.1581  0.2780
2008bj  U      54622.19490  19.9290  0.3190
2008bj  U      54629.17576  20.8102  0.3360
2008bj  B      54552.34229  17.6088  0.0200
2008bj  B      54553.35846  17.6874  0.0190
2008bj  B      54554.16939  17.7406  0.0200
2008bj  B      54555.49999  17.7999  0.0305
2008bj  B      54556.28835  17.7799  0.0210
2008bj  B      54557.32037  17.8403  0.0200
2008bj  B      54558.28029  17.9856  0.0210
2008bj  B      54559.29487  17.9344  0.0225
2008bj  B      54564.17154  18.1653  0.0260
2008bj  B      54565.28059  18.2363  0.0280
2008bj  B      54566.20872  18.2740  0.0330
2008bj  B      54569.22750  18.3870  0.0390
2008bj  B      54570.19543  18.2770  0.0500
2008bj  B      54572.19862  18.3071  0.0640
2008bj  B      54575.31436  18.4458  0.1520
2008bj  B      54576.26132  18.5390  0.0660
2008bj  B      54579.21259  18.6774  0.0450
2008bj  B      54582.15377  18.7860  0.0380
2008bj  B      54584.30301  18.8780  0.0405
2008bj  B      54585.19418  18.9013  0.0380
2008bj  B      54586.24022  18.8818  0.0370
2008bj  B      54592.13329  19.0243  0.0440
2008bj  B      54593.24699  19.0705  0.0440
2008bj  B      54594.35310  19.0288  0.0415
2008bj  B      54597.21910  18.9911  0.0520
2008bj  B      54599.15297  18.9558  0.0480
2008bj  B      54603.22777  19.1909  0.1110
2008bj  B      54615.19506  19.4915  0.0640
2008bj  B      54618.19539  19.7186  0.0680
2008bj  B      54622.18750  19.7172  0.0735
2008bj  B      54629.16958  19.9897  0.1220
2008bj  B      54636.18341  19.6856  0.2340
2008bj  B      54676.15422  20.5805  0.2980
2008bj  V      54552.33859  17.4442  0.0190
2008bj  V      54553.35476  17.4474  0.0200
2008bj  V      54554.16568  17.4421  0.0190
2008bj  V      54555.49626  17.4442  0.0235
2008bj  V      54556.28463  17.4237  0.0180
2008bj  V      54557.31667  17.4121  0.0190
2008bj  V      54558.27657  17.4234  0.0190
2008bj  V      54559.29115  17.4507  0.0190
2008bj  V      54564.16784  17.5261  0.0200
2008bj  V      54565.27689  17.5552  0.0210
2008bj  V      54566.20501  17.5768  0.0215
2008bj  V      54569.22380  17.6488  0.0270
2008bj  V      54570.19170  17.5808  0.0300
2008bj  V      54572.19492  17.7137  0.0220
2008bj  V      54574.22597  17.6858  0.0370
2008bj  V      54575.31066  17.7524  0.0335
2008bj  V      54576.25760  17.7589  0.0240
2008bj  V      54579.20889  17.7924  0.0230
2008bj  V      54582.15006  17.8369  0.0230
2008bj  V      54584.29929  17.8644  0.0240
2008bj  V      54585.19048  17.8818  0.0240
2008bj  V      54586.23649  17.8930  0.0240
2008bj  V      54592.12958  18.0038  0.0240
2008bj  V      54593.24328  18.0247  0.0240
2008bj  V      54594.34939  18.0308  0.0250
2008bj  V      54597.21538  18.0808  0.0270
2008bj  V      54599.14927  18.0735  0.0270
2008bj  V      54603.22405  18.1160  0.0300
2008bj  V      54615.19135  18.3192  0.0305
2008bj  V      54618.19169  18.3333  0.0300
2008bj  V      54622.18379  18.5212  0.0320
2008bj  V      54629.16588  18.6867  0.0420
2008bj  V      54633.19296  19.2164  0.0720
2008bj  V      54636.17970  19.2681  0.0910
2008bj  V      54676.15052  20.5585  0.2615
2008bj  r     54552.33557  17.3665  0.0180
2008bj  r     54553.35175  17.3529  0.0190
2008bj  r     54554.16266  17.3316  0.0180
2008bj  r     54555.49324  17.3202  0.0220
2008bj  r     54556.28162  17.3049  0.0200
2008bj  r     54557.31366  17.2941  0.0180
2008bj  r     54558.27355  17.2929  0.0180
2008bj  r     54559.28812  17.2940  0.0170
2008bj  r     54564.16481  17.3202  0.0185
2008bj  r     54565.27387  17.3375  0.0180
2008bj  r     54566.20199  17.3381  0.0190
2008bj  r     54568.11456  17.3891  0.0230
2008bj  r     54569.22079  17.3755  0.0200
2008bj  r     54570.18868  17.4282  0.0220
2008bj  r     54572.19190  17.4352  0.0200
2008bj  r     54574.22296  17.4064  0.0330
2008bj  r     54575.30765  17.4599  0.0310
2008bj  r     54576.25458  17.4336  0.0200
2008bj  r     54579.20587  17.5098  0.0190
2008bj  r     54582.14705  17.5131  0.0190
2008bj  r     54584.29627  17.5687  0.0210
2008bj  r     54586.23347  17.5720  0.0195
2008bj  r     54592.12656  17.6139  0.0190
2008bj  r     54593.24027  17.6390  0.0185
2008bj  r     54594.34638  17.6667  0.0200
2008bj  r     54597.21236  17.6971  0.0200
2008bj  r     54599.14626  17.7061  0.0200
2008bj  r     54603.22104  17.7791  0.0225
2008bj  r     54608.14183  17.8104  0.0230
2008bj  r     54615.18833  17.8658  0.0230
2008bj  r     54618.18867  17.9378  0.0240
2008bj  r     54622.18076  18.0092  0.0225
2008bj  r     54629.16287  18.1943  0.0240
2008bj  r     54633.18994  18.4694  0.0525
2008bj  r     54636.17668  18.4880  0.0730
2008bj  r     54676.15219  19.6595  0.1365
