Name   Band    MJD          Mag   Magerr
2008in  u     54861.52407  18.2175  0.0500
2008in  u     54862.50826  18.0514  0.0470
2008in  B      54837.50972  15.3483  0.0140
2008in  B      54856.47008  16.1663  0.0180
2008in  B      54857.44956  16.2466  0.0220
2008in  B      54861.53156  16.3218  0.0150
2008in  B      54862.51575  16.3038  0.0170
2008in  B      54865.47638  16.3811  0.0160
2008in  B      54867.38196  16.5633  0.0210
2008in  B      54878.34029  16.6494  0.0175
2008in  B      54882.49881  16.7470  0.0170
2008in  B      54883.44744  16.7613  0.0195
2008in  B      54884.33926  16.7861  0.0190
2008in  B      54890.35970  17.3066  0.0290
2008in  B      54909.42900  17.0720  0.0220
2008in  B      54913.35868  17.1603  0.0190
2008in  B      54914.35982  17.1794  0.0200
2008in  B      54915.35597  17.2280  0.0230
2008in  B      54920.27838  17.3147  0.0210
2008in  B      54945.36591  20.0011  0.1090
2008in  B      54948.25194  20.3781  0.1720
2008in  B      54950.22646  20.5393  0.1910
2008in  B      54968.22337  20.1662  0.1370
2008in  B      55003.20763  19.9254  0.1405
2008in  V      54831.53522  15.0351  0.0150
2008in  V      54837.50742  15.1089  0.0140
2008in  V      54840.50432  15.1381  0.0160
2008in  V      54842.47053  15.1544  0.0160
2008in  V      54844.49824  15.1970  0.0160
2008in  V      54845.49615  15.2166  0.0150
2008in  V      54848.34589  15.2650  0.0160
2008in  V      54856.46637  15.3157  0.0155
2008in  V      54857.44585  15.3051  0.0160
2008in  V      54861.52785  15.3330  0.0140
2008in  V      54862.51205  15.3380  0.0160
2008in  V      54865.47265  15.3449  0.0155
2008in  V      54866.36988  15.3439  0.0150
2008in  V      54867.37824  15.3754  0.0145
2008in  V      54878.33659  15.4593  0.0155
2008in  V      54882.49509  15.5021  0.0150
2008in  V      54883.44066  15.5299  0.0155
2008in  V      54884.33370  15.5277  0.0180
2008in  V      54909.42530  15.7431  0.0245
2008in  V      54913.35314  15.7819  0.0150
2008in  V      54914.35427  15.8091  0.0150
2008in  V      54915.35043  15.8136  0.0160
2008in  V      54920.27285  15.9267  0.0160
2008in  V      54945.36058  18.2472  0.0370
2008in  V      54948.24823  18.3488  0.0340
2008in  V      54950.22274  18.3383  0.0405
2008in  V      54968.21966  18.4726  0.0400
2008in  V      55003.20395  18.6708  0.0520
2008in  r     54831.53395  15.0333  0.0300
2008in  r     54837.50194  15.0069  0.0140
2008in  r     54840.49844  15.0202  0.0170
2008in  r     54842.46264  15.0084  0.0150
2008in  r     54844.49134  15.1389  0.0390
2008in  r     54845.48925  15.0678  0.0170
2008in  r     54848.33898  15.0806  0.0150
2008in  r     54856.45947  15.1243  0.0160
2008in  r     54861.52095  15.1304  0.0140
2008in  r     54862.50516  15.1270  0.0165
2008in  r     54865.46964  15.1278  0.0160
2008in  r     54866.36686  15.1334  0.0170
2008in  r     54867.37522  15.1461  0.0170
2008in  r     54878.33357  15.2080  0.0165
2008in  r     54882.49207  15.2381  0.0160
2008in  r     54883.43694  15.2673  0.0170
2008in  r     54884.32402  15.2591  0.0170
2008in  r     54909.42161  15.4735  0.0290
2008in  r     54913.34944  15.4937  0.0150
2008in  r     54914.35057  15.5031  0.0150
2008in  r     54915.33675  15.5721  0.0285
2008in  r     54920.26914  15.6323  0.0155
2008in  r     54935.19161  17.0460  0.0250
2008in  r     54945.35757  17.5041  0.0215
2008in  r     54948.24253  17.4896  0.0220
2008in  r     54950.21704  17.5764  0.0325
2008in  r     54968.21665  17.7290  0.0335
2008in  r     55003.20026  18.0311  0.0285
2008in	J      54830.46	    14.691   0.028
2008in	J      54831.51	    14.617   0.016
2008in	J      54833.54	    14.653   0.042
2008in	J      54838.43	    14.491   0.014
2008in	J      54839.38	    14.47    0.018
2008in	J      54842.36	    14.397   0.007
2008in	J      54844.41	    14.378   0.015
2008in	J      54846.35	    14.551   0.05
2008in	J      54848.36	    14.374   0.042
2008in	J      54860.3	    14.358   0.026
2008in	J      54861.3	    14.373   0.022
2008in	J      54863.31	    14.36    0.023
2008in	J      54865.41	    14.353   0.03
2008in	J      54868.43	    14.312   0.01
2008in	J      54869.43	    14.318   0.034
2008in	J      54875.34	    14.496   0.03
2008in	J      54878.34	    14.389   0.024
2008in	J      54879.33	    14.378   0.012
2008in	J      54880.36	    14.395   0.028
2008in	J      54881.33	    14.374   0.023
2008in	J      54884.33	    14.476   0.049
2008in	J      54886.36	    14.523   0.192
2008in	J      54888.25	    14.39    0.027
2008in	J      54889.3	    14.366   0.029
2008in	J      54890.35	    14.45    0.045
2008in	J      54891.29	    14.444   0.027
2008in	J      54892.28	    14.46    0.035
2008in	J      54893.34	    14.495   0.028
2008in	J      54895.3	    14.59    0.068
2008in	J      54898.27	    14.52    0.048
2008in	J      54903.29	    14.553   0.018
2008in	J      54904.28	    14.535   0.017
2008in	J      54923.34	    14.913   0.016
2008in	J      54928.32	    15.129   0.025
2008in	J      54934.2	    15.656   0.041
2008in	J      54939.12	    16.138   0.044
2008in	J      54940.2	    16.269   0.039
2008in	J      54950.23	    16.311   0.026
2008in	J      54955.2	    16.349   0.051
2008in	J      54974.15	    16.58    0.052
2008in	J      54979.18	    16.636   0.04
2008in	H      54830.46	    14.562   0.063
2008in	H      54831.51	    14.536   0.041
2008in	H      54833.54	    14.623   0.073
2008in	H      54838.43	    14.297   0.021
2008in	H      54839.38	    14.289   0.013
2008in	H      54842.36	    14.202   0.023
2008in	H      54844.41	    14.213   0.03
2008in	H      54846.35	    14.41    0.033
2008in	H      54848.36	    14.323   0.051
2008in	H      54860.3	    14.202   0.037
2008in	H      54861.3	    14.177   0.035
2008in	H      54863.31	    14.09    0.01
2008in	H      54865.41	    14.168   0.02
2008in	H      54868.43	    14.099   0.013
2008in	H      54869.43	    14.175   0.03
2008in	H      54873.36	    14.084   0.029
2008in	H      54875.34	    14.241   0.116
2008in	H      54876.36	    14.163   0.047
2008in	H      54878.34	    14.212   0.031
2008in	H      54879.33	    14.095   0.03
2008in	H      54880.36	    14.186   0.02
2008in	H      54881.33	    14.18    0.023
2008in	H      54884.33	    14.182   0.04
2008in	H      54888.25	    14.201   0.032
2008in	H      54889.3	    14.245   0.081
2008in	H      54890.35	    14.326   0.091
2008in	H      54891.29	    14.244   0.02
2008in	H      54892.28	    14.262   0.038
2008in	H      54893.34	    14.281   0.04
2008in	H      54895.3	    14.344   0.23
2008in	H      54898.27	    14.315   0.044
2008in	H      54903.29	    14.323   0.019
2008in	H      54904.28	    14.317   0.017
2008in	H      54923.34	    14.692   0.075
2008in	H      54928.32	    14.847   0.064
2008in	H      54934.2	    15.444   0.05
2008in	H      54939.12	    15.534   0.027
2008in	H      54940.2	    15.791   0.032
2008in	H      54950.23	    15.819   0.051
2008in	H      54955.2	    15.894   0.076
2008in	H      54974.15	    15.949   0.046
2008in	H      54979.18	    15.971   0.049
2008in	K      54831.51	    14.308   0.046
2008in	K      54833.54	    14.193   0.217
2008in	K      54838.43	    14.13    0.031
2008in	K      54839.38	    14.331   0.052
2008in	K      54842.36	    14.113   0.026
2008in	K      54844.41	    14.159   0.037
2008in	K      54846.35	    14.192   0.07
2008in	K      54848.36	    14.178   0.042
2008in	K      54860.3	    14.162   0.117
2008in	K      54861.3	    14.132   0.04
2008in	K      54863.31	    14.003   0.1
2008in	K      54865.41	    14.071   0.048
2008in	K      54869.43	    13.933   0.124
2008in	K      54873.36	    13.987   0.034
2008in	K      54878.34	    14.04    0.075
2008in	K      54879.33	    14.003   0.022
2008in	K      54880.36	    13.978   0.018
2008in	K      54881.33	    14.14    0.07
2008in	K      54884.33	    14.078   0.077
2008in	K      54888.25	    14.183   0.035
2008in	K      54889.3	    14.14    0.175
2008in	K      54891.29	    14.112   0.041
2008in	K      54892.28	    14.163   0.044
2008in	K      54893.34	    14.173   0.096
2008in	K      54898.27	    14.298   0.064
2008in	K      54903.29	    14.174   0.061
2008in	K      54904.28	    14.156   0.053
2008in	K      54923.34	    14.548   0.052
2008in	K      54928.32	    15.387   0.325
2008in	K      54934.2	    15.37    0.07
2008in	K      54939.12	    15.461   0.099
2008in	K      54940.2	    15.55    0.137
2008in	K      54950.23	    16.025   0.273
2008in	K      54955.2	    15.727   0.001
