Name Band MJD Mag Magerr
2008in u 54861.52407 18.2175 0.05
2008in B 54837.50972 15.3483 0.014
2008in B 54856.47008 16.1663 0.018
2008in B 54857.44956 16.2466 0.022
2008in V 54831.53522 15.0351 0.015
2008in V 54837.50742 15.1089 0.014
2008in V 54840.50432 15.1381 0.016
2008in V 54842.47053 15.1544 0.016
2008in V 54844.49824 15.197 0.016
2008in V 54845.49615 15.2166 0.015
2008in V 54848.34589 15.265 0.016
2008in V 54856.46637 15.3157 0.0155
2008in V 54857.44585 15.3051 0.016
2008in V 54861.52785 15.333 0.014
2008in r 54831.53395 15.0333 0.03
2008in r 54837.50194 15.0069 0.014
2008in r 54840.49844 15.0202 0.017
2008in r 54842.46264 15.0084 0.015
2008in r 54844.49134 15.1389 0.039
2008in r 54845.48925 15.0678 0.017
2008in r 54848.33898 15.0806 0.015
2008in r 54856.45947 15.1243 0.016
2008in r 54861.52095 15.1304 0.014
2008in J 54830.46 14.691 0.028
2008in J 54831.51 14.617 0.016
2008in J 54833.54 14.653 0.042
2008in J 54838.43 14.491 0.014
2008in J 54839.38 14.47 0.018
2008in J 54842.36 14.397 0.007
2008in J 54844.41 14.378 0.015
2008in J 54846.35 14.551 0.05
2008in J 54848.36 14.374 0.042
2008in J 54860.3 14.358 0.026
2008in J 54861.3 14.373 0.022
2008in H 54830.46 14.562 0.063
2008in H 54831.51 14.536 0.041
2008in H 54833.54 14.623 0.073
2008in H 54838.43 14.297 0.021
2008in H 54839.38 14.289 0.013
2008in H 54842.36 14.202 0.023
2008in H 54844.41 14.213 0.03
2008in H 54846.35 14.41 0.033
2008in H 54848.36 14.323 0.051
2008in H 54860.3 14.202 0.037
2008in H 54861.3 14.177 0.035
2008in K 54831.51 14.308 0.046
2008in K 54833.54 14.193 0.217
2008in K 54838.43 14.13 0.031
2008in K 54839.38 14.331 0.052
2008in K 54842.36 14.113 0.026
2008in K 54844.41 14.159 0.037
2008in K 54846.35 14.192 0.07
2008in K 54848.36 14.178 0.042
2008in K 54860.3 14.162 0.117
2008in K 54861.3 14.132 0.04
