Name   Band    MJD          Mag   Magerr
2008ip  B      54837.53133  16.2878  0.0160
2008ip  B      54842.50456  16.4275  0.0260
2008ip  B      54843.53559  16.5309  0.0240
2008ip  B      54856.48509  17.4519  0.0230
2008ip  B      54857.46558  17.5649  0.0305
2008ip  B      54858.53624  17.5825  0.0190
2008ip  B      54859.51178  17.5682  0.0190
2008ip  B      54860.51478  17.6972  0.0215
2008ip  B      54862.53042  17.8185  0.0245
2008ip  B      54866.42190  18.0188  0.0250
2008ip  B      54878.36501  18.5286  0.0910
2008ip  B      54882.53519  18.5124  0.0400
2008ip  B      54883.35354  18.6054  0.0365
2008ip  B      54890.37601  18.7350  0.0380
2008ip  B      54909.47763  19.0225  0.0560
2008ip  B      54913.39438  19.1346  0.0495
2008ip  B      54914.40151  19.1407  0.0510
2008ip  B      54915.38791  19.1619  0.0570
2008ip  B      54920.31206  19.2799  0.0510
2008ip  B      54950.38267  20.4390  0.1320
2008ip  V      54837.53506  16.0925  0.0160
2008ip  V      54840.48175  16.1506  0.0195
2008ip  V      54842.50830  16.1843  0.0210
2008ip  V      54843.53929  16.2377  0.0200
2008ip  V      54844.53686  16.2707  0.0310
2008ip  V      54845.48134  16.2776  0.0225
2008ip  V      54848.32262  16.3917  0.0220
2008ip  V      54856.48882  16.7461  0.0225
2008ip  V      54857.46931  16.7536  0.0250
2008ip  V      54858.53995  16.8433  0.0180
2008ip  V      54859.51550  16.9000  0.0185
2008ip  V      54860.51851  16.9117  0.0215
2008ip  V      54862.53413  17.0066  0.0245
2008ip  V      54866.40691  17.1355  0.0210
2008ip  V      54867.40008  17.2231  0.0280
2008ip  V      54882.53888  17.4595  0.0255
2008ip  V      54883.35726  17.5320  0.0270
2008ip  V      54890.38131  17.6370  0.0260
2008ip  V      54909.48316  17.8507  0.0275
2008ip  V      54913.39991  17.9392  0.0290
2008ip  V      54914.40705  17.9442  0.0290
2008ip  V      54915.39609  17.9611  0.0350
2008ip  V      54920.31760  18.0258  0.0320
2008ip  V      54950.38637  19.4464  0.0815
2008ip  V      54969.21194  20.2260  0.1585
2008ip  r     54837.52447  16.1299  0.0160
2008ip  r     54840.46892  16.1393  0.0160
2008ip  r     54842.46830  16.1618  0.0185
2008ip  r     54843.52874  16.1904  0.0170
2008ip  r     54844.51870  16.1879  0.0205
2008ip  r     54845.47078  16.2425  0.0320
2008ip  r     54848.31204  16.3327  0.0190
2008ip  r     54856.47824  16.5912  0.0200
2008ip  r     54857.45873  16.6174  0.0180
2008ip  r     54858.52937  16.6546  0.0170
2008ip  r     54859.50492  16.6964  0.0170
2008ip  r     54860.50793  16.7330  0.0200
2008ip  r     54862.52357  16.7618  0.0170
2008ip  r     54866.39746  16.8612  0.0180
2008ip  r     54867.39332  16.9020  0.0190
