Name   Band    MJD          Mag   Magerr
2009kn  u     55150.50497  17.1881  0.0480
2009kn  u     55153.50262  17.2885  0.0590
2009kn  B      55150.50124  17.0951  0.0230
2009kn  B      55151.51847  17.1505  0.0320
2009kn  B      55153.49888  17.1807  0.0265
2009kn  B      55158.48256  17.2562  0.0285
2009kn  B      55176.44149  17.7714  0.0340
2009kn  V      55150.49752  16.8667  0.0190
2009kn  V      55151.51476  16.8746  0.0280
2009kn  V      55153.49518  16.8452  0.0210
2009kn  V      55158.47885  16.9540  0.0220
2009kn  V      55176.43779  17.2744  0.0230
2009kn  r     55150.49453  16.7347  0.0190
2009kn  r     55151.51175  16.7557  0.0245
2009kn  r     55153.49216  16.7522  0.0185
2009kn  r     55158.47585  16.8322  0.0190
2009kn  r     55176.43477  17.1268  0.0220
