Name Band MJD Mag Magerr
2010bq u 55303.46905 17.6518 0.068
2010bq u 55306.39844 17.1737 0.0405
2010bq B 55303.47278 17.5407 0.032
2010bq B 55304.45221 17.4939 0.0345
2010bq B 55306.40216 17.3662 0.024
2010bq B 55311.34781 17.3738 0.054
2010bq B 55312.34181 17.3925 0.057
2010bq V 55303.48201 17.4801 0.037
2010bq V 55304.45593 17.4218 0.0585
2010bq V 55306.40587 17.3056 0.022
2010bq V 55311.35152 17.2215 0.038
2010bq V 55312.34551 17.4462 0.044
2010bq r 55303.48572 17.5444 0.036
2010bq r 55304.45962 17.4398 0.072
2010bq r 55306.40956 17.3606 0.022
2010bq r 55311.35521 17.373 0.036
2010bq r 55312.34921 17.4336 0.0275
2010bq J 55302.34 17.249 0.083
2010bq J 55303.42 17.281 0.084
2010bq J 55304.33 17.216 0.086
2010bq J 55306.31 17.158 0.061
2010bq J 55312.42 17.073 0.057
2010bq J 55313.36 16.991 0.067
2010bq J 55314.38 17.091 0.066
2010bq H 55302.34 17.468 0.216
2010bq H 55303.42 17.006 0.123
2010bq H 55304.33 17.225 0.186
2010bq H 55306.31 16.83 0.091
2010bq H 55312.42 16.92 0.119
2010bq H 55313.36 17.283 0.194
2010bq H 55314.38 17.038 0.115
2010bq K 55303.42 16.81 0.133
2010bq K 55306.31 16.549 0.139
2010bq K 55312.42 16.558 0.16
2010bq K 55314.38 16.687 0.117
