Name Band MJD Mag Magerr
2004ao U 53090.45078 17.724 0.107
2004ao B 53079.50806 17.061 0.019
2004ao B 53081.49244 17.114 0.016
2004ao B 53083.41683 17.176 0.021
2004ao B 53085.43528 17.234 0.021
2004ao B 53090.43181 17.291 0.019
2004ao B 53090.44825 17.335 0.02
2004ao B 53091.46207 17.316 0.016
2004ao B 53091.48006 17.328 0.017
2004ao B 53093.43527 17.327 0.016
2004ao B 53110.47919 17.469 0.016
2004ao B 53112.37912 17.447 0.017
2004ao B 53117.4226 17.471 0.015
2004ao V 53079.50334 15.705 0.011
2004ao V 53081.48773 15.764 0.012
2004ao V 53083.41213 15.842 0.012
2004ao V 53085.42917 15.901 0.014
2004ao V 53090.42707 16.02 0.012
2004ao V 53090.44351 16.007 0.011
2004ao V 53091.45735 16.031 0.014
2004ao V 53091.47532 16.051 0.012
2004ao V 53093.43056 16.054 0.012
2004ao V 53110.47447 16.302 0.013
2004ao V 53112.37302 16.313 0.013
2004ao V 53117.4165 16.383 0.011
2004ao R 53079.50512 15.083 0.012
2004ao R 53081.4895 15.149 0.015
2004ao R 53083.4139 15.215 0.013
2004ao R 53085.43163 15.275 0.013
2004ao R 53090.42887 15.392 0.012
2004ao R 53090.4453 15.395 0.013
2004ao R 53091.45913 15.423 0.012
2004ao R 53091.47711 15.419 0.012
2004ao R 53093.43234 15.464 0.014
2004ao R 53110.47624 15.774 0.014
2004ao R 53112.3755 15.801 0.014
2004ao R 53117.41897 15.882 0.01
2004ao I 53079.50655 14.593 0.016
2004ao I 53081.49095 14.627 0.018
2004ao I 53083.41532 14.722 0.017
2004ao I 53085.43341 14.773 0.016
2004ao I 53090.4303 14.887 0.015
2004ao I 53090.44675 14.87 0.015
2004ao I 53091.46056 14.871 0.018
2004ao I 53091.47854 14.857 0.019
2004ao I 53093.43376 14.864 0.02
2004ao I 53110.47769 15.2 0.015
2004ao I 53112.37727 15.195 0.018
2004ao I 53117.42076 15.287 0.015
