Name Band MJD Mag Magerr
2004gq U 53352.31621 15.791 0.063
2004gq U 53353.27675 15.718 0.06
2004gq U 53381.19821 19.053 0.126
2004gq U 53383.23244 19.109 0.166
2004gq U 53386.18236 19.14 0.134
2004gq B 53352.3131 16.16 0.024
2004gq B 53353.27363 16.138 0.022
2004gq B 53381.1958 18.002 0.028
2004gq B 53386.17972 18.305 0.037
2004gq B 53388.20748 18.272 0.037
2004gq B 53399.1408 18.497 0.034
2004gq B 53399.19566 18.47 0.036
2004gq V 53353.26776 15.665 0.028
2004gq V 53379.20569 16.484 0.021
2004gq V 53381.19108 16.669 0.029
2004gq V 53383.22543 16.666 0.02
2004gq V 53386.17405 16.826 0.026
2004gq V 53388.20006 16.945 0.029
2004gq V 53388.20157 16.903 0.023
2004gq V 53399.13507 17.159 0.024
2004gq V 53399.18975 17.147 0.023
2004gq V 53402.20719 17.232 0.028
2004gq r 53379.20745 16.101 0.024
2004gq r 53381.19282 16.2 0.023
2004gq r 53383.22719 16.27 0.022
2004gq r 53386.17627 16.412 0.021
2004gq r 53388.20404 16.466 0.022
2004gq r 53399.13754 16.76 0.023
2004gq r 53399.19222 16.765 0.023
2004gq r 53402.21119 16.82 0.021
2004gq i 53352.3114 15.697 0.026
2004gq i 53353.27192 15.598 0.026
2004gq i 53379.2089 15.752 0.026
2004gq i 53381.19428 15.835 0.026
2004gq i 53383.22863 15.888 0.024
2004gq i 53386.17796 16.059 0.025
2004gq i 53388.20572 16.096 0.025
2004gq i 53399.13917 16.432 0.024
2004gq i 53399.19391 16.427 0.025
2004gq i 53402.21289 16.448 0.022
