Name Band MJD Mag Magerr
2004gt B 53387.49171 18.081 0.046
2004gt B 53402.46428 18.2 0.064
2004gt B 53410.4212 18.417 0.057
2004gt B 53464.31258 19.524 0.089
2004gt B 53469.32258 19.595 0.143
2004gt B 53478.2269 19.611 0.127
2004gt B 53480.252 19.748 0.171
2004gt B 53497.24023 19.925 0.13
2004gt V 53385.46907 16.471 0.028
2004gt V 53389.41579 16.559 0.022
2004gt V 53402.46025 17.079 0.048
2004gt V 53410.41661 17.26 0.036
2004gt V 53440.30748 17.538 0.036
2004gt V 53464.30656 17.897 0.037
2004gt V 53480.24572 18.521 0.075
2004gt V 53497.23023 18.773 0.062
2004gt r 53385.47083 15.896 0.025
2004gt r 53389.41754 16.096 0.022
2004gt r 53398.52216 16.432 0.034
2004gt r 53402.46178 16.518 0.025
2004gt r 53410.41836 16.655 0.027
2004gt r 53440.30978 17.214 0.035
2004gt r 53463.32207 17.613 0.155
2004gt r 53478.21714 17.864 0.04
2004gt r 53497.22677 18.367 0.054
2004gt r 53513.18993 18.859 0.193
2004gt r 53532.15525 18.871 0.059
2004gt i 53385.47221 15.539 0.035
2004gt i 53398.52363 16.142 0.049
2004gt i 53402.46299 16.115 0.028
2004gt i 53410.4198 16.314 0.026
2004gt i 53480.24392 17.95 0.052
2004gt i 53513.19162 18.37 0.257
2004gt J 53463.27 16.272 0.186
2004gt J 53466.311 16.844 0.088
2004gt J 53468.296 16.506 0.091
2004gt J 53469.241 16.548 0.096
2004gt J 53470.301 16.536 0.091
2004gt J 53471.299 17.115 0.147
2004gt J 53472.24 17.721 0.183
2004gt J 53473.223 17.741 0.283
2004gt J 53480.248 17.385 0.127
2004gt J 53481.28 17.127 0.075
2004gt J 53503.183 17.606 0.092
2004gt J 53509.161 17.486 0.131
2004gt J 53510.132 17.655 0.244
2004gt J 53515.162 17.933 0.282
2004gt J 53524.144 18.221 0.308
2004gt H 53463.27 15.524 0.161
2004gt H 53465.272 16.194 0.122
2004gt H 53466.311 15.618 0.054
2004gt H 53468.296 16.388 0.14
2004gt H 53469.241 16.019 0.129
2004gt H 53470.301 16.05 0.123
2004gt H 53471.299 16.078 0.118
2004gt H 53473.223 16.209 0.144
2004gt H 53480.248 15.856 0.085
2004gt H 53481.28 16.144 0.175
2004gt H 53503.183 16.505 0.277
2004gt H 53509.161 16.835 0.2
2004gt H 53510.132 16.23 0.109
2004gt H 53511.153 16.487 0.25
2004gt H 53524.144 17.453 0.343
2004gt Ks 53465.272 15.879 0.273
2004gt Ks 53466.311 16.027 0.208
2004gt Ks 53468.296 15.909 0.22
2004gt Ks 53469.241 15.804 0.347
2004gt Ks 53471.299 15.51 0.324
2004gt Ks 53480.248 16.253 0.117
2004gt Ks 53481.28 16.636 0.143
2004gt Ks 53503.183 16.883 0.265
2004gt Ks 53509.161 16.858 0.174
2004gt Ks 53511.153 16.267 0.153
2004gt Ks 53524.144 16.964 0.22
