Name Band MJD Mag Magerr
2005kl V 53699.48431 16.907 0.023
2005kl V 53704.51024 16.793 0.019
2005kl V 53706.51372 16.913 0.027
2005kl V 53708.53492 16.972 0.02
2005kl V 53714.455 17.319 0.03
2005kl r 53699.48597 16.171 0.017
2005kl r 53704.51192 16.076 0.014
2005kl r 53706.51609 16.072 0.015
2005kl r 53708.53732 16.144 0.015
2005kl r 53714.45737 16.371 0.014
2005kl i 53699.48723 15.461 0.018
2005kl i 53704.51317 15.388 0.014
2005kl i 53706.5177 15.381 0.018
2005kl i 53708.5389 15.411 0.019
2005kl i 53714.45898 15.565 0.015
2005kl J 53700.479 13.835 0.06
2005kl J 53703.488 13.859 0.25
2005kl J 53704.466 13.778 0.035
2005kl J 53705.46 13.84 0.05
2005kl J 53706.465 13.748 0.034
2005kl J 53711.462 13.8 0.027
2005kl H 53700.479 13.398 0.202
2005kl H 53703.488 13.527 0.218
2005kl H 53706.465 13.686 0.175
2005kl H 53712.466 13.389 0.157
2005kl H 53714.44 13.319 0.129
2005kl K 53700.479 13.667 0.087
2005kl K 53703.488 12.905 0.068
2005kl K 53704.466 12.919 0.052
