Name Band MJD Mag Magerr
2005nb U 53745.53368 19.739 0.269
2005nb U 53746.54582 19.988 0.343
2005nb B 53745.52701 19.035 0.066
2005nb B 53746.53914 19.454 0.088
2005nb B 53757.39962 19.97 0.152
2005nb B 53765.38374 20.355 0.193
2005nb B 53766.50256 20.303 0.201
2005nb B 53768.43993 20.444 0.212
2005nb B 53787.38651 20.55 0.234
2005nb B 53796.37907 20.615 0.217
2005nb B 53797.38175 20.612 0.26
2005nb B 53799.3672 20.482 0.207
2005nb B 53812.45309 20.378 0.365
2005nb B 53815.35098 20.568 0.241
2005nb V 53745.52133 17.847 0.021
2005nb V 53746.53347 17.817 0.038
2005nb V 53757.39397 18.372 0.044
2005nb V 53764.41741 18.815 0.058
2005nb V 53765.37809 18.697 0.042
2005nb V 53766.49687 18.74 0.045
2005nb V 53768.43425 18.755 0.036
2005nb V 53777.36747 19.022 0.062
2005nb V 53778.50061 18.888 0.093
2005nb V 53779.36218 18.966 0.057
2005nb V 53786.45326 19.14 0.053
2005nb V 53787.38084 19.133 0.059
2005nb V 53788.39394 19.107 0.054
2005nb V 53794.30198 19.309 0.128
2005nb V 53796.37608 19.262 0.059
2005nb V 53797.37874 19.212 0.093
2005nb V 53799.36419 19.219 0.042
2005nb V 53800.36654 19.315 0.055
2005nb V 53803.39701 19.462 0.101
2005nb V 53813.32156 19.543 0.094
2005nb V 53815.34797 19.514 0.076
2005nb r 53745.52372 17.544 0.018
2005nb r 53746.53584 17.586 0.031
2005nb r 53757.39637 18.038 0.024
2005nb r 53764.41978 18.252 0.028
2005nb r 53765.38047 18.306 0.025
2005nb r 53766.49926 18.317 0.023
2005nb r 53768.43664 18.379 0.024
2005nb r 53777.36416 18.575 0.033
2005nb r 53778.49591 18.663 0.035
2005nb r 53786.44854 18.807 0.033
2005nb r 53787.38323 18.764 0.032
2005nb r 53788.39633 18.82 0.034
2005nb r 53794.30436 18.936 0.12
2005nb r 53796.37135 18.931 0.043
2005nb r 53799.35944 19.015 0.045
2005nb r 53800.36184 19.105 0.05
2005nb r 53803.39939 19.353 0.082
2005nb r 53812.44536 19.439 0.095
2005nb r 53813.31682 19.289 0.086
2005nb r 53815.34323 19.455 0.089
2005nb i 53745.52534 17.471 0.02
2005nb i 53746.53747 17.534 0.029
2005nb i 53757.39795 17.807 0.027
2005nb i 53764.42138 18.085 0.032
2005nb i 53765.38207 18.052 0.03
2005nb i 53766.50087 18.111 0.025
2005nb i 53768.43824 18.165 0.034
2005nb i 53777.36575 18.404 0.041
2005nb i 53778.49821 18.48 0.042
2005nb i 53779.35978 18.417 0.045
2005nb i 53786.45083 18.572 0.037
2005nb i 53787.38483 18.61 0.04
2005nb i 53788.39793 18.665 0.047
2005nb i 53794.30596 18.79 0.135
2005nb i 53796.37367 18.752 0.065
2005nb i 53799.36176 18.868 0.053
2005nb i 53800.36413 18.887 0.06
2005nb i 53803.40097 18.858 0.093
2005nb i 53812.44767 19.219 0.132
2005nb i 53813.31914 19.124 0.159
2005nb i 53815.34554 19.088 0.126
