Name Band MJD Mag Magerr
2005nb U 53745.53368 19.739 0.269
2005nb U 53746.54582 19.988 0.343
2005nb B 53745.52701 19.035 0.066
2005nb B 53746.53914 19.454 0.088
2005nb B 53757.39962 19.97 0.152
2005nb B 53765.38374 20.355 0.193
2005nb B 53766.50256 20.303 0.201
2005nb B 53768.43993 20.444 0.212
2005nb V 53745.52133 17.847 0.021
2005nb V 53746.53347 17.817 0.038
2005nb V 53757.39397 18.372 0.044
2005nb V 53764.41741 18.815 0.058
2005nb V 53765.37809 18.697 0.042
2005nb V 53766.49687 18.74 0.045
2005nb V 53768.43425 18.755 0.036
2005nb V 53777.36747 19.022 0.062
2005nb V 53778.50061 18.888 0.093
2005nb V 53779.36218 18.966 0.057
2005nb r 53745.52372 17.544 0.018
2005nb r 53746.53584 17.586 0.031
2005nb r 53757.39637 18.038 0.024
2005nb r 53764.41978 18.252 0.028
2005nb r 53765.38047 18.306 0.025
2005nb r 53766.49926 18.317 0.023
2005nb r 53768.43664 18.379 0.024
2005nb r 53777.36416 18.575 0.033
2005nb r 53778.49591 18.663 0.035
2005nb i 53745.52534 17.471 0.02
2005nb i 53746.53747 17.534 0.029
2005nb i 53757.39795 17.807 0.027
2005nb i 53764.42138 18.085 0.032
2005nb i 53765.38207 18.052 0.03
2005nb i 53766.50087 18.111 0.025
2005nb i 53768.43824 18.165 0.034
2005nb i 53777.36575 18.404 0.041
2005nb i 53778.49821 18.48 0.042
2005nb i 53779.35978 18.417 0.045
