Name Band MJD Mag Magerr
2006fo B 54006.4908 18.325 0.038
2006fo B 54007.39007 18.405 0.042
2006fo B 54008.3773 18.414 0.043
2006fo B 54009.39256 18.467 0.045
2006fo B 54011.32701 18.521 0.049
2006fo V 54006.48849 17.543 0.026
2006fo V 54007.38778 17.488 0.023
2006fo V 54008.37499 17.579 0.025
2006fo V 54009.38955 17.589 0.026
2006fo V 54011.35656 17.631 0.027
2006fo r 54006.48689 17.335 0.022
2006fo r 54007.38616 17.322 0.023
2006fo r 54008.37339 17.339 0.021
2006fo r 54009.38726 17.314 0.021
2006fo r 54011.35233 17.382 0.022
2006fo i 54006.48521 17.244 0.024
2006fo i 54007.38455 17.254 0.025
2006fo i 54008.37176 17.209 0.024
2006fo i 54009.38494 17.219 0.023
2006fo i 54011.35193 17.225 0.024
2006fo J 54005.326 16.553 0.178
2006fo J 54006.357 16.715 0.091
2006fo J 54007.4 16.714 0.062
2006fo J 54008.339 16.665 0.175
2006fo J 54010.355 16.28 0.083
2006fo H 54005.326 16.513 0.363
2006fo H 54006.357 16.381 0.21
2006fo H 54008.339 16.669 0.253
2006fo K 54005.326 17.37 0.199
2006fo K 54006.357 17.292 0.217
2006fo K 54007.4 17.07 0.252
2006fo K 54008.339 17.334 0.342
2006fo K 54010.355 17.086 0.22
