Name Band MJD Mag Magerr
2006ld U 54052.18544 19.132 0.136
2006ld U 54054.161 19.395 0.16
2006ld U 54055.16076 19.326 0.141
2006ld U 54056.2598 19.023 0.115
2006ld U 54064.13587 19.378 0.15
2006ld U 54065.13501 18.884 0.109
2006ld B 54052.18058 18.519 0.027
2006ld B 54054.15613 18.611 0.033
2006ld B 54055.15589 18.57 0.03
2006ld B 54056.25494 18.552 0.03
2006ld B 54064.13101 18.75 0.033
2006ld B 54065.13197 18.746 0.043
2006ld V 54044.24038 17.132 0.031
2006ld V 54045.18939 17.186 0.039
2006ld V 54046.22357 17.346 0.026
2006ld V 54052.17827 17.534 0.02
2006ld V 54054.15382 17.541 0.019
2006ld V 54055.15358 17.588 0.02
2006ld V 54056.25263 17.609 0.021
2006ld V 54064.12869 17.756 0.021
2006ld V 54065.12964 17.746 0.03
2006ld V 54076.15373 17.95 0.025
2006ld V 54078.15138 18.039 0.025
2006ld V 54080.10558 18.086 0.026
2006ld V 54081.11605 18.135 0.025
2006ld V 54094.14238 18.324 0.027
2006ld V 54095.09656 18.347 0.039
2006ld V 54100.12503 18.328 0.081
2006ld V 54101.12817 18.251 0.038
2006ld r 54044.23877 16.885 0.029
2006ld r 54045.18779 17.025 0.035
2006ld r 54046.22193 17.041 0.02
2006ld r 54052.17666 17.238 0.019
2006ld r 54054.1522 17.246 0.017
2006ld r 54055.15197 17.28 0.018
2006ld r 54056.25101 17.315 0.021
2006ld r 54064.12708 17.475 0.022
2006ld r 54065.12803 17.518 0.036
2006ld r 54076.15071 17.779 0.021
2006ld r 54078.14835 17.819 0.021
2006ld r 54080.10257 17.863 0.021
2006ld r 54081.11304 17.849 0.022
2006ld r 54094.13936 18.184 0.025
2006ld r 54095.09357 18.149 0.033
2006ld r 54100.12202 18.021 0.051
2006ld r 54101.12515 18.214 0.06
2006ld i 54044.23715 16.736 0.024
2006ld i 54046.22031 16.925 0.041
2006ld i 54052.17506 17.046 0.021
2006ld i 54054.15058 17.077 0.021
2006ld i 54055.15036 17.086 0.023
2006ld i 54056.24939 17.111 0.02
2006ld i 54064.12546 17.287 0.023
2006ld i 54065.12641 17.324 0.035
2006ld i 54076.1477 17.582 0.025
2006ld i 54078.14532 17.617 0.026
2006ld i 54080.09955 17.668 0.023
2006ld i 54081.11003 17.662 0.022
2006ld i 54094.13634 18.026 0.034
2006ld i 54095.09054 18.116 0.03
2006ld i 54100.11899 18.16 0.058
2006ld i 54101.12215 18.153 0.036
2006ld J 54036.272 15.692 0.175
2006ld J 54040.262 15.978 0.064
2006ld J 54046.23 16.148 0.175
2006ld J 54047.12 16.111 0.045
2006ld J 54048.188 16.209 0.034
2006ld J 54049.206 16.035 0.25
2006ld J 54053.177 16.342 0.051
2006ld J 54054.174 16.253 0.25
2006ld J 54055.184 16.35 0.059
2006ld J 54056.107 16.571 0.078
2006ld J 54057.1 16.179 0.25
2006ld J 54058.081 16.429 0.175
2006ld J 54059.22 16.485 0.036
2006ld J 54060.108 16.532 0.25
2006ld J 54061.093 16.616 0.098
2006ld J 54062.158 16.467 0.175
2006ld J 54063.194 16.573 0.097
2006ld J 54064.12 16.611 0.175
2006ld J 54065.135 16.675 0.175
2006ld J 54066.147 16.63 0.25
2006ld J 54072.113 16.943 0.042
2006ld J 54074.116 17.007 0.175
2006ld J 54075.15 17.07 0.094
2006ld J 54076.096 16.957 0.189
2006ld J 54077.098 16.958 0.175
2006ld J 54080.089 17.126 0.06
2006ld J 54081.091 17.215 0.045
2006ld J 54083.078 17.394 0.066
2006ld J 54084.086 17.182 0.067
2006ld J 54085.077 17.375 0.071
2006ld J 54086.151 17.394 0.164
2006ld J 54090.127 17.456 0.113
2006ld J 54091.1 17.445 0.062
2006ld J 54095.192 17.637 0.141
2006ld J 54102.068 17.864 0.105
2006ld J 54103.068 17.844 0.25
2006ld J 54104.098 17.859 0.078
2006ld J 54105.156 18.015 0.199
2006ld J 54108.062 18.107 0.17
2006ld J 54109.148 18.087 0.191
2006ld J 54110.149 18.302 0.234
2006ld J 54115.072 18.396 0.166
2006ld H 54036.272 15.554 0.175
2006ld H 54040.262 15.675 0.175
2006ld H 54046.23 15.879 0.031
2006ld H 54047.12 16.091 0.25
2006ld H 54048.188 15.996 0.25
2006ld H 54049.206 16.069 0.25
2006ld H 54053.177 16.107 0.114
2006ld H 54054.174 16.139 0.027
2006ld H 54055.184 16.083 0.175
2006ld H 54056.107 16.154 0.175
2006ld H 54057.1 16.162 0.25
2006ld H 54058.081 16.35 0.25
2006ld H 54059.22 16.478 0.25
2006ld H 54060.108 16.309 0.25
2006ld H 54061.093 16.566 0.25
2006ld H 54062.158 16.445 0.175
2006ld H 54063.194 16.278 0.25
2006ld H 54064.12 16.599 0.072
2006ld H 54065.135 16.387 0.175
2006ld H 54066.147 16.46 0.175
2006ld H 54071.175 16.673 0.077
2006ld H 54072.113 16.522 0.175
2006ld H 54074.116 16.624 0.25
2006ld H 54075.15 16.703 0.175
2006ld H 54076.096 16.816 0.25
2006ld H 54077.098 16.801 0.175
