Name Band MJD Mag Magerr
2006ld U 54052.18544 19.132 0.136
2006ld U 54054.161 19.395 0.16
2006ld U 54055.16076 19.326 0.141
2006ld U 54056.2598 19.023 0.115
2006ld U 54064.13587 19.378 0.15
2006ld U 54065.13501 18.884 0.109
2006ld B 54052.18058 18.519 0.027
2006ld B 54054.15613 18.611 0.033
2006ld B 54055.15589 18.57 0.03
2006ld B 54056.25494 18.552 0.03
2006ld B 54064.13101 18.75 0.033
2006ld B 54065.13197 18.746 0.043
2006ld V 54044.24038 17.132 0.031
2006ld V 54045.18939 17.186 0.039
2006ld V 54046.22357 17.346 0.026
2006ld V 54052.17827 17.534 0.02
2006ld V 54054.15382 17.541 0.019
2006ld V 54055.15358 17.588 0.02
2006ld V 54056.25263 17.609 0.021
2006ld V 54064.12869 17.756 0.021
2006ld V 54065.12964 17.746 0.03
2006ld V 54076.15373 17.95 0.025
2006ld r 54044.23877 16.885 0.029
2006ld r 54045.18779 17.025 0.035
2006ld r 54046.22193 17.041 0.02
2006ld r 54052.17666 17.238 0.019
2006ld r 54054.1522 17.246 0.017
2006ld r 54055.15197 17.28 0.018
2006ld r 54056.25101 17.315 0.021
2006ld r 54064.12708 17.475 0.022
2006ld r 54065.12803 17.518 0.036
2006ld r 54076.15071 17.779 0.021
2006ld i 54044.23715 16.736 0.024
2006ld i 54046.22031 16.925 0.041
2006ld i 54052.17506 17.046 0.021
2006ld i 54054.15058 17.077 0.021
2006ld i 54055.15036 17.086 0.023
2006ld i 54056.24939 17.111 0.02
2006ld i 54064.12546 17.287 0.023
2006ld i 54065.12641 17.324 0.035
2006ld i 54076.1477 17.582 0.025
2006ld J 54036.272 15.692 0.175
2006ld J 54040.262 15.978 0.064
2006ld J 54046.23 16.148 0.175
2006ld J 54047.12 16.111 0.045
2006ld J 54048.188 16.209 0.034
2006ld J 54049.206 16.035 0.25
2006ld J 54053.177 16.342 0.051
2006ld J 54054.174 16.253 0.25
2006ld J 54055.184 16.35 0.059
2006ld J 54056.107 16.571 0.078
2006ld J 54057.1 16.179 0.25
2006ld J 54058.081 16.429 0.175
2006ld J 54059.22 16.485 0.036
2006ld J 54060.108 16.532 0.25
2006ld J 54061.093 16.616 0.098
2006ld J 54062.158 16.467 0.175
2006ld J 54063.194 16.573 0.097
2006ld J 54064.12 16.611 0.175
2006ld J 54065.135 16.675 0.175
2006ld J 54066.147 16.63 0.25
2006ld J 54072.113 16.943 0.042
2006ld J 54074.116 17.007 0.175
2006ld J 54075.15 17.07 0.094
2006ld J 54076.096 16.957 0.189
2006ld J 54077.098 16.958 0.175
2006ld H 54036.272 15.554 0.175
2006ld H 54040.262 15.675 0.175
2006ld H 54046.23 15.879 0.031
2006ld H 54047.12 16.091 0.25
2006ld H 54048.188 15.996 0.25
2006ld H 54049.206 16.069 0.25
2006ld H 54053.177 16.107 0.114
2006ld H 54054.174 16.139 0.027
2006ld H 54055.184 16.083 0.175
2006ld H 54056.107 16.154 0.175
2006ld H 54057.1 16.162 0.25
2006ld H 54058.081 16.35 0.25
2006ld H 54059.22 16.478 0.25
2006ld H 54060.108 16.309 0.25
2006ld H 54061.093 16.566 0.25
2006ld H 54062.158 16.445 0.175
2006ld H 54063.194 16.278 0.25
2006ld H 54064.12 16.599 0.072
2006ld H 54065.135 16.387 0.175
2006ld H 54066.147 16.46 0.175
2006ld H 54071.175 16.673 0.077
2006ld H 54072.113 16.522 0.175
2006ld H 54074.116 16.624 0.25
2006ld H 54075.15 16.703 0.175
2006ld H 54076.096 16.816 0.25
2006ld H 54077.098 16.801 0.175
2006ld K 54036.272 15.275 0.25
2006ld K 54040.262 15.131 0.25
2006ld K 54046.23 15.421 0.25
2006ld K 54047.12 15.492 0.25
2006ld K 54048.188 15.39 0.25
2006ld K 54049.206 15.562 0.25
2006ld K 54053.177 15.508 0.25
2006ld K 54056.107 15.635 0.25
2006ld K 54057.1 15.413 0.25
2006ld K 54058.081 15.891 0.25
2006ld K 54059.22 15.616 0.25
2006ld K 54061.093 15.63 0.25
2006ld K 54062.158 15.481 0.25
2006ld K 54063.194 15.552 0.25
2006ld K 54064.12 15.646 0.25
2006ld K 54065.135 15.563 0.25
2006ld K 54066.147 15.987 0.25
2006ld K 54069.127 15.828 0.25
2006ld K 54071.175 15.564 0.25
2006ld K 54072.113 15.668 0.25
2006ld K 54074.116 15.954 0.25
2006ld K 54075.15 15.866 0.25
2006ld K 54076.096 16.168 0.25
2006ld K 54077.098 16.041 0.25
