Name Band MJD Mag Magerr
2007D B 54117.2398 20.471 0.155
2007D B 54118.16847 19.875 0.285
2007D B 54135.14348 20.747 0.344
2007D B 54138.11705 21.117 0.275
2007D V 54117.23677 19.028 0.059
2007D V 54118.16544 18.892 0.153
2007D V 54135.14046 19.756 0.153
2007D V 54138.11405 20.26 0.193
2007D V 54139.15474 20.337 0.221
2007D V 54140.20277 20.431 0.236
2007D V 54144.11901 20.614 0.248
2007D r 54117.23447 18.572 0.037
2007D r 54118.16314 18.559 0.104
2007D r 54129.23596 18.5 0.121
2007D r 54135.13815 19.274 0.09
2007D r 54138.11173 19.553 0.096
2007D r 54139.15174 19.489 0.092
2007D r 54140.19974 19.479 0.088
2007D r 54141.14147 19.341 0.105
2007D r 54144.11598 19.758 0.099
2007D i 54117.23216 18.692 0.057
2007D i 54118.16083 18.201 0.166
2007D i 54135.13584 19.345 0.1
2007D i 54138.10941 19.469 0.117
2007D i 54139.14873 19.201 0.095
2007D i 54140.19673 19.578 0.155
2007D i 54144.11299 19.51 0.108
2007D J 54116.118 17.841 0.175
2007D J 54124.086 18.148 0.25
2007D J 54128.093 17.774 0.25
2007D H 54116.118 16.265 0.373
2007D K 54116.118 17.362 0.342
