Name Band MJD Mag Magerr
2007I B 54117.45377 19.032 0.043
2007I B 54126.41822 19.417 0.052
2007I B 54128.37785 19.551 0.077
2007I B 54141.30776 20.184 0.156
2007I V 54117.45075 17.872 0.022
2007I V 54126.41521 18.142 0.028
2007I V 54128.37483 18.181 0.032
2007I V 54129.47127 18.331 0.037
2007I V 54134.40138 18.531 0.062
2007I V 54139.35075 18.645 0.073
2007I V 54141.30473 18.951 0.146
2007I V 54148.3203 19.31 0.057
2007I V 54150.39882 19.326 0.068
2007I V 54152.37654 19.299 0.065
2007I V 54153.3142 19.285 0.066
2007I V 54153.35082 19.272 0.071
2007I V 54155.39656 19.298 0.058
2007I V 54158.33392 19.516 0.097
2007I V 54160.31651 19.361 0.164
2007I V 54161.33703 19.625 0.226
2007I r 54117.44911 17.706 0.025
2007I r 54126.4136 17.865 0.026
2007I r 54129.46968 17.962 0.033
2007I r 54134.39975 18.173 0.047
2007I r 54139.34913 18.362 0.074
2007I r 54140.36822 18.3 0.042
2007I r 54140.42019 18.342 0.051
2007I r 54141.30312 18.308 0.035
2007I r 54148.31868 18.599 0.04
2007I r 54150.39721 18.714 0.036
2007I r 54152.36448 18.784 0.041
2007I r 54153.31259 18.846 0.05
2007I r 54153.3492 18.825 0.066
2007I r 54155.39493 18.765 0.042
2007I r 54158.3323 18.959 0.065
2007I r 54160.3149 19.029 0.112
2007I r 54161.3354 19.086 0.096
2007I i 54117.44748 17.764 0.03
2007I i 54126.41198 17.885 0.031
2007I i 54128.37162 17.904 0.03
2007I i 54129.46806 17.902 0.039
2007I i 54134.39812 18.072 0.048
2007I i 54139.34751 18.212 0.062
2007I i 54140.36659 18.16 0.038
2007I i 54140.41858 18.257 0.042
2007I i 54141.30151 18.21 0.038
2007I i 54148.31707 18.268 0.038
2007I i 54150.3956 18.382 0.035
2007I i 54152.36287 18.406 0.045
2007I i 54153.31097 18.512 0.044
2007I i 54153.34759 18.568 0.063
2007I i 54155.3933 18.577 0.064
2007I i 54158.33068 18.712 0.056
2007I J 54128.413 16.682 0.024
2007I J 54138.344 16.684 0.029
2007I J 54139.344 16.766 0.029
2007I J 54140.378 16.863 0.25
2007I J 54141.412 16.83 0.026
2007I J 54143.405 17.005 0.024
2007I J 54147.536 17.193 0.175
2007I J 54148.392 16.925 0.022
2007I J 54152.262 17.213 0.175
2007I J 54153.325 17.105 0.021
2007I J 54154.457 17.172 0.03
2007I J 54155.387 17.199 0.031
2007I J 54157.386 17.183 0.025
2007I J 54158.26 17.216 0.029
2007I H 54128.413 16.624 0.032
2007I H 54138.344 16.493 0.106
2007I H 54139.344 16.464 0.175
2007I H 54140.378 16.685 0.068
2007I H 54141.412 16.516 0.175
2007I H 54143.405 16.727 0.048
2007I H 54148.392 16.867 0.175
2007I H 54152.262 16.772 0.175
2007I H 54153.325 16.752 0.049
2007I H 54154.457 16.887 0.069
2007I H 54155.387 17.153 0.076
2007I H 54157.386 16.797 0.066
2007I H 54158.26 16.955 0.066
2007I K 54128.413 16.312 0.042
2007I K 54138.344 16.139 0.175
2007I K 54139.344 16.305 0.055
2007I K 54140.378 16.084 0.047
2007I K 54141.412 16.356 0.058
2007I K 54143.405 16.282 0.04
2007I K 54148.392 16.348 0.053
2007I K 54153.325 16.499 0.175
2007I K 54154.457 16.441 0.175
2007I K 54155.387 16.627 0.052
2007I K 54157.386 16.949 0.079
2007I K 54158.26 16.775 0.059
