Name Band MJD Mag Magerr
2007uy B 54470.4849 17.052 0.018
2007uy B 54474.44575 16.797 0.016
2007uy B 54475.41519 16.766 0.016
2007uy B 54476.44191 16.736 0.016
2007uy B 54477.36835 16.725 0.016
2007uy B 54478.39779 16.735 0.016
2007uy B 54480.39863 16.784 0.016
2007uy B 54481.51614 16.795 0.016
2007uy B 54482.44583 16.862 0.016
2007uy B 54483.28662 16.901 0.017
2007uy B 54484.37214 16.975 0.017
2007uy B 54485.41593 17.089 0.018
2007uy B 54494.47464 18.215 0.04
2007uy B 54495.37244 18.234 0.029
2007uy B 54496.34629 18.288 0.03
2007uy B 54497.40503 18.426 0.043
2007uy B 54498.31737 18.386 0.034
2007uy B 54499.35969 18.503 0.036
2007uy B 54502.44801 18.658 0.038
2007uy B 54503.35462 18.793 0.044
2007uy B 54504.38009 18.761 0.043
2007uy B 54505.42428 18.722 0.044
2007uy B 54507.22459 18.846 0.048
2007uy B 54509.285 18.836 0.046
2007uy B 54510.17176 18.801 0.054
2007uy B 54520.26501 19.007 0.058
2007uy B 54523.25317 19.015 0.056
2007uy B 54524.28575 19.1 0.057
2007uy B 54531.14281 19.147 0.059
2007uy B 54536.16857 19.093 0.055
2007uy B 54537.162 19.269 0.064
2007uy B 54539.12879 19.126 0.062
2007uy B 54547.11476 18.968 0.058
2007uy B 54553.13621 19.302 0.07
2007uy B 54558.11259 19.273 0.07
2007uy B 54569.14075 19.426 0.091
2007uy B 54572.17755 19.111 0.075
2007uy B 54579.13353 19.499 0.081
2007uy B 54583.14883 19.482 0.085
2007uy B 54585.17736 19.646 0.086
2007uy B 54590.17338 19.596 0.08
2007uy B 54593.1657 19.786 0.098
2007uy B 54594.16508 19.793 0.087
2007uy B 54597.17349 20.211 0.165
2007uy B 54611.16118 20.237 0.159
2007uy B 54615.1524 19.886 0.127
2007uy V 54470.48004 16.571 0.017
2007uy V 54474.44089 16.073 0.015
2007uy V 54475.41034 15.99 0.015
2007uy V 54476.43704 15.928 0.015
