Name Band MJD Mag Magerr
2008aq U 54526.48723 16.431 0.053
2008aq U 54526.49087 16.435 0.051
2008aq B 54526.48346 16.515 0.02
2008aq B 54543.38219 17.564 0.044
2008aq B 54544.31054 17.58 0.055
2008aq B 54557.43148 18.196 0.04
2008aq V 54526.48045 16.098 0.02
2008aq V 54543.37918 16.477 0.021
2008aq V 54544.30752 16.513 0.025
2008aq V 54557.42848 17.119 0.02
2008aq r 54526.4781 15.92 0.021
2008aq r 54543.37686 16.056 0.021
2008aq r 54544.30522 16.12 0.02
2008aq r 54557.42617 16.725 0.021
2008aq r 54568.32484 16.839 0.025
2008aq r 54570.33641 16.998 0.022
2008aq i 54526.47579 16.185 0.021
2008aq i 54543.37455 16.021 0.018
2008aq i 54544.30292 16.064 0.019
2008aq i 54557.42385 16.567 0.019
2008aq i 54568.3225 16.739 0.021
2008aq i 54570.33409 16.89 0.023
