Name Band MJD Mag Magerr
2009er B 54981.1489 17.691 0.045
2009er B 54982.15852 17.797 0.035
2009er B 54983.26593 17.868 0.026
2009er B 54984.14812 17.792 0.049
2009er B 54985.18048 17.915 0.053
2009er B 54993.20403 18.975 0.11
2009er B 54994.29855 18.925 0.11
2009er B 54996.18361 19.062 0.055
2009er B 54998.16274 19.274 0.065
2009er B 54999.15935 19.282 0.07
2009er B 55000.24406 19.448 0.077
2009er B 55003.26282 19.583 0.083
2009er B 55005.23958 19.957 0.172
2009er V 54980.4658 17.268 0.029
2009er V 54981.1452 17.261 0.022
2009er V 54982.15483 17.216 0.022
2009er V 54983.26292 17.247 0.024
2009er V 54984.14441 17.314 0.023
2009er V 54985.17676 17.306 0.024
2009er V 54986.35101 17.305 0.032
2009er V 54988.15815 17.402 0.03
2009er V 54990.24325 17.461 0.032
2009er V 54994.29339 17.868 0.032
2009er V 54996.17807 18.04 0.026
2009er V 54998.15719 18.071 0.035
2009er V 54999.15381 18.166 0.038
2009er V 55000.23852 18.254 0.041
2009er V 55003.25729 18.46 0.033
2009er V 55005.23466 18.477 0.086
2009er r 54980.4628 17.275 0.021
2009er r 54981.14219 17.246 0.02
2009er r 54982.15183 17.181 0.02
2009er r 54983.25991 17.171 0.019
2009er r 54984.14141 17.171 0.02
2009er r 54985.17375 17.176 0.019
2009er r 54986.34801 17.277 0.024
2009er r 54988.15514 17.262 0.024
2009er r 54993.19729 17.488 0.022
2009er r 54994.29039 17.556 0.023
2009er r 54996.17506 17.681 0.024
2009er r 54998.1542 17.784 0.025
2009er r 54999.15079 17.856 0.026
2009er r 55000.23552 17.978 0.031
2009er r 55003.25428 18.088 0.026
2009er r 55005.23164 18.226 0.057
2009er i 54980.45978 17.37 0.023
2009er i 54981.13919 17.294 0.024
2009er i 54982.14882 17.27 0.024
2009er i 54983.25691 17.276 0.024
2009er i 54984.1384 17.285 0.022
2009er i 54985.17074 17.246 0.021
2009er i 54986.34501 17.265 0.025
2009er i 54988.15213 17.276 0.026
2009er i 54990.23723 17.245 0.027
2009er i 54993.19429 17.428 0.023
2009er i 54994.28738 17.472 0.024
2009er i 54996.17206 17.517 0.025
2009er i 54998.15119 17.591 0.025
2009er i 54999.14778 17.666 0.026
2009er i 55000.23252 17.696 0.029
2009er i 55003.2513 17.968 0.032
2009er i 55005.23744 17.921 0.102
2009er J 54985.223 16.677 0.065
2009er J 54986.27 16.692 0.03
2009er J 54988.235 16.589 0.034
2009er J 54989.244 16.663 0.077
2009er J 54990.247 16.647 0.024
2009er J 54993.197 16.57 0.024
2009er J 54996.209 16.818 0.022
2009er J 54997.193 16.792 0.032
2009er J 54998.196 16.813 0.03
2009er J 54999.214 16.977 0.175
2009er J 55000.227 16.854 0.043
2009er J 55002.196 16.969 0.037
2009er H 54985.223 16.724 0.118
2009er H 54986.27 16.719 0.125
2009er H 54988.235 16.604 0.091
2009er H 54989.244 16.663 0.137
2009er H 54990.247 16.712 0.175
2009er H 54993.197 16.697 0.175
2009er H 54996.209 16.739 0.175
2009er H 54997.193 16.784 0.127
2009er H 54998.196 16.821 0.11
2009er H 54999.214 16.831 0.148
2009er H 55002.196 17.0 0.119
2009er Ks 54986.27 16.432 0.175
2009er Ks 54989.244 15.915 0.089
2009er Ks 54990.247 16.051 0.082
2009er Ks 54997.193 17.075 0.214
