Name Band MJD Mag Magerr
2009iz u 55095.43785 19.376 0.155
2009iz u 55098.34309 18.78 0.109
2009iz u 55099.2828 18.812 0.12
2009iz u 55100.29478 18.882 0.132
2009iz u 55101.29015 18.604 0.099
2009iz u 55102.29006 18.981 0.148
2009iz u 55103.38208 18.578 0.093
2009iz u 55104.36699 18.626 0.129
2009iz u 55105.21925 18.569 0.149
2009iz u 55106.25679 18.178 0.11
2009iz u 55113.50183 18.872 0.154
2009iz u 55115.48895 18.819 0.152
2009iz u 55119.41362 20.297 0.327
2009iz B 55095.43482 18.254 0.043
2009iz B 55098.34006 17.842 0.034
2009iz B 55099.27977 17.78 0.027
2009iz B 55100.29174 17.707 0.028
2009iz B 55101.28711 17.716 0.028
2009iz B 55102.28701 17.567 0.03
2009iz B 55103.37905 17.607 0.027
2009iz B 55104.36396 17.499 0.029
2009iz B 55105.20863 17.423 0.036
2009iz B 55106.25375 17.61 0.035
2009iz B 55113.4988 17.789 0.04
2009iz B 55115.46614 17.868 0.041
2009iz B 55118.32081 18.183 0.042
2009iz B 55119.4099 18.312 0.04
2009iz B 55122.38381 18.578 0.051
2009iz B 55123.36931 18.513 0.05
2009iz B 55125.43189 18.9 0.062
2009iz V 55095.43182 17.721 0.025
2009iz V 55098.33704 17.443 0.024
2009iz V 55099.27676 17.332 0.022
2009iz V 55100.28873 17.241 0.02
2009iz V 55101.2841 17.191 0.02
2009iz V 55102.28401 17.112 0.021
2009iz V 55103.37602 17.095 0.02
2009iz V 55104.36095 17.042 0.019
2009iz V 55105.20563 17.009 0.022
2009iz V 55106.25074 16.991 0.021
2009iz V 55113.49579 17.096 0.026
2009iz V 55115.46315 17.074 0.025
2009iz V 55118.3178 17.159 0.021
2009iz V 55119.40689 17.276 0.021
2009iz V 55122.38013 17.405 0.02
2009iz V 55123.36628 17.455 0.022
2009iz r 55095.4295 17.696 0.025
2009iz r 55098.33472 17.367 0.022
2009iz r 55099.27444 17.297 0.02
2009iz r 55100.28641 17.226 0.019
2009iz r 55101.28179 17.15 0.019
2009iz r 55102.28168 17.113 0.022
2009iz r 55103.37371 17.045 0.021
2009iz r 55104.35864 16.977 0.018
2009iz r 55105.20483 16.943 0.021
2009iz r 55106.24844 16.931 0.019
2009iz r 55113.49347 16.865 0.022
2009iz r 55115.46082 16.902 0.021
2009iz r 55118.31549 16.963 0.018
2009iz r 55119.40389 17.013 0.017
2009iz r 55122.37711 17.116 0.019
2009iz r 55123.36396 17.166 0.021
2009iz r 55125.42519 17.208 0.021
2009iz i 55095.42719 17.778 0.028
2009iz i 55098.33241 17.482 0.026
2009iz i 55099.27213 17.364 0.024
2009iz i 55100.28411 17.32 0.023
2009iz i 55101.27948 17.244 0.023
2009iz i 55102.27937 17.183 0.022
2009iz i 55103.37138 17.098 0.023
2009iz i 55104.35633 17.043 0.022
2009iz i 55105.20101 17.014 0.024
2009iz i 55106.24612 16.971 0.022
2009iz i 55113.49115 16.831 0.022
2009iz i 55115.45851 16.818 0.021
2009iz i 55118.31318 16.84 0.021
2009iz i 55119.38297 16.868 0.02
2009iz i 55122.37412 16.922 0.02
2009iz i 55123.36166 16.981 0.02
2009iz i 55125.42218 16.997 0.021
2009iz J 55099.266 16.931 0.175
2009iz J 55100.255 16.922 0.014
2009iz J 55101.273 16.758 0.175
2009iz J 55102.257 16.726 0.015
2009iz J 55103.251 16.636 0.175
2009iz J 55104.243 16.662 0.175
2009iz J 55113.314 16.271 0.012
2009iz J 55119.332 16.232 0.175
2009iz J 55120.232 16.312 0.011
2009iz J 55122.203 16.227 0.009
2009iz J 55123.397 16.34 0.175
2009iz J 55124.188 16.385 0.175
2009iz J 55126.258 16.294 0.015
2009iz J 55127.193 16.364 0.175
2009iz H 55099.266 16.871 0.033
2009iz H 55100.255 16.979 0.062
2009iz H 55101.273 16.655 0.035
2009iz H 55103.251 16.834 0.045
2009iz H 55104.243 16.8 0.056
2009iz H 55113.314 16.273 0.175
2009iz H 55119.332 16.251 0.032
2009iz H 55120.232 16.041 0.25
2009iz H 55122.203 15.998 0.25
2009iz H 55123.397 16.132 0.021
2009iz H 55124.188 16.179 0.175
2009iz H 55126.258 16.107 0.175
2009iz H 55127.193 16.336 0.024
2009iz K 55100.255 16.475 0.25
2009iz K 55101.273 16.111 0.175
2009iz K 55103.251 16.325 0.175
2009iz K 55104.243 16.121 0.175
2009iz K 55113.314 15.662 0.175
2009iz K 55119.332 15.616 0.175
2009iz K 55122.203 15.771 0.25
2009iz K 55124.188 15.705 0.175
2009iz K 55126.258 15.741 0.175
2009iz K 55127.193 15.874 0.175
