Name Band MJD Mag Magerr
2009jf u 55119.21624 16.78 0.032
2009jf u 55120.12426 16.826 0.032
2009jf u 55122.13244 16.87 0.03
2009jf u 55125.13163 17.25 0.048
2009jf u 55126.11088 17.239 0.041
2009jf u 55127.14955 17.536 0.048
2009jf u 55153.1404 19.282 0.152
2009jf B 55119.21251 15.651 0.015
2009jf B 55120.12053 15.667 0.014
2009jf B 55122.1287 15.706 0.015
2009jf B 55125.12788 15.86 0.029
2009jf B 55126.10714 15.879 0.016
2009jf B 55127.14583 15.962 0.016
2009jf B 55128.1327 16.027 0.017
2009jf B 55129.10079 16.122 0.016
2009jf B 55133.24676 16.476 0.026
2009jf B 55136.1039 16.846 0.025
2009jf B 55137.23841 16.869 0.032
2009jf B 55138.27537 16.985 0.042
2009jf B 55141.08189 17.209 0.021
2009jf B 55143.07927 17.374 0.021
2009jf B 55145.08875 17.514 0.024
2009jf B 55150.19106 17.678 0.027
2009jf B 55151.15877 17.73 0.033
2009jf B 55153.13668 17.781 0.027
2009jf B 55154.16368 17.751 0.025
2009jf B 55156.1017 17.767 0.025
2009jf B 55157.15037 17.807 0.029
2009jf B 55158.11367 17.776 0.03
2009jf B 55159.09218 17.828 0.031
2009jf B 55160.18829 17.815 0.036
2009jf B 55168.07602 17.847 0.038
2009jf B 55176.08284 17.939 0.027
2009jf B 55178.12698 17.99 0.032
2009jf B 55181.10396 18.059 0.036
2009jf B 55182.07276 17.997 0.033
2009jf B 55185.07267 18.11 0.038
2009jf B 55208.08846 18.289 0.041
2009jf V 55119.20881 15.102 0.015
2009jf V 55120.11683 15.094 0.015
2009jf V 55122.125 15.087 0.015
2009jf V 55126.10344 15.133 0.015
2009jf V 55127.14212 15.165 0.015
2009jf V 55128.12898 15.202 0.015
2009jf V 55129.09709 15.234 0.015
2009jf V 55136.1002 15.675 0.017
2009jf V 55137.23471 15.751 0.017
2009jf V 55138.27165 15.795 0.019
2009jf V 55141.07819 15.959 0.015
2009jf V 55143.07557 16.065 0.016
2009jf V 55145.08505 16.17 0.016
2009jf V 55150.18538 16.381 0.018
2009jf V 55151.15507 16.459 0.033
2009jf V 55153.13296 16.47 0.017
2009jf V 55154.15999 16.482 0.017
2009jf V 55156.098 16.529 0.016
2009jf V 55157.14668 16.547 0.016
2009jf V 55158.10712 16.578 0.017
2009jf V 55159.08847 16.579 0.016
2009jf V 55160.22525 16.61 0.018
2009jf V 55168.07233 16.721 0.018
2009jf V 55176.07913 16.822 0.018
2009jf V 55178.12326 16.845 0.019
2009jf V 55181.10025 16.893 0.017
2009jf V 55182.06906 16.921 0.018
