time U-V UV_err U-B UB_err r-J rJ_err r-H rH_err r-K rK_err V-J VJ_err V-H VH_err V-K VK_err U-r Ur_err u-V uV_err
-15.275772450644581 "" "" "" "" 0.9755226311038503 0.09558864274488485 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-15.275772450644581 "" "" "" "" "" "" 0.9932729268930922 0.11558864274488485 "" "" "" "" "" "" "" "" "" "" "" ""
-15.275772450644581 "" "" "" "" "" "" "" "" 0.5474201464671521 0.18558864274488485 "" "" "" "" "" "" "" "" "" ""
-14.215772450639633 "" "" "" "" 0.61382051195362 0.10358114960016679 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-14.215772450639633 "" "" "" "" "" "" 0.6515708077428615 0.12358114960016678 "" "" "" "" "" "" "" "" "" "" "" ""
-14.215772450639633 "" "" "" "" "" "" "" "" 0.5957180273169219 0.1335811496001668 "" "" "" "" "" "" "" "" "" ""
-13.205772450644872 "" "" "" "" "" "" "" "" 0.37665077932806146 0.17922257194007649 "" "" "" "" "" "" "" "" "" ""
-13.205772450644872 "" "" "" "" "" "" 0.41250355975400144 0.11922257194007649 "" "" "" "" "" "" "" "" "" "" "" ""
-13.205772450644872 "" "" "" "" 0.39475326396475957 0.0992225719400765 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-12.205772450644872 "" "" "" "" "" "" 0.32696647758497566 0.11744795162343116 "" "" "" "" "" "" "" "" "" "" "" ""
-12.205772450644872 "" "" "" "" "" "" "" "" 0.3311136971590366 0.14744795162343116 "" "" "" "" "" "" "" "" "" ""
-12.205772450644872 "" "" "" "" 0.21921618179573393 0.06744795162343117 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-11.165772450643999 "" "" "" "" 0.13908251163092494 0.12668898789389652 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-11.165772450643999 "" "" "" "" "" "" 0.27683280742016425 0.12668898789389652 "" "" "" "" "" "" "" "" "" "" "" ""
-11.165772450643999 "" "" "" "" "" "" "" "" 0.37098002699422505 0.12668898789389652 "" "" "" "" "" "" "" "" "" ""
-10.205772450644872 "" "" "" "" "" "" "" "" 0.4380812478879329 0.09656070563175562 "" "" "" "" "" "" "" "" "" ""
-10.205772450644872 "" "" "" "" 0.17618373252463165 0.12656070563175562 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-10.205772450644872 "" "" "" "" "" "" 0.2639340283138738 0.12656070563175562 "" "" "" "" "" "" "" "" "" "" "" ""
-10.125947418506257 "" "" -0.28204979880690323 0.17849810517713446 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-10.122307418503624 "" "" -0.518556173481181 0.12651476844667553 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-9.22577245064167 "" "" "" "" "" "" "" "" 0.3988327646577884 0.04676807487024569 "" "" "" "" "" "" "" "" "" ""
-9.22577245064167 "" "" "" "" 0.2969352492944873 0.1267680748702457 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-9.22577245064167 "" "" "" "" "" "" 0.284685545083728 0.09676807487024569 "" "" "" "" "" "" "" "" "" "" "" ""
-9.196213171591808 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.3057774489580263 0.17609368425936786
-8.285772450639342 "" "" "" "" "" "" 0.3305140061225851 0.026910568416880665 "" "" "" "" "" "" "" "" "" "" "" ""
-8.285772450639342 "" "" "" "" "" "" "" "" 0.3646612256966454 0.07691056841688067 "" "" "" "" "" "" "" "" "" ""
-8.285772450639342 "" "" "" "" 0.28276371033334385 0.06691056841688067 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-7.225772450641671 "" "" "" "" "" "" 0.3285786246984097 0.15680540403669874 "" "" "" "" "" "" "" "" "" "" "" ""
-7.225772450641671 "" "" "" "" 0.2808283289091685 0.10680540403669873 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-7.225772450641671 "" "" "" "" "" "" "" "" 0.47272584427246944 0.08680540403669873 "" "" "" "" "" "" "" "" "" ""
-6.909857418504544 "" "" -0.19062147818145297 0.11708114185251453 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-6.906227418505296 "" "" -0.1071110679408786 0.11708372652470281 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-6.352881655213423 "" "" "" "" "" "" "" "" "" "" 1.0786056683847063 0.04995581129155865 "" "" "" "" "" "" "" ""
-6.352881655213423 "" "" "" "" "" "" "" "" "" "" "" "" 1.050151275497318 0.055955811291558646 "" "" "" "" "" ""
-6.352881655213423 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.0968211596689332 0.08195581129155864 "" "" "" ""
-6.290973171591759 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.204840002038666 0.13028234755664236
-6.195772450642835 "" "" "" "" 0.2714243769074601 0.07649894048732904 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-6.195772450642835 "" "" "" "" "" "" 0.29917467269669995 0.07649894048732904 "" "" "" "" "" "" "" "" "" "" "" ""
-6.195772450642835 "" "" "" "" "" "" "" "" 0.44332189227076146 0.09649894048732904 "" "" "" "" "" "" "" "" "" ""
-5.36806317159062 "" "" "" "" "" "" "" "" "" "" 0.7201070890175025 0.19637567188839639 "" "" "" "" "" "" "" ""
-5.36806317159062 "" "" "" "" "" "" "" "" "" "" "" "" 0.803312377033473 0.0543756718883964 "" "" "" "" "" ""
-5.351263171593018 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.3851401558081138 0.14137622697789076
-5.235772450643708 "" "" "" "" "" "" 0.33275530509894136 0.18610376342056142 "" "" "" "" "" "" "" "" "" "" "" ""
-5.235772450643708 "" "" "" "" 0.27500500930970034 0.046103763420561425 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-5.235772450643708 "" "" "" "" "" "" "" "" 0.396902524673001 0.15610376342056143 "" "" "" "" "" "" "" "" "" ""
-5.202597418508958 "" "" "" "" "" "" 0.4358515642909807 0.1116642678038158 "" "" "" "" "" "" "" "" "" "" "" ""
-5.202597418508958 "" "" "" "" 0.5465176820646303 0.0646642678038158 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-5.202597418508958 "" "" "" "" "" "" "" "" 0.18939803157111101 0.2686642678038158 "" "" "" "" "" "" "" "" "" ""
-5.154008855162829 "" "" "" "" "" "" -0.38451160656890004 0.0783983208745414 "" "" "" "" "" "" "" "" "" "" "" ""
-5.154008855162829 "" "" "" "" "" "" "" "" -0.3530182596798055 0.10039832087454141 "" "" "" "" "" "" "" "" "" ""
-5.154008855162829 "" "" "" "" -0.2721871278675105 0.0583983208745414 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.997337418506504 "" "" -0.020563478129596635 0.15799821612706433 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
-4.379063171596499 "" "" "" "" "" "" "" "" "" "" "" "" 0.5501216470160611 0.08357800559293221 "" "" "" "" "" ""
