time U-r Ur_err r-J rJ_err r-H rH_err r-K rK_err
-5.16894012276 0.662301901733 0.0536588599693 1.0 1.0 1.0 1.0 1.0 1.0
-5.16520012276 0.610845717514 0.0566588606905 1.0 1.0 1.0 1.0 1.0 1.0
-3.24834012276 0.553175653988 0.0465061803937 1.0 1.0 1.0 1.0 1.0 1.0
-3.24461012275 0.605572231111 0.046506181093 1.0 1.0 1.0 1.0 1.0 1.0
-3.23130012276 0.592987362881 0.0465061835886 1.0 1.0 1.0 1.0 1.0 1.0
-3.22756012276 0.604385003213 0.0465061842898 1.0 1.0 1.0 1.0 1.0 1.0
-2.27857012275 0.612203364446 0.0450340725534 1.0 1.0 1.0 1.0 1.0 1.0
-2.27484012276 0.596509085946 0.0450340729032 1.0 1.0 1.0 1.0 1.0 1.0
-2.26102012276 0.601641812791 0.0470340741995 1.0 1.0 1.0 1.0 1.0 1.0
-2.25730012276 0.597946714663 0.0470340745484 1.0 1.0 1.0 1.0 1.0 1.0
-1.26916012276 0.583827408037 0.0455610618177 1.0 1.0 1.0 1.0 1.0 1.0
-1.26542012276 0.560042997762 0.0455610620213 1.0 1.0 1.0 1.0 1.0 1.0
-1.25201012276 0.579816007979 0.0455610627516 1.0 1.0 1.0 1.0 1.0 1.0
-1.24827012276 0.571031597704 0.0475610629553 1.0 1.0 1.0 1.0 1.0 1.0
-0.270540122758 0.759688824067 0.0539643355992 1.0 1.0 1.0 1.0 1.0 1.0
-0.266810122754 0.610834426586 0.0469643358639 1.0 1.0 1.0 1.0 1.0 1.0
-0.25331012276 0.679361406212 0.0499643368222 1.0 1.0 1.0 1.0 1.0 1.0
-0.249590122759 0.713506618376 0.0509643370862 1.0 1.0 1.0 1.0 1.0 1.0
0.714309877243 0.564791595054 0.0462478033734 1.0 1.0 1.0 1.0 1.0 1.0
0.739009877245 0.581432758992 0.0472478065267 1.0 1.0 1.0 1.0 1.0 1.0
0.742739877242 0.578529582534 0.0482478070029 1.0 1.0 1.0 1.0 1.0 1.0
1.72893987724 0.519787301275 0.0464683124413 1.0 1.0 1.0 1.0 1.0 1.0
1.73266987724 0.516846194394 0.0474683131314 1.0 1.0 1.0 1.0 1.0 1.0
1.74641987724 0.561063293693 0.0484683156753 1.0 1.0 1.0 1.0 1.0 1.0
1.75015987724 0.563122344702 0.0464683163673 1.0 1.0 1.0 1.0 1.0 1.0
