time r-J rJ_err r-H rH_err r-K rK_err
-2.61270704269 0.109320844203 0.190662221095 1.0 1.0 1.0 1.0
-1.58170704269 -0.101958034235 0.106421333517 1.0 1.0 1.0 1.0
-0.538707042688 -0.133027150179 0.0800536708683 1.0 1.0 1.0 1.0
0.400292957311 -0.0981461911075 0.195675664561 1.0 1.0 1.0 1.0
2.41629295731 0.304058498148 0.108767545062 1.0 1.0 1.0 1.0
4.39729295731 0.269703952352 0.0942196408382 1.0 1.0 1.0 1.0
8.39329295731 0.509864818963 0.108817595294 1.0 1.0 1.0 1.0
10.3622929573 0.633843176338 0.205711363532 1.0 1.0 1.0 1.0
11.3462929573 0.908390144074 0.112513672471 1.0 1.0 1.0 1.0
12.4232929573 0.980469614138 0.280233747101 1.0 1.0 1.0 1.0
13.3702929573 0.770004893092 0.204899668923 1.0 1.0 1.0 1.0
14.3652929573 0.843003855183 0.12150949245 1.0 1.0 1.0 1.0
16.3952929573 0.860411184657 0.203562915729 1.0 1.0 1.0 1.0
19.4542929573 0.596778850422 0.173488722771 1.0 1.0 1.0 1.0
20.3162929573 1.13698700744 0.084433284406 1.0 1.0 1.0 1.0
23.3042929573 0.491163676343 0.203047742842 1.0 1.0 1.0 1.0
27.3412929573 0.983284644864 0.360655719597 1.0 1.0 1.0 1.0
29.3642929573 0.919341487382 0.203640871219 1.0 1.0 1.0 1.0
32.3712929573 0.697104109026 0.202993719795 1.0 1.0 1.0 1.0
-2.61270704269 1.0 1.0 -0.00678649338258 0.375662221095 1.0 1.0
-1.58170704269 1.0 1.0 0.0759346281792 0.225421333517 1.0 1.0
0.400292957311 1.0 1.0 -0.258253528693 0.273675664561 1.0 1.0
4.39729295731 1.0 1.0 0.229596614766 0.340219640838 1.0 1.0
8.39329295731 1.0 1.0 0.194757481377 0.258817595294 1.0 1.0
10.3622929573 1.0 1.0 0.540735838752 0.261711363532 1.0 1.0
12.4232929573 1.0 1.0 0.363362276552 0.135233747101 1.0 1.0
13.3702929573 1.0 1.0 0.798897555506 0.398899668923 1.0 1.0
14.3652929573 1.0 1.0 0.710896517597 0.40250949245 1.0 1.0
16.3952929573 1.0 1.0 0.916303847071 0.202562915729 1.0 1.0
19.4542929573 1.0 1.0 0.911671512836 0.164488722771 1.0 1.0
20.3162929573 1.0 1.0 1.11187966985 0.312433284406 1.0 1.0
23.3042929573 1.0 1.0 0.998056338757 0.282047742842 1.0 1.0
27.3412929573 1.0 1.0 1.09417730728 0.331655719597 1.0 1.0
29.3642929573 1.0 1.0 0.853234149796 0.274640871219 1.0 1.0
31.3632929573 1.0 1.0 1.05449269532 0.278293524674 1.0 1.0
32.3712929573 1.0 1.0 0.98599677144 0.251993719795 1.0 1.0
-2.61270704269 1.0 1.0 1.0 1.0 -0.894677681997 0.211662221095
-1.58170704269 1.0 1.0 1.0 1.0 -0.865956560435 0.232421333517
-0.538707042688 1.0 1.0 1.0 1.0 -0.676025676379 0.270053670868
0.400292957311 1.0 1.0 1.0 1.0 -0.954144717307 0.362675664561
2.41629295731 1.0 1.0 1.0 1.0 -0.688940028052 0.245767545062
4.39729295731 1.0 1.0 1.0 1.0 -0.839294573848 0.221219640838
8.39329295731 1.0 1.0 1.0 1.0 -0.513133707237 0.226817595294
10.3622929573 1.0 1.0 1.0 1.0 -0.276155349862 0.211711363532
11.3462929573 1.0 1.0 1.0 1.0 -0.156608382126 0.162513672471
13.3702929573 1.0 1.0 1.0 1.0 -0.115993633108 0.279899668923
14.3652929573 1.0 1.0 1.0 1.0 0.186005328983 0.23350949245
16.3952929573 1.0 1.0 1.0 1.0 0.00341265845701 0.168562915729
19.4542929573 1.0 1.0 1.0 1.0 -0.111219675778 0.231488722771
20.3162929573 1.0 1.0 1.0 1.0 0.0789884812384 0.154433284406
23.3042929573 1.0 1.0 1.0 1.0 -0.100834849857 0.223047742842
27.3412929573 1.0 1.0 1.0 1.0 -0.466713881336 0.367655719597
28.3532929573 1.0 1.0 1.0 1.0 -0.184182872317 0.360683482815
29.3642929573 1.0 1.0 1.0 1.0 -0.251657038818 0.344640871219
31.3632929573 1.0 1.0 1.0 1.0 0.245601506703 0.284293524674
