time U-V UV_err r-J rJ_err r-H rH_err r-K rK_err
5.96904599863 0.626822298705 0.0364577392282 1.0 1.0 1.0 1.0 1.0 1.0
8.94164599863 0.569558431885 0.0264577392153 1.0 1.0 1.0 1.0 1.0 1.0
8.94464599864 0.579279810758 0.0364577392153 1.0 1.0 1.0 1.0 1.0 1.0
12.9675459986 0.513918533802 0.0364577392095 1.0 1.0 1.0 1.0 1.0 1.0
12.9705459986 0.503625613924 0.0264577392095 1.0 1.0 1.0 1.0 1.0 1.0
15.9654459986 0.545091967882 0.0364577392235 1.0 1.0 1.0 1.0 1.0 1.0
15.9683459986 0.564843468491 0.0364577392235 1.0 1.0 1.0 1.0 1.0 1.0
22.9609459986 0.701681769375 0.036457739246 1.0 1.0 1.0 1.0 1.0 1.0
5.95674599864 1.0 1.0 2.15627639627 0.0324577392291 1.0 1.0 1.0 1.0
12.9257459986 1.0 1.0 2.31195369861 0.0354577391863 1.0 1.0 1.0 1.0
13.9837459986 1.0 1.0 2.31142419222 0.0324577391837 1.0 1.0 1.0 1.0
15.9357459986 1.0 1.0 2.3604257657 0.0294577391779 1.0 1.0 1.0 1.0
19.9227459986 1.0 1.0 2.37905401628 0.0344577391835 1.0 1.0 1.0 1.0
5.95674599864 1.0 1.0 1.0 1.0 2.74856219835 0.0474577392291 1.0 1.0
12.9257459986 1.0 1.0 1.0 1.0 2.87223950069 0.0594577391863 1.0 1.0
13.9837459986 1.0 1.0 1.0 1.0 2.8757099943 0.0394577391837 1.0 1.0
15.9357459986 1.0 1.0 1.0 1.0 2.84971156778 0.0574577391779 1.0 1.0
19.9227459986 1.0 1.0 1.0 1.0 2.93633981836 0.0374577391835 1.0 1.0
5.95674599864 1.0 1.0 1.0 1.0 1.0 1.0 3.05114707881 0.0364577392291
12.9257459986 1.0 1.0 1.0 1.0 1.0 1.0 3.16082438115 0.0444577391863
13.9837459986 1.0 1.0 1.0 1.0 1.0 1.0 3.16729487476 0.0414577391837
15.9357459986 1.0 1.0 1.0 1.0 1.0 1.0 3.20129644824 0.0404577391779
19.9227459986 1.0 1.0 1.0 1.0 1.0 1.0 3.25192469882 0.0554577391835
