time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err
-10.1259474185 -0.282049798807 0.178498105177 1.0 1.0 1.0 1.0 1.0 1.0
-10.1223074185 -0.518556173481 0.126514768447 1.0 1.0 1.0 1.0 1.0 1.0
-6.9098574185 -0.190621478181 0.117081141853 1.0 1.0 1.0 1.0 1.0 1.0
-6.90622741851 -0.107111067941 0.117083726525 1.0 1.0 1.0 1.0 1.0 1.0
-4.99733741851 -0.0205634781296 0.157998216127 1.0 1.0 1.0 1.0 1.0 1.0
-3.97247741851 -0.0842166719265 0.0926673663106 1.0 1.0 1.0 1.0 1.0 1.0
-2.96200741851 0.00164485497915 0.0981286223239 1.0 1.0 1.0 1.0 1.0 1.0
-2.95837741851 -0.0641577685227 0.0911308920872 1.0 1.0 1.0 1.0 1.0 1.0
-2.0911874185 0.105994552543 0.080673127921 1.0 1.0 1.0 1.0 1.0 1.0
-2.0847574185 0.153344175376 0.093677148466 1.0 1.0 1.0 1.0 1.0 1.0
-0.957137418503 0.0668664897527 0.129592909915 1.0 1.0 1.0 1.0 1.0 1.0
-0.0321974185063 0.0873341191836 0.109229059887 1.0 1.0 1.0 1.0 1.0 1.0
-0.0285774185031 0.024382914585 0.0992315496304 1.0 1.0 1.0 1.0 1.0 1.0
-0.0157374185073 0.0615559899865 0.131240380653 1.0 1.0 1.0 1.0 1.0 1.0
0.828442581493 0.113477787951 0.108888207057 1.0 1.0 1.0 1.0 1.0 1.0
1.01959258149 0.0276320969568 0.100028890766 1.0 1.0 1.0 1.0 1.0 1.0
1.99598258149 0.192769521124 0.103262255961 1.0 1.0 1.0 1.0 1.0 1.0
1.99962258149 0.232673104962 0.100263125951 1.0 1.0 1.0 1.0 1.0 1.0
2.03487258149 0.194236300172 0.103463394623 1.0 1.0 1.0 1.0 1.0 1.0
4.0074625815 0.536232848656 0.168849874441 1.0 1.0 1.0 1.0 1.0 1.0
4.01110258149 -0.0409533068738 0.127849995724 1.0 1.0 1.0 1.0 1.0 1.0
4.9470925815 0.112638836018 0.197127992328 1.0 1.0 1.0 1.0 1.0 1.0
4.95073258149 0.369391176266 0.221128508937 1.0 1.0 1.0 1.0 1.0 1.0
6.96236258149 0.583086439333 0.215310455561 1.0 1.0 1.0 1.0 1.0 1.0
6.96601258149 0.404805440696 0.193311723002 1.0 1.0 1.0 1.0 1.0 1.0
14.0603525815 0.178119610945 0.398316323832 1.0 1.0 1.0 1.0 1.0 1.0
14.0639725815 -0.0723704112362 0.323315373635 1.0 1.0 1.0 1.0 1.0 1.0
15.0575925815 0.0753771474787 0.349084373881 1.0 1.0 1.0 1.0 1.0 1.0
25.0633425815 0.113718430407 0.419098704564 1.0 1.0 1.0 1.0 1.0 1.0
-5.20259741851 1.0 1.0 0.546517682065 0.0646642678038 1.0 1.0 1.0 1.0
-4.17959741851 1.0 1.0 0.505803233608 0.0588292027386 1.0 1.0 1.0 1.0
-3.1785974185 1.0 1.0 0.646214040792 0.0533122060309 1.0 1.0 1.0 1.0
-2.1635974185 1.0 1.0 0.434629538797 0.0714970058663 1.0 1.0 1.0 1.0
0.0394025814967 1.0 1.0 0.423394099921 0.0634735146473 1.0 1.0 1.0 1.0
0.843402581493 1.0 1.0 0.450003373683 0.0523490951065 1.0 1.0 1.0 1.0
2.02840258149 1.0 1.0 0.495382399316 0.0529502884856 1.0 1.0 1.0 1.0
2.92240258149 1.0 1.0 0.519145169248 0.0480270421854 1.0 1.0 1.0 1.0
4.98940258149 1.0 1.0 0.582818803806 0.0476537972026 1.0 1.0 1.0 1.0
5.89640258149 1.0 1.0 0.547465330887 0.0624768251472 1.0 1.0 1.0 1.0
6.9164025815 1.0 1.0 0.691436368818 0.0469376485897 1.0 1.0 1.0 1.0
7.91540258149 1.0 1.0 0.730234448629 0.0553989592891 1.0 1.0 1.0 1.0
9.04840258149 1.0 1.0 0.643640295318 0.061763528245 1.0 1.0 1.0 1.0
10.0274025815 1.0 1.0 0.845394443478 0.0509569436343 1.0 1.0 1.0 1.0
13.8634025815 1.0 1.0 1.05165402347 0.199024186774 1.0 1.0 1.0 1.0
14.8314025815 1.0 1.0 1.11948896194 0.0607433961015 1.0 1.0 1.0 1.0
17.8534025815 1.0 1.0 1.25651182997 0.0575821503153 1.0 1.0 1.0 1.0
18.9874025815 1.0 1.0 1.28012050912 0.0633691308303 1.0 1.0 1.0 1.0
-5.20259741851 1.0 1.0 1.0 1.0 0.435851564291 0.111664267804 1.0 1.0
-4.17959741851 1.0 1.0 1.0 1.0 0.417137115835 0.104829202739 1.0 1.0
-3.1785974185 1.0 1.0 1.0 1.0 0.602547923018 0.0883122060309 1.0 1.0
-2.1635974185 1.0 1.0 1.0 1.0 0.437963421023 0.0734970058663 1.0 1.0
0.0394025814967 1.0 1.0 1.0 1.0 0.458727982148 0.0934735146473 1.0 1.0
0.843402581493 1.0 1.0 1.0 1.0 0.630337255909 0.0673490951065 1.0 1.0
2.02840258149 1.0 1.0 1.0 1.0 0.528716281543 0.0669502884856 1.0 1.0
2.92240258149 1.0 1.0 1.0 1.0 0.475479051475 0.0700270421854 1.0 1.0
4.98940258149 1.0 1.0 1.0 1.0 0.494152686032 0.0666537972026 1.0 1.0
5.89640258149 1.0 1.0 1.0 1.0 0.595799213113 0.0884768251472 1.0 1.0
6.9164025815 1.0 1.0 1.0 1.0 0.656770251044 0.0699376485897 1.0 1.0
7.91540258149 1.0 1.0 1.0 1.0 0.490568330856 0.111398959289 1.0 1.0
9.04840258149 1.0 1.0 1.0 1.0 0.605974177544 0.104763528245 1.0 1.0
10.0274025815 1.0 1.0 1.0 1.0 0.878728325704 0.0849569436343 1.0 1.0
13.8634025815 1.0 1.0 1.0 1.0 0.897987905701 0.0970241867741 1.0 1.0
14.8314025815 1.0 1.0 1.0 1.0 1.06382284417 0.0857433961015 1.0 1.0
17.8534025815 1.0 1.0 1.0 1.0 1.3268457122 0.0875821503153 1.0 1.0
18.9874025815 1.0 1.0 1.0 1.0 1.32345439135 0.0783691308303 1.0 1.0
-5.20259741851 1.0 1.0 1.0 1.0 1.0 1.0 0.189398031571 0.268664267804
-4.17959741851 1.0 1.0 1.0 1.0 1.0 1.0 0.258683583115 0.122829202739
-2.1635974185 1.0 1.0 1.0 1.0 1.0 1.0 0.418509888303 0.108497005866
0.0394025814967 1.0 1.0 1.0 1.0 1.0 1.0 0.416274449428 0.115473514647
0.916402581497 1.0 1.0 1.0 1.0 1.0 1.0 0.621578346304 0.102337798307
2.04840258149 1.0 1.0 1.0 1.0 1.0 1.0 0.63810084211 0.195952005571
2.92240258149 1.0 1.0 1.0 1.0 1.0 1.0 0.418025518755 0.0910270421854
4.98940258149 1.0 1.0 1.0 1.0 1.0 1.0 0.695699153312 0.0836537972026
5.89640258149 1.0 1.0 1.0 1.0 1.0 1.0 0.545345680393 0.0854768251472
6.9164025815 1.0 1.0 1.0 1.0 1.0 1.0 0.843316718324 0.10993764859
7.91540258149 1.0 1.0 1.0 1.0 1.0 1.0 0.949114798136 0.109398959289
9.04840258149 1.0 1.0 1.0 1.0 1.0 1.0 0.775520644825 0.197763528245
10.0274025815 1.0 1.0 1.0 1.0 1.0 1.0 0.682274792984 0.197956943634
13.8634025815 1.0 1.0 1.0 1.0 1.0 1.0 1.30353437298 0.0940241867741
14.8314025815 1.0 1.0 1.0 1.0 1.0 1.0 1.34336931145 0.0857433961015
17.8534025815 1.0 1.0 1.0 1.0 1.0 1.0 1.28339217948 0.107582150315
18.9874025815 1.0 1.0 1.0 1.0 1.0 1.0 1.56200085863 0.0983691308303
