time r-J rJ_err r-H rH_err r-K rK_err
2.62221618224 0.456384400324 0.0875010764835 1.0 1.0 1.0 1.0
3.66921618224 0.471164502012 0.0538629474433 1.0 1.0 1.0 1.0
5.63421618225 0.658321403683 0.0596983923576 1.0 1.0 1.0 1.0
6.64321618224 0.635964733147 0.103103330927 1.0 1.0 1.0 1.0
7.64621618225 0.705173138784 0.0502222667778 1.0 1.0 1.0 1.0
10.5962161822 0.941385191061 0.0503556175192 1.0 1.0 1.0 1.0
13.6082161822 0.854490890087 0.048157761368 1.0 1.0 1.0 1.0
14.5922161822 0.931386108447 0.0580006726749 1.0 1.0 1.0 1.0
15.5952161822 0.960789788342 0.0557925106938 1.0 1.0 1.0 1.0
16.6132161822 0.845992582923 0.200529946964 1.0 1.0 1.0 1.0
17.6262161822 1.01558145054 0.0682234853636 1.0 1.0 1.0 1.0
19.5952161822 0.98469736629 0.0617195058842 1.0 1.0 1.0 1.0
2.62221618224 1.0 1.0 0.398847963751 0.140501076483 1.0 1.0
3.66921618224 1.0 1.0 0.433628065439 0.148862947443 1.0 1.0
5.63421618225 1.0 1.0 0.632784967109 0.116698392358 1.0 1.0
6.64321618224 1.0 1.0 0.625428296574 0.163103330927 1.0 1.0
7.64621618225 1.0 1.0 0.629636702211 0.201222266778 1.0 1.0
10.5962161822 1.0 1.0 0.803848754488 0.201355617519 1.0 1.0
13.6082161822 1.0 1.0 0.922954453513 0.201157761368 1.0 1.0
14.5922161822 1.0 1.0 0.928849671874 0.153000672675 1.0 1.0
15.5952161822 1.0 1.0 0.942253351768 0.135792510694 1.0 1.0
16.6132161822 1.0 1.0 0.98145614635 0.173529946964 1.0 1.0
19.5952161822 1.0 1.0 0.943160929717 0.143719505884 1.0 1.0
3.66921618224 1.0 1.0 1.0 1.0 0.781324769055 0.198862947443
6.64321618224 1.0 1.0 1.0 1.0 1.43412500019 0.115103330927
7.64621618225 1.0 1.0 1.0 1.0 1.35133340583 0.108222266778
14.5922161822 1.0 1.0 1.0 1.0 0.69854637549 0.240000672675
