time u-V uV_err V-J VJ_err V-H VH_err V-K VK_err
-9.19621317159 1.30577744896 0.176093684259 1.0 1.0 1.0 1.0 1.0 1.0
-6.29097317159 1.20484000204 0.130282347557 1.0 1.0 1.0 1.0 1.0 1.0
-5.35126317159 1.38514015581 0.141376226978 1.0 1.0 1.0 1.0 1.0 1.0
-4.3392831716 1.60334513327 0.153579756304 1.0 1.0 1.0 1.0 1.0 1.0
-3.34391317159 1.45129585246 0.120873735546 1.0 1.0 1.0 1.0 1.0 1.0
-2.34400317159 1.93237565457 0.170158005655 1.0 1.0 1.0 1.0 1.0 1.0
-1.25198317159 1.61940882698 0.115414026111 1.0 1.0 1.0 1.0 1.0 1.0
-0.267073171592 1.72892072137 0.151642542464 1.0 1.0 1.0 1.0 1.0 1.0
0.585186828408 1.71186963917 0.171842107787 1.0 1.0 1.0 1.0 1.0 1.0
1.62272682841 1.35725388348 0.13299653187 1.0 1.0 1.0 1.0 1.0 1.0
8.86776682841 1.92473269165 0.177927090403 1.0 1.0 1.0 1.0 1.0 1.0
10.8548868284 1.77643909302 0.175859690634 1.0 1.0 1.0 1.0 1.0 1.0
14.7795568284 3.08790682392 0.350814688267 1.0 1.0 1.0 1.0 1.0 1.0
-5.36806317159 1.0 1.0 0.720107089018 0.196375671888 1.0 1.0 1.0 1.0
-4.3790631716 1.0 1.0 0.583916359 0.0355780055929 1.0 1.0 1.0 1.0
-3.36106317159 1.0 1.0 0.618372741498 0.196873150211 1.0 1.0 1.0 1.0
-2.3770631716 1.0 1.0 0.547441230596 0.0371571803499 1.0 1.0 1.0 1.0
-1.3830631716 1.0 1.0 0.554195233887 0.197411219562 1.0 1.0 1.0 1.0
-0.391063171592 1.0 1.0 0.463874815776 0.197639964231 1.0 1.0 1.0 1.0
8.6799368284 1.0 1.0 0.888416990479 0.0359307793767 1.0 1.0 1.0 1.0
14.6979368284 1.0 1.0 1.19521182399 0.198814546101 1.0 1.0 1.0 1.0
15.5979368284 1.0 1.0 1.15721790086 0.0348806003852 1.0 1.0 1.0 1.0
17.5689368284 1.0 1.0 1.34447487482 0.0329207563607 1.0 1.0 1.0 1.0
18.7629368284 1.0 1.0 1.29461549301 0.198906337155 1.0 1.0 1.0 1.0
19.5539368284 1.0 1.0 1.29108819725 0.198899125249 1.0 1.0 1.0 1.0
21.6239368284 1.0 1.0 1.49607202479 0.03893670293 1.0 1.0 1.0 1.0
22.5589368284 1.0 1.0 1.48065882006 0.198930049928 1.0 1.0 1.0 1.0
-5.36806317159 1.0 1.0 1.0 1.0 0.803312377033 0.0543756718884 1.0 1.0
-4.3790631716 1.0 1.0 1.0 1.0 0.550121647016 0.0835780055929 1.0 1.0
-3.36106317159 1.0 1.0 1.0 1.0 0.744578029514 0.056873150211 1.0 1.0
-1.3830631716 1.0 1.0 1.0 1.0 0.379400521903 0.0674112195619 1.0 1.0
-0.391063171592 1.0 1.0 1.0 1.0 0.349080103792 0.0786399642306 1.0 1.0
8.6799368284 1.0 1.0 1.0 1.0 0.909622278495 0.198930779377 1.0 1.0
14.6979368284 1.0 1.0 1.0 1.0 1.199417112 0.0558145461008 1.0 1.0
15.5979368284 1.0 1.0 1.0 1.0 1.45142318888 0.273880600385 1.0 1.0
17.5689368284 1.0 1.0 1.0 1.0 1.59668016283 0.273920756361 1.0 1.0
18.7629368284 1.0 1.0 1.0 1.0 1.52582078103 0.0449063371553 1.0 1.0
19.5539368284 1.0 1.0 1.0 1.0 1.52029348526 0.198899125249 1.0 1.0
21.6239368284 1.0 1.0 1.0 1.0 1.70627731281 0.19893670293 1.0 1.0
22.5589368284 1.0 1.0 1.0 1.0 1.53186410807 0.0479300499276 1.0 1.0
-4.3790631716 1.0 1.0 1.0 1.0 1.0 1.0 1.0587136088 0.271578005593
-3.36106317159 1.0 1.0 1.0 1.0 1.0 1.0 1.2931699913 0.196873150211
-1.3830631716 1.0 1.0 1.0 1.0 1.0 1.0 0.892992483691 0.197411219562
-0.391063171592 1.0 1.0 1.0 1.0 1.0 1.0 1.03267206558 0.197639964231
8.6799368284 1.0 1.0 1.0 1.0 1.0 1.0 1.52521424028 0.198930779377
14.6979368284 1.0 1.0 1.0 1.0 1.0 1.0 1.83900907379 0.198814546101
17.5689368284 1.0 1.0 1.0 1.0 1.0 1.0 1.82827212462 0.273920756361
19.5539368284 1.0 1.0 1.0 1.0 1.0 1.0 1.99888544705 0.198899125249
21.6239368284 1.0 1.0 1.0 1.0 1.0 1.0 2.07686927459 0.19893670293
22.5589368284 1.0 1.0 1.0 1.0 1.0 1.0 1.99845606986 0.198930049928
