time u-B uB_err r-J rJ_err r-H rH_err r-K rK_err
-3.35665705585 1.13964092727 0.0502087848467 1.0 1.0 1.0 1.0 1.0 1.0
-2.44863705586 1.25173104891 0.0506509761976 1.0 1.0 1.0 1.0 1.0 1.0
-0.440457055854 1.3508369178 0.0494696986746 1.0 1.0 1.0 1.0 1.0 1.0
2.55873294415 1.57163370718 0.0688462576931 1.0 1.0 1.0 1.0 1.0 1.0
3.53798294414 1.44269032074 0.0621232914045 1.0 1.0 1.0 1.0 1.0 1.0
4.57665294415 1.59662353393 0.0691996503786 1.0 1.0 1.0 1.0 1.0 1.0
30.5675029441 1.61917613549 0.171303056894 1.0 1.0 1.0 1.0 1.0 1.0
-9.41189705586 1.0 1.0 1.00329374855 0.0550537460505 1.0 1.0 1.0 1.0
-3.38389705586 1.0 1.0 0.718095242301 0.0356781858165 1.0 1.0 1.0 1.0
-2.41089705586 1.0 1.0 0.656850724582 0.0339212535003 1.0 1.0 1.0 1.0
18.5551029441 1.0 1.0 1.02132535605 0.0474117310078 1.0 1.0 1.0 1.0
24.5431029441 1.0 1.0 1.12736999131 0.041493445239 1.0 1.0 1.0 1.0
28.5331029441 1.0 1.0 1.20949059243 0.035253590202 1.0 1.0 1.0 1.0
29.5371029441 1.0 1.0 1.20368082845 0.0331685911541 1.0 1.0 1.0 1.0
30.5681029441 1.0 1.0 1.1942949436 0.0380848025844 1.0 1.0 1.0 1.0
31.5581029441 1.0 1.0 1.18678885513 0.0380213172695 1.0 1.0 1.0 1.0
32.4751029441 1.0 1.0 1.1655645031 0.0330129163914 1.0 1.0 1.0 1.0
33.4861029441 1.0 1.0 1.17449518061 0.0370559855741 1.0 1.0 1.0 1.0
35.5321029441 1.0 1.0 1.1154587394 0.0321987057782 1.0 1.0 1.0 1.0
36.5601029441 1.0 1.0 1.13173339262 0.0482309728773 1.0 1.0 1.0 1.0
37.5581029441 1.0 1.0 1.11308014083 0.0412185493374 1.0 1.0 1.0 1.0
38.5321029441 1.0 1.0 1.10570250708 0.0401724778773 1.0 1.0 1.0 1.0
39.5451029441 1.0 1.0 1.09121096579 0.0481110111215 1.0 1.0 1.0 1.0
44.5121029441 1.0 1.0 1.04589618234 0.0430345842329 1.0 1.0 1.0 1.0
45.5441029441 1.0 1.0 1.00739161509 0.0370240493013 1.0 1.0 1.0 1.0
-9.41189705586 1.0 1.0 1.0 1.0 0.967417536336 0.0610537460505 1.0 1.0
-3.38389705586 1.0 1.0 1.0 1.0 0.754219030089 0.0316781858165 1.0 1.0
-2.41089705586 1.0 1.0 1.0 1.0 0.69497451237 0.0339212535003 1.0 1.0
18.5551029441 1.0 1.0 1.0 1.0 1.16144914384 0.0344117310078 1.0 1.0
24.5431029441 1.0 1.0 1.0 1.0 1.2914937791 0.191493445239 1.0 1.0
28.5331029441 1.0 1.0 1.0 1.0 1.32861438022 0.057253590202 1.0 1.0
29.5371029441 1.0 1.0 1.0 1.0 1.30580461624 0.0441685911541 1.0 1.0
30.5681029441 1.0 1.0 1.0 1.0 1.29841873139 0.0410848025844 1.0 1.0
31.5581029441 1.0 1.0 1.0 1.0 1.29191264292 0.0490213172695 1.0 1.0
32.4751029441 1.0 1.0 1.0 1.0 1.26568829089 0.0370129163914 1.0 1.0
33.4861029441 1.0 1.0 1.0 1.0 1.2886189684 0.0330559855741 1.0 1.0
35.5321029441 1.0 1.0 1.0 1.0 1.27158252719 0.0391987057782 1.0 1.0
36.5601029441 1.0 1.0 1.0 1.0 1.31785718041 0.0532309728773 1.0 1.0
37.5581029441 1.0 1.0 1.0 1.0 1.29020392862 0.0542185493374 1.0 1.0
38.5321029441 1.0 1.0 1.0 1.0 1.29382629487 0.0391724778773 1.0 1.0
39.5451029441 1.0 1.0 1.0 1.0 1.24333475357 0.0611110111215 1.0 1.0
44.5121029441 1.0 1.0 1.0 1.0 1.20201997013 0.0840345842329 1.0 1.0
45.5441029441 1.0 1.0 1.0 1.0 1.20451540288 0.0370240493013 1.0 1.0
-9.41189705586 1.0 1.0 1.0 1.0 1.0 1.0 0.946337309044 0.0870537460505
-3.38389705586 1.0 1.0 1.0 1.0 1.0 1.0 0.798138802797 0.0546781858165
-2.41089705586 1.0 1.0 1.0 1.0 1.0 1.0 0.774894285078 0.0589212535003
28.5331029441 1.0 1.0 1.0 1.0 1.0 1.0 1.37653415293 0.038253590202
29.5371029441 1.0 1.0 1.0 1.0 1.0 1.0 1.27072438894 0.0431685911541
30.5681029441 1.0 1.0 1.0 1.0 1.0 1.0 1.2443385041 0.0460848025844
31.5581029441 1.0 1.0 1.0 1.0 1.0 1.0 1.11783241563 0.0530213172695
32.4751029441 1.0 1.0 1.0 1.0 1.0 1.0 1.1266080636 0.0460129163914
33.4861029441 1.0 1.0 1.0 1.0 1.0 1.0 1.12453874111 0.0560559855741
35.5321029441 1.0 1.0 1.0 1.0 1.0 1.0 1.1595022999 0.0601987057782
36.5601029441 1.0 1.0 1.0 1.0 1.0 1.0 1.13877695311 0.0432309728773
37.5581029441 1.0 1.0 1.0 1.0 1.0 1.0 1.12412370133 0.0552185493374
39.5451029441 1.0 1.0 1.0 1.0 1.0 1.0 1.22125452628 0.0881110111215
44.5121029441 1.0 1.0 1.0 1.0 1.0 1.0 1.08293974284 0.0460345842329
45.5441029441 1.0 1.0 1.0 1.0 1.0 1.0 1.00943517558 0.0540240493013
