time U-V UV_err r-J rJ_err r-H rH_err r-K rK_err U-B UB_err U-r Ur_err
-4.373621809485485 "" "" 0.8094244923054135 0.03890727503244361 "" "" "" "" "" "" "" ""
-4.373621809485485 "" "" "" "" 0.6115409095421293 0.1679072750324436 "" "" "" "" "" ""
-4.373621809485485 "" "" "" "" "" "" 1.273020077947149 0.1419072750324436 "" "" "" ""
-4.366291809492395 "" "" "" "" "" "" "" "" -0.301846242801205 0.11022317841534306 "" ""
-3.5605174013762735 "" "" "" "" "" "" -0.5581371989183582 0.37012411251431615 "" "" "" ""
-3.5605174013762735 "" "" "" "" 0.6034845871317555 0.4011241125143161 "" "" "" "" "" ""
-3.5605174013762735 "" "" -0.6459519032431232 0.2031241125143161 "" "" "" "" "" "" "" ""
-2.6903370608197292 -0.04599526132347893 0.08328281583441949 "" "" "" "" "" "" "" "" "" ""
-2.4106118094859994 "" "" "" "" "" "" "" "" -0.059094389796684466 0.0793276727545565 "" ""
-2.4006218094873475 "" "" "" "" 0.8078589663279105 0.09984653569695172 "" "" "" "" "" ""
-2.4006218094873475 "" "" "" "" "" "" 1.4553381347329308 0.11584653569695172 "" "" "" ""
-2.4006218094873475 "" "" 0.8837425490911948 0.047846535696951714 "" "" "" "" "" "" "" ""
-2.3971018094889587 "" "" "" "" "" "" "" "" -0.07025961026092697 0.08932762303591307 "" ""
-1.413621809486358 "" "" 0.9131616270032332 0.1971025451829 "" "" "" "" "" "" "" ""
-1.413621809486358 "" "" "" "" 1.0292780442399492 0.0831025451829 "" "" "" "" "" ""
-0.41062180948938476 "" "" 0.6876541303449984 0.045431634587166016 "" "" "" "" "" "" "" ""
-0.41062180948938476 "" "" "" "" 1.0707705475817137 0.09143163458716602 "" "" "" "" "" ""
-0.41062180948938476 "" "" "" "" "" "" 1.5332497159867353 0.167431634587166 "" "" "" ""
0.498579036371666 "" "" "" "" "" "" 1.393197834787165 0.11801561986407541 "" "" "" ""
0.498579036371666 "" "" 1.0257376282009385 0.1060156198640754 "" "" "" "" "" "" "" ""
0.498579036371666 "" "" "" "" 1.331507782272923 0.0910156198640754 "" "" "" "" "" ""
0.586378190513642 "" "" "" "" 1.1023290537559705 0.06977742409377304 "" "" "" "" "" ""
0.586378190513642 "" "" "" "" "" "" 1.4748082221609886 0.10277742409377304 "" "" "" ""
0.586378190513642 "" "" 0.8642126365192546 0.036777424093773034 "" "" "" "" "" "" "" ""
0.6615590363726369 "" "" "" "" "" "" "" "" 0.7137742692156385 0.18587082505792027 "" ""
1.1518213299059425 "" "" "" "" 0.2751373238523353 0.21968831375702008 "" "" "" "" "" ""
1.1518213299059425 "" "" "" "" "" "" -0.07870198331574335 0.10468831375702006 "" "" "" ""
1.1518213299059425 "" "" 0.26686923605119145 0.07768831375702007 "" "" "" "" "" "" "" ""
1.487579036373063 "" "" 1.0184877314565088 0.0642024057353185 "" "" "" "" "" "" "" ""
1.487579036373063 "" "" "" "" 1.221257885528492 0.08920240573531851 "" "" "" "" "" ""
1.487579036373063 "" "" "" "" "" "" 1.557947938042736 0.1242024057353185 "" "" "" ""
2.6981990363710793 "" "" "" "" "" "" "" "" 0.8264331979102207 0.23469453273690172 "" ""
3.4288529391778866 0.8907599217313135 0.14458004923339118 "" "" "" "" "" "" "" "" "" ""
3.5225790363692795 "" "" "" "" 1.3075252084218123 0.08396006869587808 "" "" "" "" "" ""
3.585128190512478 "" "" "" "" "" "" "" "" 0.4609976788409711 0.14691503586434596 "" ""
3.6701890363692655 "" "" "" "" "" "" "" "" 0.7377361516761892 0.31319645203683577 "" ""
4.160821329904138 "" "" "" "" 0.1311828181419294 0.23670577498363524 "" "" "" "" "" ""
4.160821329904138 "" "" 0.22791473034078596 0.26870577498363524 "" "" "" "" "" "" "" ""
4.160821329904138 "" "" "" "" "" "" 0.6683435109738507 0.08670577498363524 "" "" "" ""
4.407482598624483 "" "" -1.380033974067338 0.35719768817783937 "" "" "" "" "" "" "" ""
4.429082939175714 0.8565787795248107 0.13188186482810507 "" "" "" "" "" "" "" "" "" ""
4.586158190511924 "" "" "" "" "" "" "" "" 0.4003861348793081 0.08908044655533026 "" ""
5.138821329906932 "" "" 0.32169361156305304 0.0536303825637193 "" "" "" "" "" "" "" ""
5.138821329906932 "" "" "" "" "" "" 0.6671223921961171 0.07063038256371929 "" "" "" ""
5.483579036372248 "" "" 1.1609528124119162 0.06843577329217929 "" "" "" "" "" "" "" ""
5.483579036372248 "" "" "" "" "" "" 1.425413018998141 0.3704357732921793 "" "" "" ""
5.483579036372248 "" "" "" "" 1.4037229664838984 0.11343577329217927 "" "" "" "" "" ""
5.611378190507821 "" "" 0.9502061222269724 0.04217369891380794 "" "" "" "" "" "" "" ""
5.611378190507821 "" "" "" "" "" "" 1.1418017078687095 0.10417369891380794 "" "" "" ""
5.611378190507821 "" "" "" "" 1.2623225394636863 0.06117369891380794 "" "" "" "" "" ""
5.628438190513407 "" "" "" "" "" "" "" "" 0.290954209005448 0.0931833796887977 "" ""
5.740809036367864 "" "" "" "" "" "" "" "" 0.9685226697229522 0.3959283694196097 "" ""
6.13282132990571 "" "" 0.26862984536897255 0.06858078856329826 "" "" "" "" "" "" "" ""
6.477579036371026 "" "" 1.2387473080666769 0.08025692472642537 "" "" "" "" "" "" "" ""
6.477579036371026 "" "" "" "" 1.2785174621386597 0.20425692472642537 "" "" "" "" "" ""
6.477579036371026 "" "" "" "" "" "" 1.9222075146529023 0.17725692472642537 "" "" "" ""
7.13782132990309 "" "" 0.368915945173591 0.05268293065554738 "" "" "" "" "" "" "" ""
7.13782132990309 "" "" "" "" 0.0021840329747330745 0.19368293065554737 "" "" "" "" "" ""
7.420964601238666 1.613881607123311 0.035646789926645814 "" "" "" "" "" "" "" "" "" ""
7.4243546012367005 "" "" 1.0644719423812432 0.04496803078334086 "" "" "" "" "" "" "" ""
7.4243546012367005 "" "" "" "" 1.2822387565101994 0.043968030783340856 "" "" "" "" "" ""
7.470579036373238 "" "" "" "" 1.4947260589005333 0.08363729079098642 "" "" "" "" "" ""
7.470579036373238 "" "" 1.3569559048285516 0.08863729079098642 "" "" "" "" "" "" "" ""
7.470579036373238 "" "" "" "" "" "" 1.695416111414778 0.1396372907909864 "" "" "" ""
8.414482598622271 "" "" -0.6916355231432015 0.3675935856165591 "" "" "" "" "" "" "" ""
8.421354601239727 "" "" "" "" 1.3739084108520294 0.18995661635616318 "" "" "" "" "" ""
8.421354601239727 "" "" 1.1361415967230737 0.028956616356163187 "" "" "" "" "" "" "" ""
8.421354601239727 "" "" "" "" "" "" 1.3915057039963623 0.025956616356163188 "" "" "" ""
8.467579036368988 "" "" 1.3001714690026656 0.05390941560982097 "" "" "" "" "" "" "" ""
8.467579036368988 "" "" "" "" "" "" 1.9706316755888929 0.09190941560982097 "" "" "" ""
8.467579036368988 "" "" "" "" 1.3839416230746489 0.11290941560982097 "" "" "" "" "" ""
9.633650037831103 "" "" 1.37011575531133 0.06460134904118583 "" "" "" "" "" "" "" ""
9.633650037831103 "" "" "" "" 1.4658624768444715 0.07260134904118584 "" "" "" "" "" ""
9.633650037831103 "" "" "" "" "" "" 1.7853319597815192 0.08260134904118585 "" "" "" ""
9.644579036372306 "" "" "" "" 1.6275694145205302 0.060471546182573416 "" "" "" "" "" ""
9.644579036372306 "" "" "" "" "" "" 1.9242594670347715 0.2084715461825734 "" "" "" ""
9.644579036372306 "" "" 1.325799260448547 0.05347154618257342 "" "" "" "" "" "" "" ""
11.256363726148265 "" "" "" "" "" "" "" "" "" "" 2.387058138407945 0.29663709339847866
11.440174601237231 1.9936118444584194 0.03476031440978787 "" "" "" "" "" "" "" "" "" ""
11.767892818555993 "" "" 0.8804857131289751 0.10643117019748431 "" "" "" "" "" "" "" ""
11.767892818555993 "" "" "" "" 0.6362746944050768 0.2094311701974843 "" "" "" "" "" ""
11.767892818555993 "" "" "" "" "" "" 1.8435092324591706 0.1144311701974843 "" "" "" ""
12.134821329906117 "" "" 0.4642439129780757 0.046213280524111194 "" "" "" "" "" "" "" ""
12.268503726147173 "" "" "" "" "" "" "" "" "" "" 2.601181241531663 0.37064624563092613
12.374734601238742 2.069554598629479 0.03576419688515396 "" "" "" "" "" "" "" "" "" ""
12.413354601238098 "" "" "" "" 1.5002143591823756 0.04007848699582848 "" "" "" "" "" ""
12.413354601238098 "" "" "" "" "" "" 1.6368116523267082 0.042078486995828474 "" "" "" ""
12.413354601238098 "" "" 1.2084475450534196 0.03907848699582848 "" "" "" "" "" "" "" ""
13.138821329906932 "" "" "" "" 0.4869034580728712 0.17621846502735036 "" "" "" "" "" ""
13.41135460123769 "" "" 1.2417302935359096 0.26504720115817726 "" "" "" "" "" "" "" ""
13.41135460123769 "" "" "" "" 1.6204971076648653 0.03404720115817726 "" "" "" "" "" ""
13.450134601233003 2.08022806049665 0.035719295009362204 "" "" "" "" "" "" "" "" "" ""
14.409864601235313 2.0403086117692646 0.03764977682694801 "" "" "" "" "" "" "" "" "" ""
14.421354601239727 "" "" 1.2403734256905217 0.029005536115597627 "" "" "" "" "" "" "" ""
14.421354601239727 "" "" "" "" 1.5311402398194764 0.030005536115597628 "" "" "" "" "" ""
14.731892818555934 "" "" 1.1196892243014553 0.08347843698963692 "" "" "" "" "" "" "" ""
14.731892818555934 "" "" "" "" 1.186478205577557 0.1284784369896369 "" "" "" "" "" ""
15.112821329908911 "" "" "" "" 0.636152437414345 0.14821840603024272 "" "" "" "" "" ""
15.383654601238959 2.1128224823346238 0.03561867407259732 "" "" "" "" "" "" "" "" "" ""
15.408354601233441 "" "" "" "" "" "" 1.6088197584887818 0.029977876967866343 "" "" "" ""
15.408354601233441 "" "" "" "" 1.5642224653444479 0.18997787696786633 "" "" "" "" "" ""
15.408354601233441 "" "" 1.2234556512154924 0.026977876967866344 "" "" "" "" "" "" "" ""
16.40169460123434 2.057231244219628 0.036643846472829124 "" "" "" "" "" "" "" "" "" ""
16.404354601232626 "" "" "" "" "" "" 1.7496197853684825 0.08796832340618414 "" "" "" ""
16.404354601232626 "" "" 1.242255678095195 0.026968323406184148 "" "" "" "" "" "" "" ""
16.404354601232626 "" "" "" "" 1.5670224922241505 0.030968323406184148 "" "" "" "" "" ""
16.734892818560184 "" "" 1.2251016098954346 0.1624206971011416 "" "" "" "" "" "" "" ""
16.734892818560184 "" "" "" "" 1.2678905911715317 0.17242069710114158 "" "" "" "" "" ""
17.402484601232572 2.0352221770867733 0.03773618841800128 "" "" "" "" "" "" "" "" "" ""
17.40335460123606 "" "" "" "" "" "" 1.7489133006594904 0.033977723904049614 "" "" "" ""
17.40335460123606 "" "" "" "" 1.655316007515157 0.04197772390404961 "" "" "" "" "" ""
17.40335460123606 "" "" 1.3205491933862017 0.2649777239040496 "" "" "" "" "" "" "" ""
18.448094601233606 2.146401066596486 0.0398714204370517 "" "" "" "" "" "" "" "" "" ""
18.7128928185557 "" "" "" "" 1.4034244829429943 0.15044557983188978 "" "" "" "" "" ""
18.7128928185557 "" "" 1.2616355016668934 0.09844557983188977 "" "" "" "" "" "" "" ""
19.56465003782796 "" "" "" "" "" "" 2.307218958944041 0.2177946713413867 "" "" "" ""
19.56465003782796 "" "" 1.7170027544738475 0.0717946713413867 "" "" "" "" "" "" "" ""
19.56465003782796 "" "" "" "" 1.945749476006992 0.1487946713413867 "" "" "" "" "" ""
20.56465003782796 "" "" "" "" 2.0156602571728053 0.2173039543287711 "" "" "" "" "" ""
20.56465003782796 "" "" "" "" "" "" 2.1821297401098536 0.09730395432877109 "" "" "" ""
20.56465003782796 "" "" 1.6759135356396635 0.0713039543287711 "" "" "" "" "" "" "" ""
21.59865003782761 "" "" "" "" 1.834391267072626 0.10953513816932453 "" "" "" "" "" ""
21.59865003782761 "" "" "" "" "" "" 2.442860750009675 0.08853513816932453 "" "" "" ""
21.59865003782761 "" "" 1.6186445455394833 0.2915351381693245 "" "" "" "" "" "" "" ""
22.094821329905244 "" "" "" "" 0.7832617486029332 0.09832721629035683 "" "" "" "" "" ""
22.094821329905244 "" "" "" "" "" "" 1.0964224414348542 0.11532721629035683 "" "" "" ""
22.094821329905244 "" "" 0.6069936608017901 0.05132721629035683 "" "" "" "" "" "" "" ""
22.63265003782726 "" "" "" "" 2.0402127201427094 0.2158542317643654 "" "" "" "" "" ""
22.63265003782726 "" "" 1.6884659986095671 0.06685423176436542 "" "" "" "" "" "" "" ""
22.63265003782726 "" "" "" "" "" "" 2.2076822030797554 0.09885423176436542 "" "" "" ""
23.36113460123306 2.0743386835229907 0.04305494644238858 "" "" "" "" "" "" "" "" "" ""
23.407354601236875 "" "" 1.279883308401003 0.035089250747355014 "" "" "" "" "" "" "" ""
23.407354601236875 "" "" "" "" "" "" 1.6562474156742921 0.03808925074735501 "" "" "" ""
23.407354601236875 "" "" "" "" 1.744650122529959 0.02708925074735501 "" "" "" "" "" ""
24.625650037829473 "" "" "" "" "" "" 2.3511022109026345 0.08123708140750538 "" "" "" ""
24.625650037829473 "" "" "" "" 1.8986327279655844 0.08923708140750537 "" "" "" "" "" ""
24.625650037829473 "" "" 1.582886006432444 0.06523708140750537 "" "" "" "" "" "" "" ""
24.716892818556516 "" "" 1.3433131029157281 0.09719477312920825 "" "" "" "" "" "" "" ""
24.716892818556516 "" "" "" "" 1.4741020841918298 0.13319477312920824 "" "" "" "" "" ""
25.089821329907863 "" "" "" "" 0.8254509940010639 0.11231355041510763 "" "" "" "" "" ""
25.089821329907863 "" "" 0.7261829061999225 0.05231355041510763 "" "" "" "" "" "" "" ""
25.089821329907863 "" "" "" "" "" "" 0.8276116868329868 0.16331355041510762 "" "" "" ""
26.079821329905826 "" "" 0.6204224733087187 0.05129146265743853 "" "" "" "" "" "" "" ""
26.079821329905826 "" "" "" "" "" "" 0.8048512539417831 0.14929146265743853 "" "" "" ""
26.809892818557273 "" "" 1.4870168693242953 0.11045117506710658 "" "" "" "" "" "" "" ""
26.809892818557273 "" "" "" "" "" "" 1.9010403886544878 0.3294511750671066 "" "" "" ""
26.809892818557273 "" "" "" "" 1.8178058506003927 0.12045117506710659 "" "" "" "" "" ""
27.07882132990926 "" "" "" "" 0.8605751055903614 0.09925711356510007 "" "" "" "" "" ""
27.07882132990926 "" "" "" "" "" "" 0.8977357984222827 0.13525711356510006 "" "" "" ""
27.07882132990926 "" "" 0.6973070177892182 0.07125711356510006 "" "" "" "" "" "" "" ""
28.088906951226818 "" "" 0.7062461022466937 0.08042071649864463 "" "" "" "" "" "" "" ""
28.088906951226818 "" "" "" "" 0.9666457316611828 0.06742071649864464 "" "" "" "" "" ""
28.088906951226818 "" "" "" "" "" "" 0.7533533094463671 0.22842071649864465 "" "" "" ""
28.3873546012328 "" "" 1.3028371340859752 0.03422128755994423 "" "" "" "" "" "" "" ""
28.3873546012328 "" "" "" "" "" "" 1.7352012413592652 0.19022128755994422 "" "" "" ""
28.3873546012328 "" "" "" "" 1.7626039482149323 0.041221287559944225 "" "" "" "" "" ""
28.756650037830696 "" "" 1.5401469533824483 0.21475923556671822 "" "" "" "" "" "" "" ""
29.058906951220706 "" "" "" "" "" "" 0.6580489129023495 0.09140601943598442 "" "" "" ""
29.058906951220706 "" "" 0.6029417057026769 0.07540601943598442 "" "" "" "" "" "" "" ""
29.058906951220706 "" "" "" "" 1.070341335117165 0.09440601943598442 "" "" "" "" "" ""
29.072821329908038 "" "" "" "" "" "" 1.119858416659041 0.11319115595712029 "" "" "" ""
29.072821329908038 "" "" 0.5544296360259764 0.048191155957120285 "" "" "" "" "" "" "" ""
29.072821329908038 "" "" "" "" 0.9036977238271195 0.2691911559571203 "" "" "" "" "" ""
29.355354601233557 "" "" 1.2891646860355628 0.028226446305732997 "" "" "" "" "" "" "" ""
29.355354601233557 "" "" "" "" 1.759931500164519 0.058226446305732996 "" "" "" "" "" ""
29.355354601233557 "" "" "" "" "" "" 1.7125287933088524 0.190226446305733 "" "" "" ""
29.612650037830463 "" "" "" "" 1.9286970883101806 0.2142971907213777 "" "" "" "" "" ""
29.612650037830463 "" "" "" "" "" "" 2.4551665712472324 0.09229719072137771 "" "" "" ""
29.612650037830463 "" "" 1.832950366777039 0.061297190721377716 "" "" "" "" "" "" "" ""
30.068821329907223 "" "" 0.7044033261671856 0.07320500098582067 "" "" "" "" "" "" "" ""
30.068821329907223 "" "" "" "" 0.787671413968327 0.10220500098582068 "" "" "" "" "" ""
30.079906951221346 "" "" 0.8117209481476653 0.07138194868279286 "" "" "" "" "" "" "" ""
30.079906951221346 "" "" "" "" 1.0811205775621529 0.10638194868279287 "" "" "" "" "" ""
