time r-J rJ_err r-H rH_err r-K rK_err
28.8933005055 0.223581735939 0.0817899793419 1.0 1.0 1.0 1.0
29.8633005055 0.114283584419 0.0765865785224 1.0 1.0 1.0 1.0
30.8843005055 0.314679767415 0.0724309140963 1.0 1.0 1.0 1.0
31.8843005055 0.309565500594 0.063338771912 1.0 1.0 1.0 1.0
33.8643005055 0.272746408649 0.0561915041667 1.0 1.0 1.0 1.0
36.8833005055 0.150951199918 0.0720858221631 1.0 1.0 1.0 1.0
37.9013005055 0.0665549436899 0.0860787864422 1.0 1.0 1.0 1.0
38.8993005055 0.0826718139247 0.0741065638082 1.0 1.0 1.0 1.0
39.8613005055 -0.100664956282 0.278149326402 1.0 1.0 1.0 1.0
40.8613005055 0.112114196763 0.0671809348813 1.0 1.0 1.0 1.0
41.9063005055 0.179873823164 0.20320377192 1.0 1.0 1.0 1.0
42.8633005055 0.178878005473 0.0822169442764 1.0 1.0 1.0 1.0
43.8463005055 0.104396824215 0.203215353304 1.0 1.0 1.0 1.0
48.8523005055 -0.04194124295 0.0781067819418 1.0 1.0 1.0 1.0
49.8513005055 0.0904472315786 0.1210886702 1.0 1.0 1.0 1.0
51.8453005055 0.00378042721917 0.105068921227 1.0 1.0 1.0 1.0
52.8483005055 0.0389500818913 0.107060665893 1.0 1.0 1.0 1.0
53.8433005055 -0.0839972598329 0.121061838424 1.0 1.0 1.0 1.0
54.8653005055 0.0155067526167 0.116051853672 1.0 1.0 1.0 1.0
28.8933005055 1.0 1.0 0.388828982241 0.0687899793419 1.0 1.0
29.8633005055 1.0 1.0 0.486530830721 0.0955865785224 1.0 1.0
30.8843005055 1.0 1.0 0.488927013717 0.107430914096 1.0 1.0
31.8843005055 1.0 1.0 0.433812746896 0.094338771912 1.0 1.0
33.8643005055 1.0 1.0 0.348993654952 0.0861915041667 1.0 1.0
34.8903005055 1.0 1.0 0.273565439279 0.139134510317 1.0 1.0
36.8833005055 1.0 1.0 0.31519844622 0.110085822163 1.0 1.0
37.9013005055 1.0 1.0 0.309802189992 0.0980787864422 1.0 1.0
38.8993005055 1.0 1.0 0.108919060227 0.101106563808 1.0 1.0
39.8613005055 1.0 1.0 0.21058229002 0.154149326402 1.0 1.0
40.8613005055 1.0 1.0 0.387361443065 0.0991809348813 1.0 1.0
41.9063005055 1.0 1.0 0.386121069466 0.27820377192 1.0 1.0
42.8633005055 1.0 1.0 0.335125251775 0.0732169442764 1.0 1.0
43.8463005055 1.0 1.0 0.392644070518 0.203215353304 1.0 1.0
48.8523005055 1.0 1.0 0.278306003352 0.0891067819418 1.0 1.0
49.8513005055 1.0 1.0 0.380694477881 0.2780886702 1.0 1.0
50.8503005055 1.0 1.0 0.0439235597285 0.0840735502411 1.0 1.0
51.8453005055 1.0 1.0 0.196027673521 0.239068921227 1.0 1.0
52.8483005055 1.0 1.0 -0.0208026718066 0.203060665893 1.0 1.0
53.8433005055 1.0 1.0 0.0252499864692 0.278061838424 1.0 1.0
54.8653005055 1.0 1.0 0.249753998919 0.077051853672 1.0 1.0
28.8933005055 1.0 1.0 1.0 1.0 0.156707398891 0.229789979342
29.8633005055 1.0 1.0 1.0 1.0 0.055409247371 0.0925865785224
30.8843005055 1.0 1.0 1.0 1.0 -0.0251945696331 0.0864309140963
33.8643005055 1.0 1.0 1.0 1.0 0.483872071601 0.261191504167
34.8903005055 1.0 1.0 1.0 1.0 0.338443855929 0.203134510317
36.8833005055 1.0 1.0 1.0 1.0 0.0910768628702 0.203085822163
37.9013005055 1.0 1.0 1.0 1.0 -0.0143193933582 0.235078786442
38.8993005055 1.0 1.0 1.0 1.0 0.0497974768767 0.278106563808
39.8613005055 1.0 1.0 1.0 1.0 0.33346070667 0.203149326402
40.8613005055 1.0 1.0 1.0 1.0 0.282239859715 0.203180934881
42.8633005055 1.0 1.0 1.0 1.0 0.201003668425 0.146216944276
43.8463005055 1.0 1.0 1.0 1.0 0.169522487167 0.203215353304
48.8523005055 1.0 1.0 1.0 1.0 0.180184420002 0.145106781942
49.8513005055 1.0 1.0 1.0 1.0 -0.00342710546952 0.2780886702
50.8503005055 1.0 1.0 1.0 1.0 -0.592198023622 0.172073550241
52.8483005055 1.0 1.0 1.0 1.0 -0.302924255157 0.171060665893
53.8433005055 1.0 1.0 1.0 1.0 -0.687871596881 0.154061838424
54.8653005055 1.0 1.0 1.0 1.0 -0.201367584431 0.147051853672
