time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err
0.798524625112 0.696607481475 0.186220613346 1.0 1.0 1.0 1.0 1.0 1.0
2.83516462511 0.803514866191 0.231089706833 1.0 1.0 1.0 1.0 1.0 1.0
3.80715462511 0.71273542299 0.308094502239 1.0 1.0 1.0 1.0 1.0 1.0
5.87777462511 0.941237807251 0.38907305285 1.0 1.0 1.0 1.0 1.0 1.0
0.635544625111 1.0 1.0 0.999202038716 0.106402430815 1.0 1.0 1.0 1.0
1.62454462511 1.0 1.0 0.99292965794 0.0639117891411 1.0 1.0 1.0 1.0
5.62054462511 1.0 1.0 1.13764472496 0.0667003473554 1.0 1.0 1.0 1.0
6.61454462511 1.0 1.0 1.21600695424 0.0781417811799 1.0 1.0 1.0 1.0
7.60754462511 1.0 1.0 1.33464270619 0.0862354470653 1.0 1.0 1.0 1.0
8.60454462511 1.0 1.0 1.27824214733 0.0512467488493 1.0 1.0 1.0 1.0
9.78154462511 1.0 1.0 1.30426788317 0.0505568346923 1.0 1.0 1.0 1.0
11.6005446251 1.0 1.0 1.23875993599 0.0839611852765 1.0 1.0 1.0 1.0
12.7035446251 1.0 1.0 1.35318782714 0.0586700648511 1.0 1.0 1.0 1.0
13.5975446251 1.0 1.0 1.50346947272 0.0793226714737 1.0 1.0 1.0 1.0
14.5805446251 1.0 1.0 1.44905577951 0.0660850717413 1.0 1.0 1.0 1.0
20.6135446251 1.0 1.0 1.6096908073 0.0789099792493 1.0 1.0 1.0 1.0
21.5975446251 1.0 1.0 1.31437469931 0.11765225064 1.0 1.0 1.0 1.0
23.5535446251 1.0 1.0 1.59298282486 0.104022275727 1.0 1.0 1.0 1.0
24.6685446251 1.0 1.0 1.46640117655 0.0906105786581 1.0 1.0 1.0 1.0
25.6025446251 1.0 1.0 1.47993551349 0.0915749728818 1.0 1.0 1.0 1.0
0.635544625111 1.0 1.0 1.0 1.0 1.30052955292 0.0914024308148 1.0 1.0
1.62454462511 1.0 1.0 1.0 1.0 1.19125717215 0.0889117891411 1.0 1.0
3.65954462511 1.0 1.0 1.0 1.0 1.27866691279 0.0829324134378 1.0 1.0
5.62054462511 1.0 1.0 1.0 1.0 1.37597223916 0.111700347355 1.0 1.0
6.61454462511 1.0 1.0 1.0 1.0 1.25133446844 0.20214178118 1.0 1.0
7.60754462511 1.0 1.0 1.0 1.0 1.46797022039 0.0812354470653 1.0 1.0
8.60454462511 1.0 1.0 1.0 1.0 1.35756966153 0.110246748849 1.0 1.0
9.78154462511 1.0 1.0 1.0 1.0 1.60159539738 0.0575568346923 1.0 1.0
11.6005446251 1.0 1.0 1.0 1.0 1.5480874502 0.102961185276 1.0 1.0
12.7035446251 1.0 1.0 1.0 1.0 1.75251534135 0.0996700648511 1.0 1.0
13.5975446251 1.0 1.0 1.0 1.0 1.65779698693 0.122322671474 1.0 1.0
14.5805446251 1.0 1.0 1.0 1.0 1.65138329372 0.103085071741 1.0 1.0
18.6725446251 1.0 1.0 1.0 1.0 1.38878432808 0.137189837519 1.0 1.0
21.5975446251 1.0 1.0 1.0 1.0 1.68470221352 0.16865225064 1.0 1.0
23.5535446251 1.0 1.0 1.0 1.0 1.60631033906 0.146022275727 1.0 1.0
24.6685446251 1.0 1.0 1.0 1.0 1.68972869075 0.183610578658 1.0 1.0
25.6025446251 1.0 1.0 1.0 1.0 1.3532630277 0.190574972882 1.0 1.0
0.635544625111 1.0 1.0 1.0 1.0 1.0 1.0 1.36134047683 0.118402430815
1.62454462511 1.0 1.0 1.0 1.0 1.0 1.0 1.52706809605 0.123911789141
5.62054462511 1.0 1.0 1.0 1.0 1.0 1.0 1.39678316307 0.368700347355
6.61454462511 1.0 1.0 1.0 1.0 1.0 1.0 1.89414539235 0.17514178118
7.60754462511 1.0 1.0 1.0 1.0 1.0 1.0 1.6677811443 0.137235447065
8.60454462511 1.0 1.0 1.0 1.0 1.0 1.0 1.94338058544 0.0892467488493
9.78154462511 1.0 1.0 1.0 1.0 1.0 1.0 1.89740632129 0.205556834692
11.6005446251 1.0 1.0 1.0 1.0 1.0 1.0 2.15389837411 0.281961185276
12.7035446251 1.0 1.0 1.0 1.0 1.0 1.0 1.94732626525 0.253670064851
13.5975446251 1.0 1.0 1.0 1.0 1.0 1.0 2.20660791084 0.129322671474
14.5805446251 1.0 1.0 1.0 1.0 1.0 1.0 1.96419421763 0.142085071741
18.6725446251 1.0 1.0 1.0 1.0 1.0 1.0 2.04059525198 0.155189837519
20.6135446251 1.0 1.0 1.0 1.0 1.0 1.0 1.96082924541 0.273909979249
21.5975446251 1.0 1.0 1.0 1.0 1.0 1.0 2.19851313743 0.21465225064
24.6685446251 1.0 1.0 1.0 1.0 1.0 1.0 2.09353961466 0.357610578658
25.6025446251 1.0 1.0 1.0 1.0 1.0 1.0 2.1730739516 0.365574972882
