1700 0.0161  0.073
1705 0.0111  0.059
1710 0.0113  0.032
1715 0.0139  0.037
1720 0.0202  0.023
1725 0.0112  0.036
1730 0.0061  0.042
1735 0.0336  0.024
1740 0.0137  0.031
1745 0.0204  0.038
1750 0.0241  0.037
1755 0.0192  0.034
1760 0.0285  0.040
1765 0.0116  0.055
1770 0.0273  0.058
1775 0.0303  0.075
1780 0.0290  0.085
1785 0.0359  0.068
1790 0.0422  0.069
1795 0.0419  0.092
1800 0.0856  0.023
1805 0.0795  0.046
1810 0.0764  0.071
1815 0.0762  0.120
1820 0.0715  0.154
1825 0.0746  0.152
1830 0.1051  0.144
1835 0.1132  0.151
1840 0.1085  0.178
1845 0.0969  0.209
1850 0.1004  0.227
1855 0.1143  0.226
1860 0.1104  0.240
1865 0.1063  0.263
1870 0.1364  0.323
1875 0.1445  0.381
1880 0.1656  0.426
1885 0.1781  0.457
1890 0.1879  0.497
1895 0.1891  0.484
1900 0.1729  0.451
1905 0.1531  0.423
1910 0.1423  0.385
1915 0.1319  0.360
1920 0.1268  0.325
1925 0.1274  0.299
1930 0.1278  0.289
1935 0.1181  0.249
1940 0.0961  0.212
1945 0.0989  0.180
1950 0.1055  0.145
1955 0.1182  0.139
1960 0.1184  0.146
1965 0.1188  0.127
1970 0.1066  0.161
1975 0.1293  0.218
1980 0.1365  0.235
1985 0.1426  0.257
1990 0.1483  0.276
1995 0.1568  0.297
2000 0.1677  0.311
2005 0.1649  0.324
2010 0.1514  0.333
2015 0.1473  0.347
2020 0.1689  0.372
2025 0.1714  0.382
2030 0.1472  0.375
2035 0.1376  0.359
2040 0.1310  0.341
2045 0.1252  0.328
2050 0.1172  0.324
2055 0.1120  0.328
2060 0.1093  0.318
2065 0.1060  0.290
2070 0.1006  0.269
2075 0.0956  0.260
2080 0.0924  0.258
2085 0.0906  0.262
2090 0.0908  0.254
2095 0.0891  0.241
2100 0.0834  0.232
2105 0.0784  0.218
2110 0.0770  0.208
2115 0.0794  0.217
2120 0.0826  0.225
2125 0.0826  0.222
2130 0.0846  0.225
2135 0.0842  0.229
2140 0.0797  0.234
2145 0.0795  0.244
2150 0.0894  0.228
2155 0.0873  0.210
2160 0.0738  0.207
2165 0.0678  0.203
2170 0.0650  0.201
2175 0.0623  0.197
2180 0.0621  0.181
2185 0.0603  0.165
2190 0.0551  0.163
2195 0.0514  0.161
2200 0.0533  0.161
2205 0.0562  0.155
2210 0.0645  0.128
2215 0.0607  0.120
2220 0.0522  0.124
2225 0.0494  0.120
2230 0.0479  0.114
2235 0.0496  0.107
2240 0.0511  0.106
2245 0.0510  0.097
2250 0.0508  0.083
2255 0.0595  0.065
2260 0.0592  0.069
2265 0.0618  0.083
2270 0.0653  0.086
2275 0.0696  0.089
2280 0.0778  0.093
2285 0.0901  0.104
2290 0.1003  0.123
2295 0.1092  0.140
2300 0.1196  0.157
2305 0.1283  0.171
2310 0.1378  0.194
2315 0.1514  0.233
2320 0.1622  0.268
2325 0.1669  0.288
2330 0.1727  0.306
2335 0.1801  0.332
2340 0.1829  0.360
2345 0.1875  0.392
2350 0.1980  0.413
2355 0.2028  0.407
2360 0.1948  0.395
2365 0.1866  0.398
2370 0.1826  0.412
2375 0.1744  0.422
2380 0.1708  0.417
2385 0.1728  0.411
2390 0.1877  0.411
2395 0.1948  0.405
2400 0.1846  0.393
2405 0.1721  0.376
2410 0.1650  0.364
2415 0.1622  0.357
2420 0.1610  0.351
2425 0.1601  0.343
2430 0.1541  0.316
2435 0.1433  0.270
2440 0.1398  0.224
2445 0.1423  0.194
2450 0.1403  0.187
2455 0.1446  0.174
2460 0.1431  0.150
2465 0.1458  0.125
2470 0.1510  0.104
2475 0.1525  0.086
2480 0.1654  0.061
2485 0.1736  0.042
2490 0.1834  0.047
2495 0.1961  0.072
2500 0.2122  0.099
2505 0.2123  0.169
2510 0.2308  0.208
2515 0.2554  0.258
2520 0.2840  0.301
2525 0.3099  0.328
2530 0.3262  0.339
2535 0.3300  0.347
2540 0.3221  0.367
2545 0.3139  0.371
2550 0.3108  0.365
2555 0.3092  0.382
2560 0.3109  0.399
2565 0.3060  0.384
2570 0.2980  0.364
2575 0.2892  0.362
2580 0.2801  0.350
2585 0.2753  0.329
2590 0.2756  0.324
2595 0.2753  0.319
2600 0.2687  0.292
2605 0.2684  0.244
2610 0.2729  0.195
2615 0.2746  0.151
2620 0.2783  0.111
2625 0.2831  0.081
2630 0.2876  0.044
2635 0.2897  0.005
2640 0.2935 -0.019
2645 0.2984 -0.013
2650 0.2994  0.021
2655 0.3076  0.054
2660 0.3267  0.088
2665 0.3510  0.132
2670 0.3804  0.167
2675 0.4153  0.197
2680 0.4531  0.219
2685 0.4854  0.250
2690 0.5550  0.184
2695 0.5989  0.186
2700 0.6461  0.157
2705 0.6889  0.131
2710 0.7268  0.105
2715 0.7643  0.076
2720 0.8021  0.053
2725 0.8373  0.029
2730 0.8679 -0.004
2735 0.8989 -0.030
2740 0.9374 -0.027
2745 0.9808 -0.004
2750 1.0271  0.007
2755 1.0684  0.006
2760 1.1112 -0.024
2765 1.1564 -0.067
2770 1.2065 -0.116
2775 1.2522 -0.190
2780 1.2807 -0.267
2785 1.2830 -0.276
2790 1.2357 -0.163
2795 1.1155  0.094
2800 1.0646  0.201
2805 1.1479  0.039
2810 1.2562 -0.156
2815 1.4407 -0.528
2820 1.5160 -0.637
2825 1.5646 -0.664
2830 1.5833 -0.621
2835 1.6371 -0.662
2840 1.7019 -0.699
2845 1.7571 -0.708
2850 1.7969 -0.687
2855 1.8655 -0.699
2860 1.9941 -0.798
2865 2.1347 -0.887
2870 2.2601 -0.918
2875 2.4062 -0.962
2880 2.6624 -1.247
2885 2.8575 -1.376
2890 3.0294 -1.459
2895 3.1701 -1.473
2900 3.2901 -1.450
2905 3.3911 -1.429
2910 3.4715 -1.461
2915 3.5287 -1.530
2920 3.5742 -1.599
2925 3.6148 -1.661
2930 3.6501 -1.710
2935 3.6912 -1.753
2940 3.7423 -1.824
2945 3.7933 -1.909
2950 3.8289 -1.978
2955 3.8514 -2.097
2960 3.8425 -2.169
2965 3.8244 -2.224
2970 3.7878 -2.257
2975 3.7215 -2.271
2980 3.6324 -2.278
2985 3.5344 -2.271
2990 3.4334 -2.250
2995 3.3377 -2.197
3000 3.2637 -2.111
3005 3.2194 -2.027
3010 3.1909 -1.930
3015 3.1999 -1.909
3020 3.2346 -1.952
3025 3.2983 -2.074
3030 3.3795 -2.229
3035 3.4558 -2.362
3040 3.5179 -2.486
3045 3.5707 -2.649
3050 3.6159 -2.850
3055 3.6539 -3.054
3060 3.6888 -3.231
3065 3.7216 -3.381
3070 3.7541 -3.536
3075 3.7886 -3.689
3080 3.8335 -3.817
3085 3.8936 -3.924
3090 3.9595 -4.021
3095 4.0244 -4.094
3100 4.0986 -4.125
3105 4.1883 -4.108
3110 4.2818 -4.049
3115 4.3649 -3.972
3120 4.4383 -3.886
3125 4.5191 -3.807
